ID	doi	url	title
2020.winlp-1.0	10.18653/v1/2020.winlp-1.1	https://www.aclweb.org/anthology/2020.winlp-1.0	Corpus based {A}mharic sentiment lexicon generation
2020.tacl-1.1	10.1162/tacl_a_00296	https://www.aclweb.org/anthology/2020.tacl-1.1	Phonotactic Complexity and Its Trade-offs
2020.tacl-1.2	10.1162/tacl_a_00297	https://www.aclweb.org/anthology/2020.tacl-1.2	{AMR}-To-Text Generation with Graph Transformer
2020.tacl-1.3	10.1162/tacl_a_00298	https://www.aclweb.org/anthology/2020.tacl-1.3	What {BERT} Is Not: Lessons from a New Suite of Psycholinguistic Diagnostics for Language Models
2020.tacl-1.4	10.1162/tacl_a_00299	https://www.aclweb.org/anthology/2020.tacl-1.4	Membership Inference Attacks on Sequence-to-Sequence Models: {I}s My Data In Your Machine Translation System?
2020.tacl-1.5	10.1162/tacl_a_00300	https://www.aclweb.org/anthology/2020.tacl-1.5	{S}pan{BERT}: Improving Pre-training by Representing and Predicting Spans
2020.tacl-1.6	10.1162/tacl_a_00301	https://www.aclweb.org/anthology/2020.tacl-1.6	A Graph-based Model for Joint {C}hinese Word Segmentation and Dependency Parsing
2020.tacl-1.7	10.1162/tacl_a_00302	https://www.aclweb.org/anthology/2020.tacl-1.7	A Knowledge-Enhanced Pretraining Model for Commonsense Story Generation
2020.tacl-1.8	10.1162/tacl_a_00303	https://www.aclweb.org/anthology/2020.tacl-1.8	Improving Candidate Generation for Low-resource Cross-lingual Entity Linking
2020.tacl-1.9	10.1162/tacl_a_00304	https://www.aclweb.org/anthology/2020.tacl-1.9	Does Syntax Need to Grow on Trees? Sources of Hierarchical Inductive Bias in Sequence-to-Sequence Networks
2020.tacl-1.10	10.1162/tacl_a_00305	https://www.aclweb.org/anthology/2020.tacl-1.10	Investigating Prior Knowledge for Challenging {C}hinese Machine Reading Comprehension
2020.tacl-1.11	10.1162/tacl_a_00306	https://www.aclweb.org/anthology/2020.tacl-1.11	Theoretical Limitations of Self-Attention in Neural Sequence Models
2020.tacl-1.12	10.1162/tacl_a_00308	https://www.aclweb.org/anthology/2020.tacl-1.12	Target-Guided Structured Attention Network for Target-Dependent Sentiment Analysis
2020.tacl-1.13	10.1162/tacl_a_00309	https://www.aclweb.org/anthology/2020.tacl-1.13	Break It Down: A Question Understanding Benchmark
2020.tacl-1.14	10.1162/tacl_a_00311	https://www.aclweb.org/anthology/2020.tacl-1.14	Acoustic-Prosodic and Lexical Cues to Deception and Trust: Deciphering How People Detect Lies
2020.tacl-1.15	10.1162/tacl_a_00312	https://www.aclweb.org/anthology/2020.tacl-1.15	Unsupervised Discourse Constituency Parsing Using {V}iterbi {EM}
2020.tacl-1.16	10.1162/tacl_a_00307	https://www.aclweb.org/anthology/2020.tacl-1.16	Decoding Brain Activity Associated with Literal and Metaphoric Sentence Comprehension Using Distributional Semantic Models
2020.tacl-1.17	10.1162/tacl_a_00310	https://www.aclweb.org/anthology/2020.tacl-1.17	Machine Learning{--}Driven Language Assessment
2020.tacl-1.18	10.1162/tacl_a_00313	https://www.aclweb.org/anthology/2020.tacl-1.18	Leveraging Pre-trained Checkpoints for Sequence Generation Tasks
2020.tacl-1.19	10.1162/tacl_a_00314	https://www.aclweb.org/anthology/2020.tacl-1.19	{C}ross{WOZ}: A Large-Scale {C}hinese Cross-Domain Task-Oriented Dialogue Dataset
2020.tacl-1.20	10.1162/tacl_a_00315	https://www.aclweb.org/anthology/2020.tacl-1.20	How Furiously Can Colorless Green Ideas Sleep? Sentence Acceptability in Context
2020.tacl-1.21	10.1162/tacl_a_00316	https://www.aclweb.org/anthology/2020.tacl-1.21	Learning Lexical Subspaces in a Distributional Vector Space
2020.tacl-1.22	10.1162/tacl_a_00318	https://www.aclweb.org/anthology/2020.tacl-1.22	Syntax-Guided Controlled Generation of Paraphrases
2020.tacl-1.23	10.1162/tacl_a_00319	https://www.aclweb.org/anthology/2020.tacl-1.23	Better Document-Level Machine Translation with {B}ayes{'} Rule
2020.tacl-1.24	10.1162/tacl_a_00320	https://www.aclweb.org/anthology/2020.tacl-1.24	Hierarchical Mapping for Crosslingual Word Embedding Alignment
2020.tacl-1.25	10.1162/tacl_a_00321	https://www.aclweb.org/anthology/2020.tacl-1.25	{BL}i{MP}: The Benchmark of Linguistic Minimal Pairs for {E}nglish
2020.tacl-1.26	10.1162/tacl_a_00322	https://www.aclweb.org/anthology/2020.tacl-1.26	Reproducible and Efficient Benchmarks for Hyperparameter Optimization of Neural Machine Translation Systems
2020.tacl-1.27	10.1162/tacl_a_00323	https://www.aclweb.org/anthology/2020.tacl-1.27	Consistent Unsupervised Estimators for Anchored {PCFG}s
2020.tacl-1.28	10.1162/tacl_a_00324	https://www.aclweb.org/anthology/2020.tacl-1.28	How Can We Know What Language Models Know?
2020.tacl-1.29	10.1162/tacl_a_00325	https://www.aclweb.org/anthology/2020.tacl-1.29	Topic Modeling in Embedding Spaces
2020.tacl-1.30	10.1162/tacl_a_00317	https://www.aclweb.org/anthology/2020.tacl-1.30	{T}y{D}i {QA}: A Benchmark for Information-Seeking Question Answering in Typologically Diverse Languages
2020.socialnlp-1.1	10.18653/v1/2020.socialnlp-1.1	https://www.aclweb.org/anthology/2020.socialnlp-1.1	Enhancing Bias Detection in Political News Using Pragmatic Presupposition
2020.socialnlp-1.2	10.18653/v1/2020.socialnlp-1.2	https://www.aclweb.org/anthology/2020.socialnlp-1.2	Demoting Racial Bias in Hate Speech Detection
2020.socialnlp-1.3	10.18653/v1/2020.socialnlp-1.3	https://www.aclweb.org/anthology/2020.socialnlp-1.3	{NARMADA}: Need and Available Resource Managing Assistant for Disasters and Adversities
2020.socialnlp-1.4	10.18653/v1/2020.socialnlp-1.4	https://www.aclweb.org/anthology/2020.socialnlp-1.4	{BEEP}! {K}orean Corpus of Online News Comments for Toxic Speech Detection
2020.socialnlp-1.5	10.18653/v1/2020.socialnlp-1.5	https://www.aclweb.org/anthology/2020.socialnlp-1.5	Stance Prediction for Contemporary Issues: Data and Experiments
