ISO 639-3	Population	Name
xtw		Tawandê
xtv	No known L1 speakers.	Thawa
xtu	1,880 (2000 INALI). 70 monolinguals in San Miguel.	Mixtec, Cuyamecalco
xtt	390 (2005 census). 60 monolinguals.	Mixtec, Tacahua
xts	34 (2005 census).	Mixtec, Sindihui
xtp	240 (2000 INALI). Ethnic population: 1,120 (1990 census).	Mixtec, San Miguel Piedras
xty	10,600 (2000 INALI).	Mixtec, Yoloxóchitl
xte	9,970 (2000).	Ketengban
xtd	3,410 (2000 INALI), decreasing. In rapid decline due to migration to the United States. 150 monolinguals.	Mixtec, Diuxi-Tilantongo
xtc	75,000 (2004 SIL). 30,000 Katcha and Kadugli (2004), 4,000 Miri.	Katcha-Kadugli-Miri
xtb	3,790 (2000 INALI). 30 monolinguals.	Mixtec, Chazumba
xta	10,000 (1994 SIL). 4,000 monolinguals.	Mixtec, Alcozauca
xtn	5,790 (2000 INALI). 1,600 monolinguals.	Mixtec, Northern Tlaxiaco
xtm	7,350 (2005 census). 1,170 monolinguals (2000 census).	Mixtec, Magdalena Peñasco
xtl	3,250 (2005 census). 420 monolinguals.	Mixtec, Tijaltepec
xtj	370 (2000 INALI). 35 monolinguals.	Mixtec, San Juan Teita
xti	1,110 (2005 census). 150 monolinguals.	Mixtec, Sinicahua
xth	No known L1 speakers.	Yitha Yitha
wji	77,700 (2000).	Warji
wja	60,000 (1989 U. Kleinewillinghöfer).	Waja
tmv	5,000 (1986 SIL).	Tembo
txo	1,400 (2012 SIL).	Toto
txn	7,910 (2011 SIL), increasing. No monolinguals.	Tarangan, West
txm	30,000 (Himmelmann 2001).	Tomini
txj	No known L1 speakers. Ethnic population: No ethnic community.	Tarjumo
txi	310 (Moore 2006). Ethnic population: 340 (2006 FUNASA).	Ikpeng
txe	25,000 (Himmelmann 2001).	Totoli
txa	Ethnic population: 10,000 (2000 SIL). 3,000 Lingkabau.	Tombonuo
txy	639,000 (2011 SIL).	Malagasy, Tanosy
txx	10,000 (2015 KadazanDusun Cultural Association), decreasing. Ethnic population: 22,000 (2015 KadazanDusun Cultural Association).	Tatana
txu	7,100 (Moore 2006). 19 communities in regular contact with outsiders; also 3–4 isolated Kayapó groups of 30–100 people (Crevels 2007). 3,950 monolinguals.	Kayapó
txt	8,000 (1985 M. Stringer).	Citak
txs	90,000 (1989), decreasing.	Tonsea
txq	20,000 (2002 UKAW).	Tii
dne	100,000 (2000 D. Ngonyani).	Ndendeule
dnd	170 (2003 SIL). Ethnic population: 170 (2000 census).	Daonda
dng	56,300 (2009 census). Ethnic population: 58,100 (2009 census). Total users in all countries: 108,400.	Dungan
dna	20,000 (1996).	Dani, Upper Grand Valley
dnn	13,400 (1998 P. Solomiac). 4,020 monolinguals.	Dzùùngoo
dni	20,000 (1996 SIL).	Dani, Lower Grand Valley
dnk	20,000 (2002 UKAW).	Dengka
dnj	1,300,000 (2012 V. Vydrin). 650,000 in Eastern Dan, 650,000 in western Dan. Total users in all countries: 1,534,800.	Dan
dnu	1,000 (Robinne 2000). Ethnic population: 5,000 (Robinne 2000).	Danau
dnt	50,000 (1990 UBS).	Dani, Mid Grand Valley
dnw	180,000 (1993 census).	Dani, Western
dnv	100,000 (Bradley 2007a).	Danu
dnr	260 (2003 SIL).	Danaru
dny	740 (Moore 2006). Ethnic population: 880 (2006 FUNASA).	Dení
jmx	20,000 (2005 census). Coicoyan Municipality: 6,150 speakers (2005). San Martin Peras Municipality: 10,000 speakers, plus 2,000 in Santa Cruz Yucucani, 2,000 in San José Yoxocaño. 9,000 monolinguals (2005 census). Coicoyan Municipality: 3,520 monolinguals (2005). San Martin Peras Municipality: 4,820 monolinguals.	Mixtec, Western Juxtlahuaca
jmr	3,000 (2003 GILLBT), increasing. Ethnic population: 5,000 (2003 GILLBT).	Kamara
jms	1,000.	Mashi
jmw	450 (2011 SIL). Speakers of other languages live at some of the Mouwase villages, especially Omati, and this may have skewed population figures. Speakers are widely scattered in bush villages, hamlets and squatter settlements.	Mouwase
jmi	1,000 (1995 CAPRO).	Jimi
jmn	2,500 (2004). Total users in all countries: 6,500.	Naga, Makuri
jml	40,000 (2001 SIL).	Jumli
jmb	2,000 (1995 CAPRO).	Zumbun
jmc	300,000 (1992 UBS), increasing.	Machame
jma	750 (2001 SIL). 115 monolinguals.	Dima
jmd	25,000 (1991 SIL), decreasing. Ethnic population: 35,000 (1991 SIL).	Yamdena
czt	40,000 (1990 UBS).	Chin, Zotung
czh	4,600,000 (2000 census).	Chinese, Huizhou
czn	8,490 (2000 INALI). 2,000 monolinguals.	Chatino, Zenzontepec
czo	3,100,000 (2000 census).	Chinese, Min Zhong
hod	No known L1 speakers.	Holma
hoe	1,500 (1998 R. Blench).	Horom
hob	810 (2000 D. Tryon).	Mari
hoc	1,040,000 (2001 census).	Ho
hoa	460 (1999 SIL).	Hoava
hoo	15,500 (2002).	Holoholo
hol	23,100 (2000). Total users in all countries: 28,200.	Holu
hom	No known L1 speakers. No remaining speakers as of 1975.	Homa
hoj	2,460,000 (2001 census).	Haroti
hoh	100 (1998 H. Mutzafi).	Hobyót
hoi	6 (Golla 2007). Ethnic population: 200 (Golla 2007).	Holikachuk
hov	1,000 (1991 NTM).	Hovongan
how	140,000 (Bradley 2007b).	Honi
hot	2,300 (2000 census). Ethnic population: 2,350.	Hote
hor	No known L1 speakers.	Horo
hos		Ho Chi Minh City Sign Language
hop	6,780 (2010 census), decreasing. 40 monolinguals. Ethnic population: 7,350 (Golla 2007).	Hopi
hoz	3,000 (1995 SIL).	Hozo
hoy	500 (2002 survey).	Holiya
fir	2,500 (Blench 2003).	Firan
fip	195,000 (2002 census). About 140,000 speakers of Northern, 45,000 of Kwa, and 10,000 of Milanzi varieties.	Fipa
