Aari	aiw	aari1239
Aariya	aay	aari1240
Aasax	aas	aasa1238
Abadi	kbt	abad1241
Abaga	abg	abag1245
Abai Sungai	abf	abai1240
Abanyom	abm	aban1242
Abau	aau	abau1245
Abawiri	flh	foau1240
Abaza	abq	abaz1241
Abé	aba	abee1242
Abenlen Ayta	abp	aben1249
Abidji	abi	abid1235
Abinomn	bsa	abin1243
Abipon	axb	abip1241
Abkhaz	abk	abkh1244
Abom	aob	abom1238
Abon	abo	abon1238
Abron	abr	abro1238
Abu	ado	abuu1241
Abua	abn	abua1244
Abu' Arapesh	aah	abua1245
Abui	abz	abui1241
Abun	kgr	abun1252
Abure	abu	abur1243
Abureni	mgj	abur1244
Acatepec Me'phaa	tpx	acat1239
Acehnese	ace	achi1257
Achagua	aca	acha1250
Ache	yif	ache1244
Aché	guq	ache1246
Acheron	acz	ache1245
Achi	acr	achi1256
Achi', Cubulco	acc	achi1258
Achuar-Shiwiar	acu	achu1248
Achumawi	acv	achu1247
Acoli	ach	acol1236
Acroá	acs	acro1239
Adabe	adb	adab1235
Adai	xad	adai1235
Adamawa Fulfulde	fub	adam1253
Adamorobe Sign Language	ads	adam1238
Adang	adn	adan1251
Adangbe	adq	adan1248
Adangme	ada	adan1247
Adap	adp	adap1234
Adasen	tiu	adas1235
Adhola	adh	adho1243
Adioukrou	adj	adio1239
Adiwasi Garasia	gas	adiw1235
Adnyamathanha	adt	adny1235
Adonara	adr	adon1237
Aduge	adu	adug1238
Adyghe	ady	adyg1241
Adzera	adz	adze1240
Adzera (Retired)	azr	adze1241
Aeka	aez	aeka1244
Aekyom	awi	aeky1238
Aer	aeq	aerr1238
Aewa	ash	abis1238
Afade	aal	afad1236
Afar	aar	afar1241
Afghan Sign Language	afg	afgh1239
Afitti	aft	afit1238
Afrihili	afh	afri1275
Afrikaans	afr	afri1274
Afro-Seminole Creole	afs	afro1254
Agarabi	agd	agar1252
Agariya	agi	agar1251
Agatu	agc	agat1236
Agavotaguerra	avo	agav1236
Aghem	agq	aghe1239
Aghu	ahh	aghu1255
Aghul	agx	aghu1253
Aghu Tharnggalu	ggr	aghu1254
Aghu Tharnggalu (Retired)	gtu	aghu1256
Aghwan	xag	aghw1237
Agi	aif	agii1245
Agob-Ende-Kawam	kit	agob1244
Agoi	ibm	agoi1246
Agta-Pahanan	apf	agta1234
Aguacateco	agu	agua1252
Aguano	aga	agua1251
Aguaruna	agr	agua1253
Aguna	aug	agun1238
Agusan Manobo	msm	agus1235
Agutaynen	agn	agut1237
Agwagwune	yay	agwa1247
Àhàn	ahn	ahan1244
Ahanta	aha	ahan1243
Ahe	ahe	ahea1240
Ahin-Kayapa Kalanguya	kak	ahin1234
Ahirani	ahr	ahir1243
Ahom	aho	ahom1240
Ahtena	aht	ahte1237
Ai-Cham	aih	aich1238
Aighon	aix	aigh1235
Aikanã	tba	aika1237
Aiklep	mwg	aikl1237
Aiku	mzf	aiku1240
Aimaq	aiq	aima1241
Aimele	ail	aime1238
Aimol	aim	aimo1244
Ainbai	aic	ainb1238
Ainu (China)	aib	ainu1251
Aiome	aki	aiom1240
Airoran	air	airo1242
Aisi	mmq	musa1266
Aiton	aio	aito1238
Äiwoo	nfl	ayiw1239
Aja (Benin)	ajg	ajab1235
Aja (Sudan)	aja	ajas1235
Ajawa	ajw	ajaw1236
Ajië	aji	ajie1238
Ajumbu	muc	mbuu1238
Ajyíninka Apurucayali	cpc	ajyi1238
Ak	akq	akkk1240
Aka	soh	akaa1242
Akabea	abj	akab1249
Akabo	akm	akab1248
Akacari	aci	akac1240
Akajeru	akj	akaj1239
Akakede	akx	akak1252
Akakol	aky	akak1253
Akakora	ack	akak1251
Akan	aka	akan1250
Akarbale	acl	akar1243
Akaselem	aks	akas1242
Akateko	knj	west2635
Akawaio	ake	akaw1239
Ake	aik	akee1238
Akebu	keu	akeb1238
Akei	tsr	akei1237
Akeu	aeu	akeu1235
Akha	ahk	akha1245
Akhvakh	akv	akhv1239
Akie	mwy	mosi1247
Akkadian	akk	akka1240
Akkala Saami	sia	akka1237
Aklanon	akl	akla1241
Akolet	akt	akol1237
Akoose	bss	akoo1248
Akoye	miw	akoy1238
Akpa	akf	akpa1238
Akpes	ibe	akpe1248
Akuku	ayk	akuk1235
Akum	aku	akum1238
Akuntsu	aqz	akun1241
Akurio	ako	akur1238
Akwa	akw	akwa1248
Alaba-K'abeena	alw	alab1254
Alabama	akz	alab1237
Alabat Island Agta	dul	alab1246
Alacatlatzala Mixtec	mim	alac1244
Alago	ala	alag1242
Alagwa	wbj	alag1248
Alak	alk	alak1253
Alamblak	amp	alam1246
Alamuti	goz	goza1238
Alangan	alj	alan1249
Alapmunte	apv	alap1235
Alawa	alh	alaw1244
Albanian Sign Language	sqk	alba1271
Alcozauca Mixtec	xta	alco1235
Ale	wlr	wail1242
Ale-Gawwada	gwd	gaww1239
Alege	alf	aleg1238
Alekano	gah	alek1238
Aleut	ale	aleu1260
Algerian Arabic	arq	alge1239
Algerian Saharan Arabic	aao	alge1240
Algerian Sign Language	asp	alge1235
Algonquin	alq	algo1255
Alladian	ald	alla1248
Allar	all	alla1247
Alngith	aid	alng1239
Aloápam Zapotec	zaq	aloa1235
Alo Phola	ypo	alop1235
Alorese	aol	alor1247
Al-Sayyid Bedouin Sign Language	syy	alsa1242
Alsea-Yaquina	aes	alse1251
Alugu	aub	alug1235
Alu Kurumba	xua	aluk1238
Alumu-Tesu	aab	alum1246
Alune	alp	alun1238
Aluo	yna	aluo1235
Alur	alz	alur1250
Alu-Sinagen	dia	diaa1238
Alutor	alr	alut1245
Alviri-Vidari	avd	alvi1241
Alyawarr	aly	alya1239
Amahai	amq	amah1245
Amahuaca	amc	amah1246
Amaimon	ali	amai1246
Amal	aad	amal1242
Amanab	amn	aman1265
Amanayé	ama	aman1266
Amapá Creole	amd	amap1241
Ama (Papua New Guinea)	amm	amap1240
Amara	aie	amar1272
Amarakaeri	amr	amar1274
Amarasi	aaz	amar1273
Ama (Sudan)	nyi	amas1236
Amatlán Zapotec	zpo	amat1238
Ambai	amk	amba1265
Ambakich	aew	amba1269
Ambala Ayta	abc	amba1267
Amba (Solomon Islands)	utp	amba1266
Amba (Uganda)	rwm	amba1263
Ambelau	amv	ambe1248
Ambele	ael	ambe1247
Amblong	alm	ambl1237
Ambo	amb	ambo1249
Ambonese Malay	abs	ambo1250
Ambo-Pasco Quechua	qva	ambo1252
Ambrak	aag	ambr1239
Ambulas	abt	ambu1247
Amdang	amj	amda1238
Amdo Tibetan	adx	amdo1237
Amele	aey	amel1241
Amerax	aex	amer1256
American Sign Language	ase	amer1248
Amganad Ifugao	ifa	amga1235
Amharic	amh	amha1245
Ami	amy	amii1238
Amikoana	akn	amik1238
