Macrolanguage Identifier	Macrolanguage Name	Individual Language Identifier	Individual Language Name
aka	Akan	fat	Fanti
aka	Akan	twi	Twi
ara	Arabic	aao	Algerian Saharan Arabic
ara	Arabic	abh	Tajiki Arabic
ara	Arabic	abv	Baharna Arabic
ara	Arabic	acm	Mesopotamian Arabic
ara	Arabic	acq	Ta'izzi-Adeni Arabic
ara	Arabic	acw	Hijazi Arabic
ara	Arabic	acx	Omani Arabic
ara	Arabic	acy	Cypriot Arabic
ara	Arabic	adf	Dhofari Arabic
ara	Arabic	aeb	Tunisian Arabic
ara	Arabic	aec	Saidi Arabic
ara	Arabic	afb	Gulf Arabic
ara	Arabic	ajp	South Levantine Arabic
ara	Arabic	apc	North Levantine Arabic
ara	Arabic	apd	Sudanese Arabic
ara	Arabic	arb	Standard Arabic
ara	Arabic	arq	Algerian Arabic
ara	Arabic	ars	Najdi Arabic
ara	Arabic	ary	Moroccan Arabic
ara	Arabic	arz	Egyptian Arabic
ara	Arabic	auz	Uzbeki Arabic
ara	Arabic	avl	Eastern Egyptian Bedawi Arabic
ara	Arabic	ayh	Hadrami Arabic
ara	Arabic	ayl	Libyan Arabic
ara	Arabic	ayn	Sanaani Arabic
ara	Arabic	ayp	North Mesopotamian Arabic
ara	Arabic	bbz	Babalia Creole Arabic
ara	Arabic	pga	Sudanese Creole Arabic
ara	Arabic	shu	Chadian Arabic
ara	Arabic	ssh	Shihhi Arabic
aym	Aymara	ayc	Southern Aymara
aym	Aymara	ayr	Central Aymara
aze	Azerbaijani	azb	South Azerbaijani
aze	Azerbaijani	azj	North Azerbaijani
bal	Baluchi	bcc	Southern Balochi
bal	Baluchi	bgn	Western Balochi
bal	Baluchi	bgp	Eastern Balochi
bik	Bikol	bcl	Central Bikol
bik	Bikol	bhk	Albay Bicolano
bik	Bikol	bln	Southern Catanduanes Bikol
bik	Bikol	bto	Rinconada Bikol
bik	Bikol	cts	Northern Catanduanes Bikol
bik	Bikol	fbl	West Albay Bikol
bik	Bikol	lbl	Libon Bikol
bik	Bikol	rbl	Miraya Bikol
bik	Bikol	ubl	Buhi'non Bikol
bnc	Bontok	ebk	Eastern Bontok
bnc	Bontok	lbk	Central Bontok
bnc	Bontok	obk	Southern Bontok
bnc	Bontok	rbk	Northern Bontok
bnc	Bontok	vbk	Southwestern Bontok
bua	Buriat	bxm	Mongolia Buriat
bua	Buriat	bxr	Russia Buriat
bua	Buriat	bxu	China Buriat
chm	Mari (Russia)	mhr	Eastern Mari
chm	Mari (Russia)	mrj	Western Mari
cre	Cree	crj	Southern East Cree
cre	Cree	crk	Plains Cree
cre	Cree	crl	Northern East Cree
cre	Cree	crm	Moose Cree
cre	Cree	csw	Swampy Cree
cre	Cree	cwd	Woods Cree
del	Delaware	umu	Munsee
del	Delaware	unm	Unami
den	Slave (Athapascan)	scs	North Slavey
den	Slave (Athapascan)	xsl	South Slavey
din	Dinka	dib	South Central Dinka
din	Dinka	dik	Southwestern Dinka
din	Dinka	dip	Northeastern Dinka
din	Dinka	diw	Northwestern Dinka
din	Dinka	dks	Southeastern Dinka
doi	Dogri (macrolanguage)	dgo	Dogri (individual language)
doi	Dogri (macrolanguage)	xnr	Kangri
est	Estonian	ekk	Standard Estonian
est	Estonian	vro	Võro
fas	Persian	pes	Iranian Persian
fas	Persian	prs	Dari
ful	Fulah	ffm	Maasina Fulfulde
ful	Fulah	fub	Adamawa Fulfulde
ful	Fulah	fuc	Pulaar
ful	Fulah	fue	Borgu Fulfulde
ful	Fulah	fuf	Pular
ful	Fulah	fuh	Western Niger Fulfulde
ful	Fulah	fui	Bagirmi Fulfulde
ful	Fulah	fuq	Central-Eastern Niger Fulfulde
ful	Fulah	fuv	Nigerian Fulfulde
gba	Gbaya (Central African Republic)	bdt	Bokoto
gba	Gbaya (Central African Republic)	gbp	Gbaya-Bossangoa
gba	Gbaya (Central African Republic)	gbq	Gbaya-Bozoum
gba	Gbaya (Central African Republic)	gmm	Gbaya-Mbodomo
gba	Gbaya (Central African Republic)	gso	Southwest Gbaya
gba	Gbaya (Central African Republic)	gya	Northwest Gbaya
gba	Gbaya (Central African Republic)	mdo	Southwest Gbaya
gon	Gondi	esg	Aheri Gondi
gon	Gondi	ggo	Southern Gondi
gon	Gondi	gno	Northern Gondi
gon	Gondi	wsg	Adilabad Gondi
grb	Grebo	gbo	Northern Grebo
