Iran	Iran, Islamic Rep.
Turks and Caicos Islands	Turks and Caicos Isl.
Democratic Republic of the Congo	Congo, Rep.
Saint Lucia	St. Lucia
China–Hong Kong	Hong Kong, China
Macedonia	Macedonia, FYR
Saint Kitts and Nevis	St. Kitts and Nevis
Faroe Islands	Faeroe Islands
Gambia	Gambia, The
Anguilla	Anguila
Egypt	Egypt, Arab Rep.
Caribbean Netherlands	Netherlands Antilles
Czechia	Czech Republic
Serbia	Serbia, FR(Serbia/Montenegro)
Cape Verde Islands	Cabo Verde
São Tomé e Príncipe	Sao Tome and Principe
Viet Nam	Vietnam
Syria	Syrian Arab Republic
Bahamas	Bahamas, The
Saint Vincent and the Grenadines	St. Vincent and the Grenadines
Côte d’Ivoire	Cote d'Ivoire
Kyrgyzstan	Kyrgyz Republic
South Sudan	Fm Sudan
Slovakia	Slovak Republic
Micronesia	Micronesia, Fed. Sts.
China–Macao	Macao
