Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Anguila,...,...,Export,No. Of Export partners,,,,,,,,,,             26.00,             31.00,             22.00,,             23.00,             25.00,             24.00,             24.00,             20.00,,,,,,,,,,,,
Anguila,...,...,Export,No. Of Export products,,,,,,,,,,            277.00,            265.00,            212.00,,            212.00,            191.00,            200.00,            237.00,            190.00,,,,,,,,,,,,
Anguila,...,...,Import,No. Of Import partners,,,,,,,,,,             87.00,             90.00,             84.00,,             75.00,             75.00,             76.00,             78.00,             82.00,,,,,,,,,,,,
Anguila,...,...,Import,No. Of Import products,,,,,,,,,,           1623.00,           1647.00,           1553.00,,           1566.00,           1511.00,           1491.00,           1522.00,           1588.00,,,,,,,,,,,,
Anguila,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguila,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.08,,,,,,,,,,,,,,,
Anguila,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              0.30,,,,,,,,,,,,
Anguila,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              5.72,,,,,,,,,,,,,,,,,,,,
Anguila,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,              3.64,,,,,,,,,,,,
Anguila,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              0.14,,              0.09,,              0.29,              0.19,              0.30,              0.34,              0.20,,,,,,,,,,,,
Anguila,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              4.48,,,              3.27,              2.48,              2.47,,,,,,,,,,,,,,
Anguila,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              4.39,              3.17,              3.67,,              0.21,              0.97,,,              0.22,,,,,,,,,,,,
Anguila,Guyana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              5.41,,              5.63,,,,,,,,,,,,,,,,,,
Anguila,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              0.13,              0.12,,,,,,,,,,,,,
Anguila,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              6.56,              5.77,,,              2.65,,              2.10,              3.82,,,,,,,,,,,,
Anguila,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              4.30,              1.26,              6.24,,              2.74,              0.56,              0.84,              1.03,              0.20,,,,,,,,,,,,
Anguila,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             20.52,             19.71,             12.08,,              7.59,              5.59,              5.64,              5.72,              6.33,,,,,,,,,,,,
Anguila,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              0.49,,,,,,,,,,,,,,,,
Anguila,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,              0.15,,,,,,,,,,,,,
Anguila,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             39.32,             26.26,             24.43,,              7.11,              3.82,              4.09,              4.12,              7.30,,,,,,,,,,,,
Anguila,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              0.42,,,,,,,,,,,,,,,,,,,
Anguila,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              0.21,              0.87,              0.97,,,,              0.15,,,,,,,,,,,,,,
Anguila,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,              5.71,,              2.15,              2.42,,,,,,,,,,,,,
Anguila,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              1.95,              1.83,              1.05,,              1.53,              2.19,              2.48,              1.22,              2.77,,,,,,,,,,,,
Anguila,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            161.48,            153.50,             98.65,,             63.24,             50.59,             45.63,             54.37,             62.10,,,,,,,,,,,,
Anguila,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguila,World,Animal,Export,Export(US$ Mil),,,,,,,,,,              0.05,              0.06,,,              0.01,              0.00,              0.01,              0.09,              0.00,,,,,,,,,,,,
Anguila,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,              1.30,              1.35,              1.23,,              3.25,              1.64,              1.04,              1.19,              2.28,,,,,,,,,,,,
Anguila,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,              0.03,              0.00,              0.02,,              0.05,              0.04,              0.28,              0.08,              0.02,,,,,,,,,,,,
Anguila,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,              7.22,              6.66,             10.68,,              2.23,              2.35,              2.86,              1.45,              1.46,,,,,,,,,,,,
Anguila,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,              4.73,              4.26,              9.81,,              0.39,              1.20,              0.68,              0.25,              0.63,,,,,,,,,,,,
Anguila,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,              0.01,              0.00,,,              0.01,              0.00,              0.00,              0.01,              0.00,,,,,,,,,,,,
Anguila,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,              0.04,              0.11,              0.00,,              0.60,              0.01,              0.02,              0.01,              0.00,,,,,,,,,,,,
Anguila,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,              0.00,              0.00,,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,,,,,,,
Anguila,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,              0.44,              0.61,              0.04,,              0.06,              0.02,              0.05,              0.11,              0.03,,,,,,,,,,,,
Anguila,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,              1.74,              1.23,              0.98,,              1.30,              1.08,              0.42,              0.64,              1.72,,,,,,,,,,,,
Anguila,World,Metals,Export,Export(US$ Mil),,,,,,,,,,              0.85,              0.68,              0.16,,              0.07,              0.10,              0.26,              0.11,              0.13,,,,,,,,,,,,
Anguila,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,              0.00,,,              0.01,              0.00,              0.01,              0.06,              0.00,,,,,,,,,,,,
Anguila,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,              0.35,              0.45,              0.35,,              1.74,              0.30,              0.78,              0.18,              0.19,,,,,,,,,,,,
Anguila,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,              0.07,              0.04,              0.01,,              0.01,              0.01,              0.02,              0.01,              0.01,,,,,,,,,,,,
Anguila,World,Raw materials,Export,Export(US$ Mil),,,,,,,,,,              0.06,              0.06,              0.00,,              0.01,              0.00,              0.00,,              0.00,,,,,,,,,,,,
Anguila,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,              2.24,              0.02,              0.07,,              0.26,              0.45,              0.65,              0.36,              0.38,,,,,,,,,,,,
Anguila,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,              0.09,              0.05,              0.04,,              0.03,              0.05,              0.01,              0.07,              0.06,,,,,,,,,,,,
Anguila,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,              1.26,              2.24,              0.79,,              1.21,              0.97,              1.18,              1.24,              0.84,,,,,,,,,,,,
Anguila,World,Vegetable,Export,Export(US$ Mil),,,,,,,,,,              0.00,              0.01,              0.00,,              0.05,              0.01,              0.00,              0.04,              0.01,,,,,,,,,,,,
Anguila,World,Wood,Export,Export(US$ Mil),,,,,,,,,,              0.02,              0.04,              0.01,,              0.01,              0.01,              0.02,              0.06,              0.01,,,,,,,,,,,,
Anguila,World,All Products,Export,Exports (in US$ Mil),,,,,,,,,,             11.47,              9.19,             12.24,,              5.75,              4.24,              4.34,              3.20,              4.00,,,,,,,,,,,,
Anguila,World,Capital goods,Import,Import(US$ Mil),,,,,,,,,,             31.42,             36.01,             25.72,,             20.64,             11.26,              8.55,             12.67,             14.30,,,,,,,,,,,,
Anguila,World,Consumer goods,Import,Import(US$ Mil),,,,,,,,,,            128.81,            116.62,             95.48,,             46.12,             37.41,             34.80,             36.44,             44.06,,,,,,,,,,,,
Anguila,World,Intermediate goods,Import,Import(US$ Mil),,,,,,,,,,             30.58,             24.33,             10.15,,              5.67,              4.16,              3.54,              4.20,              4.88,,,,,,,,,,,,
Anguila,World,Raw materials,Import,Import(US$ Mil),,,,,,,,,,              7.50,              7.76,              6.22,,              5.40,              4.93,              4.00,              4.61,              4.22,,,,,,,,,,,,
Anguila,World,All Products,Import,Imports (in US$ Mil),,,,,,,,,,            271.74,            247.90,            174.90,,            102.44,             76.78,             69.89,             77.70,             94.51,,,,,,,,,,,,
Anguila,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,      0.20,      0.15,      0.27,,      0.08,      0.24,      0.08,      0.13,      0.18,,,,,,,,,,,,
Anguila,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,      1.21,      1.15,      1.11,,      1.11,      1.11,      1.11,      1.13,      1.13,,,,,,,,,,,,
Anguila,Antigua and Barbuda,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,      1.89,,,,,,,,,,,,,,,
Anguila,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,      7.41,,,,,,,,,,,,
Anguila,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,      2.10,,,,,,,,,,,,,,,,,,,,
Anguila,Finland,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,      3.85,,,,,,,,,,,,
Anguila,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,      1.21,,      0.71,,      5.13,      4.56,      6.84,     10.75,      5.06,,,,,,,,,,,,
Anguila,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,      1.81,,,      3.20,      3.23,      3.54,,,,,,,,,,,,,,
Anguila,Guyana,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,     38.26,     34.52,     30.00,,      3.60,     22.77,,,      5.42,,,,,,,,,,,,
Anguila,Guyana,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,      1.99,,      3.22,,,,,,,,,,,,,,,,,,
Anguila,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,      2.96,      3.84,,,,,,,,,,,,,
Anguila,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,      2.65,      3.30,,,      3.45,,      2.71,      4.04,,,,,,,,,,,,
Anguila,Netherlands Antilles,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,     37.51,     13.67,     50.96,,     47.66,     13.11,     19.29,     32.22,      4.89,,,,,,,,,,,,
Anguila,Netherlands Antilles,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,      7.55,      7.95,      6.91,,      7.41,      7.29,      8.07,      7.37,      6.70,,,,,,,,,,,,
Anguila,St. Lucia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,      8.49,,,,,,,,,,,,,,,,
Anguila,Trinidad and Tobago,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,      4.78,,,,,,,,,,,,,
Anguila,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,     14.47,     10.59,     13.97,,      6.94,      4.98,      5.85,      5.31,      7.72,,,,,,,,,,,,
Anguila,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,      4.55,,,,,,,,,,,,,,,,,,,
Anguila,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,      1.85,      9.49,      7.91,,,,      3.51,,,,,,,,,,,,,,
Anguila,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,      5.57,,      3.07,      3.11,,,,,,,,,,,,,
Anguila,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,     17.01,     19.91,      8.61,,     26.53,     51.62,     56.98,     38.09,     69.28,,,,,,,,,,,,
Anguila,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,     59.42,     61.92,     56.41,,     61.73,     65.89,     65.28,     69.97,     65.71,,,,,,,,,,,,
