Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Andorra,...,...,Development,GDP (current US$ Mil),           3012.91,           2877.31,           2811.49,           3350.74,           3281.59,           3164.62,           3442.06,           3355.70,           3660.53,           4007.35,           4016.97,           3543.26,           3255.79,           2935.66,           2398.65,           1733.12,           1496.91,           1434.43,           1239.88,           1211.93,           1180.60,           1223.95,           1178.74,           1017.55,           1007.03,           1210.01,           1106.93,           1029.05,            795.45,            721.43
Andorra,...,...,Export,No. Of Export partners,,,,            121.00,            112.00,            107.00,             98.00,             98.00,             76.00,             75.00,             69.00,             66.00,,             60.00,             68.00,             64.00,             58.00,             50.00,             45.00,             29.00,             25.00,             29.00,             22.00,,,,,,,
Andorra,...,...,Export,No. Of Export products,,,,           1032.00,            978.00,           1057.00,           1111.00,           1067.00,           1053.00,           1074.00,           1122.00,           1117.00,,            951.00,            973.00,            938.00,           1005.00,            995.00,            999.00,            861.00,            808.00,            855.00,            836.00,,,,,,,
Andorra,...,...,Import,No. Of Import partners,,,,            124.00,            130.00,            122.00,            125.00,            118.00,            127.00,            129.00,            129.00,            122.00,,            131.00,            131.00,            126.00,            127.00,            137.00,            108.00,            117.00,             98.00,            104.00,             94.00,,,,,,,
Andorra,...,...,Import,No. Of Import products,,,,           2934.00,           2932.00,           2898.00,           2969.00,           2918.00,           2882.00,           2904.00,           2884.00,           3006.00,,           3092.00,           3061.00,           3071.00,           3102.00,           3145.00,           3146.00,           3145.00,           3084.00,           3057.00,           3050.00,,,,,,,
Andorra,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              2.52,              2.75,,,,              0.53,,,,,,,,,,,
Andorra,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              1.26,              1.63,              1.01,              0.40,,,,,,,
Andorra,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             64.45,             55.77,             52.69,             67.83,             62.88,             55.15,             62.52,,,,,,,,,,,,,,,,,,,,
Andorra,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             16.93,             18.40,             18.09,             21.65,             15.48,             14.91,             16.39,             21.84,             23.86,,             29.20,             17.18,             18.61,             13.64,             11.91,             13.10,             17.08,             19.97,             18.20,             22.91,,,,,,,
