Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Argentina,...,...,Development,GDP (current US$ Mil),         637430.33,         554860.95,         594749.29,         526319.67,         552025.14,         545982.38,         530163.28,         423627.42,         332976.48,         361558.04,         287530.51,         232557.26,         198737.10,         164657.93,         127586.97,          97724.00,         268696.75,         284203.75,         283523.00,         298948.25,         292859.00,         272149.75,         258031.75,         257440.00,         236741.72,         228788.62,         189719.98,         141352.37,          76636.90,         126206.82
Argentina,...,...,Export,No. Of Export partners,            182.00,            185.00,            184.00,            184.00,            183.00,            183.00,            182.00,            185.00,            182.00,            179.00,            182.00,            180.00,            182.00,            177.00,            167.00,            164.00,            160.00,            158.00,            147.00,            156.00,            158.00,            152.00,            150.00,            145.00,            136.00,,,,,
Argentina,...,...,Export,No. Of Export products,           3335.00,           3353.00,           3391.00,           3457.00,           3550.00,           3612.00,           3696.00,           3727.00,           3797.00,           3847.00,           3861.00,           4037.00,           4060.00,           4002.00,           3967.00,           3999.00,           3939.00,           3964.00,           4011.00,           4034.00,           4013.00,           3957.00,           3988.00,           3820.00,           3693.00,,,,,
Argentina,...,...,Import,No. Of Import partners,            185.00,            175.00,            151.00,            169.00,            175.00,            176.00,            161.00,            157.00,            158.00,            158.00,            156.00,            158.00,            136.00,            156.00,            135.00,            138.00,            146.00,            148.00,            131.00,            135.00,            147.00,            150.00,            137.00,            105.00,            105.00,,,,,
Argentina,...,...,Import,No. Of Import products,           4102.00,           4043.00,           4046.00,           4007.00,           4061.00,           4083.00,           4196.00,           4201.00,           4194.00,           4237.00,           4241.00,           4458.00,           4465.00,           4424.00,           4375.00,           4248.00,           4553.00,           4573.00,           4638.00,           4659.00,           4664.00,           4656.00,           4677.00,           4679.00,           4653.00,,,,,
Argentina,...,...,Tariff,No. Of Tariff Agreement,             31.00,             61.00,             61.00,             59.00,             58.00,             56.00,             55.00,             60.00,             56.00,             55.00,             13.00,             13.00,             12.00,             13.00,              1.00,              1.00,              4.00,              3.00,              3.00,              2.00,              3.00,              4.00,              7.00,,              1.00,,,,,
Argentina,...,...,Development,Trade Balance (current US$ Mil),         -16940.96,          -5294.76,          -6393.09,           2127.19,           -549.72,          10642.16,           8971.76,          12270.93,          16864.74,          13446.80,          12594.79,          13069.51,          11805.94,          11530.32,          14311.61,          14670.79,           3508.54,          -1846.46,          -4900.40,          -7530.10,          -6485.30,          -1767.00,          -1059.48,          -7914.86,          -5692.33,          -3511.00,           3029.89,           8096.97,           4965.32,           4189.77
Argentina,Bolivia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           2722.27,           2844.47,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9307.37,           9027.62,          10099.06,          13882.52,          15948.97,          16456.67,          17317.11,          14432.99,          11379.43,          13273.28,          10486.06,           8140.97,           6328.29,           5411.83,           4663.29,           4827.79,           6205.63,           6990.80,           5689.54,           7949.23,           8133.07,           6614.80,           5484.10,           3654.81,           2814.18,,,,,
Argentina,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17870.30,          13597.45,          13006.16,          14159.89,          19161.46,          17676.65,          22181.04,          17948.82,          11819.24,          17976.76,          14660.27,          11871.44,          10625.33,           7562.43,           4699.63,           2518.27,           5277.76,           6478.45,           5598.94,           7060.52,           6894.56,           5327.09,           4175.95,           4285.89,           3568.42,,,,,
Argentina,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2620.65,           2297.40,           2403.27,           2791.56,           3823.12,           5051.83,           4772.32,           4493.08,           4386.66,           4713.57,           4176.20,           4404.62,           4497.16,           3830.58,           3536.33,           2961.08,           2851.69,           2674.33,           1868.95,           1857.00,           1931.58,           1765.80,           1475.09,            998.81,            591.85,,,,,
Argentina,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4324.96,           4425.23,           5173.79,           4459.98,           5511.59,           5068.30,           6033.12,           5798.86,           3666.46,           6354.96,           5166.61,           3475.85,           3154.29,           2630.45,           2478.42,           1092.35,           1122.61,,,,            871.00,,,,,,,,,
Argentina,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          12314.22,          10467.48,          11742.52,          10708.72,          11312.45,           9900.61,          10572.98,           7649.02,           4822.60,           7103.89,           5092.95,           3121.71,           1528.62,           1400.97,            720.75,            330.24,           1066.33,           1156.74,,,,,,,,,,,,
Argentina,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,           1774.29,           1852.05,           1373.08,           1181.26,           1039.99,           1072.14,            738.61,,,,,
Argentina,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,            625.13,,,,,
Argentina,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3229.33,           3053.22,           3130.09,           3506.64,           3892.13,           3698.23,           3645.60,           3215.19,           1993.91,           2533.59,           2131.32,           1544.88,           1335.33,           1092.73,            768.79,            553.55,           1051.95,           1261.83,           1409.31,           1876.04,           1653.39,           1427.30,           1250.61,           1382.38,           1023.50,,,,,
Argentina,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           2003.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            736.45,            654.34,,,,,,
Argentina,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            766.06,,            443.52,,            839.42,           1014.25,           1354.69,           1604.97,           1737.43,           1503.49,           1258.99,           1431.12,            980.86,,,,,
Argentina,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            314.05,,,,,,,,,,,,,,
