Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Australia,...,...,Development,GDP (current US$ Mil),        1323421.07,        1208039.02,        1349034.03,        1464955.48,        1573696.52,        1543411.01,        1394280.78,        1144260.55,         926448.24,        1052584.60,         851962.79,         745521.86,         692641.71,         611904.25,         466294.70,         394486.71,         378215.09,         415034.23,         388395.16,         398899.14,         434568.01,         400302.73,         367216.36,         322201.31,         311528.95,         324878.11,         325358.29,         310838.01,         299317.65,         235699.94
Australia,...,...,Export,No. Of Export partners,            211.00,            211.00,            212.00,            212.00,            211.00,            213.00,            212.00,            215.00,            215.00,            218.00,            216.00,            215.00,            213.00,            217.00,            215.00,            215.00,            217.00,            219.00,            205.00,            203.00,            201.00,            196.00,            202.00,            205.00,            196.00,            188.00,            180.00,            176.00,            178.00,            176.00
Australia,...,...,Export,No. Of Export products,           4181.00,           4182.00,           4207.00,           4188.00,           4210.00,           4224.00,           4254.00,           4278.00,           4278.00,           4279.00,           4297.00,           4519.00,           4551.00,           4544.00,           4546.00,           4584.00,           4592.00,           4589.00,           4588.00,           4548.00,           4571.00,           4544.00,           4564.00,           4549.00,           4570.00,           4523.00,           4511.00,           4490.00,           4471.00,           4455.00
Australia,...,...,Import,No. Of Import partners,            219.00,            217.00,            214.00,            215.00,            211.00,            211.00,            214.00,            209.00,            212.00,            208.00,            210.00,            211.00,            209.00,            206.00,            207.00,            203.00,            202.00,            204.00,            182.00,            178.00,            174.00,            170.00,            167.00,            167.00,            169.00,            160.00,            152.00,            149.00,            148.00,            150.00
Australia,...,...,Import,No. Of Import products,           4362.00,           4373.00,           4373.00,           4366.00,           4367.00,           4365.00,           4386.00,           4386.00,           4402.00,           4408.00,           4431.00,           4640.00,           4682.00,           4699.00,           4683.00,           4683.00,           4744.00,           4745.00,           4745.00,           4783.00,           4802.00,           4791.00,           4856.00,           4860.00,           4848.00,           4826.00,           4817.00,           4839.00,           4869.00,           4848.00
Australia,...,...,Tariff,No. Of Tariff Agreement,             28.00,             27.00,             25.00,             25.00,             25.00,             25.00,             22.00,             21.00,             13.00,             13.00,             13.00,             14.00,              9.00,              9.00,              9.00,              9.00,              9.00,              9.00,              9.00,              5.00,              9.00,              9.00,,,              7.00,,              6.00,,,
Australia,...,...,Development,Trade Balance (current US$ Mil),           8572.29,         -27367.16,         -20525.00,          -6274.67,         -20428.85,          -3845.12,          13493.05,         -11801.29,           1964.36,         -26845.12,         -14026.85,         -13551.21,         -19006.16,         -16623.99,          -9824.11,            -31.92,            326.29,          -8967.53,          -9508.71,          -3507.43,           1194.24,          -1817.15,          -7226.02,          -1661.02,           -999.86,            885.18,           -431.68,          -5989.23,          -5487.34,          -1557.04
Australia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          68095.68,          59992.75,          61012.46,          81413.61,          87311.42,          75836.31,          73804.14,          53740.40,          33389.24,          27225.18,          19967.51,          15356.47,          12302.48,           8094.99,           5922.09,           4557.23,           3917.96,           3474.45,,,,,,,,,,,,
Australia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          49970.97,          44241.02,          46292.72,          46854.59,          44861.05,          45996.26,          43447.91,          38004.36,          29211.72,          31588.26,          25898.02,          20327.74,          17341.18,          14073.26,           9832.37,           7332.90,           5625.31,           5568.96,           4239.36,           3626.08,           3475.58,           3188.83,           2825.03,,,,,,,
Australia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          10079.66,,          10706.49,,          11628.40,          10952.15,,,          10003.69,           8514.04,           7071.56,           6935.91,           6275.62,           5459.21,           4183.64,           3617.83,           3582.93,           3668.18,           3564.34,           3362.85,           3600.77,           3770.34,           2946.36,           2414.13,           2323.02,           2326.61,           2515.16,           2472.79,           2199.98
