Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Burundi,...,...,Development,GDP (current US$ Mil),           3172.42,           2959.19,           3104.39,           2705.78,           2451.63,           2333.31,           2235.82,           2032.14,           1781.46,           1611.84,           1356.20,           1273.38,           1117.11,            915.26,            784.65,            825.39,            876.79,            870.49,            808.08,            893.77,            972.90,            869.03,           1000.43,            925.03,            938.63,           1083.04,           1167.40,           1132.10,           1113.92,           1082.40
Burundi,...,...,Export,No. Of Export partners,             59.00,             59.00,             54.00,             65.00,             60.00,             46.00,             59.00,             53.00,             54.00,             53.00,             64.00,             63.00,             63.00,             42.00,             43.00,             38.00,             50.00,             35.00,             25.00,             23.00,             25.00,             25.00,             27.00,             26.00,             26.00,,,,,
Burundi,...,...,Export,No. Of Export products,            553.00,            476.00,            455.00,            482.00,            307.00,            390.00,            282.00,            284.00,            277.00,            258.00,            394.00,            307.00,            295.00,            239.00,            241.00,             75.00,             83.00,             92.00,             63.00,             52.00,             50.00,             67.00,            110.00,            132.00,            130.00,,,,,
Burundi,...,...,Import,No. Of Import partners,            126.00,            111.00,            111.00,            117.00,            114.00,            125.00,            114.00,            112.00,             92.00,             89.00,             95.00,            107.00,             95.00,             78.00,             63.00,             77.00,             99.00,             88.00,             78.00,             71.00,             69.00,             72.00,             73.00,             67.00,             82.00,,,,,
Burundi,...,...,Import,No. Of Import products,           2784.00,           2673.00,           2437.00,           2563.00,           2796.00,           2994.00,           2767.00,           2563.00,           2943.00,           2278.00,           2264.00,           2406.00,           2385.00,           2235.00,           2244.00,           2258.00,           2342.00,           2250.00,           2272.00,           2106.00,           1860.00,           1641.00,           2100.00,           1979.00,           2252.00,,,,,
Burundi,...,...,Tariff,No. Of Tariff Agreement,,              5.00,              5.00,              6.00,              6.00,              6.00,              6.00,              3.00,              2.00,              5.00,              5.00,              1.00,              1.00,,              2.00,              2.00,,,,,,,,,,,,,,
Burundi,...,...,Development,Trade Balance (current US$ Mil),,           -303.03,           -310.85,           -692.68,           -696.26,           -566.99,           -567.90,           -408.46,           -402.61,           -422.30,           -341.76,           -354.00,           -253.58,           -161.73,           -114.67,           -101.54,            -92.99,            -86.32,            -67.78,           -102.25,            -44.80,            -86.32,           -143.58,           -168.45,           -166.88,           -224.49,           -216.99,           -225.31,           -147.01,           -144.64
Burundi,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             18.32,             15.36,,              8.60,,,              7.02,              8.47,              4.54,              6.20,             10.09,              5.36,             19.60,,,,,,,,,,,
Burundi,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             41.83,,             79.57,             69.04,             48.57,             46.54,             54.62,             47.63,             48.98,             30.08,             20.08,             21.15,             21.44,             21.60,             18.36,             19.76,,,,,,,,,,,
Burundi,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             10.61,             24.03,             59.16,             59.67,             72.17,,,,,
Burundi,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             31.32,             21.91,             21.07,             41.23,             28.06,             37.84,,,,,
Burundi,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            100.37,            103.60,             70.54,             72.49,             63.13,             78.39,             60.27,             48.57,             32.28,             23.15,,,,,,              6.43,,,,,,,,,,,,,,
Burundi,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             24.11,             27.47,             28.27,             28.40,             12.01,,,,,              5.92,             14.69,,,,,,,,,,,,,,,,,,,
Burundi,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             83.99,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Djibouti,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,              5.12,,,,,,,,,
Burundi,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              2.72,,,,,,,,,,,,,,,,,,,              5.49,,,,,
Burundi,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             28.82,,,             14.06,             10.39,,              9.21,             10.95,             19.66,              6.28,             14.82,             11.47,             11.46,             36.40,             23.80,             25.33,,,,,
Burundi,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              8.85,              7.42,,             12.42,,,,,              8.41,,,,,,,,,,,              8.76,             13.31,,              4.82,             10.23,,,,,,
Burundi,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,              9.25,              8.07,             11.24,             20.61,             13.99,             15.12,,,,,
Burundi,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            103.32,             88.40,             67.15,             75.16,             77.17,             77.90,,,             19.45,,,,,,,,,,,,,,,,,,,,,
Burundi,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,             15.36,             14.55,,,,,
Burundi,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            176.74,,,,,,,,,,,,,             16.23,,,             15.79,,,,,,,,
Burundi,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              1.54,,,,,,             17.07,,,,,,,,,,,,,,,,,,
Burundi,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             37.86,,,             29.44,             46.82,             22.73,             24.21,             14.79,,,,,,              7.48,,,             15.09,             22.08,,,,,
Burundi,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             14.44,             13.43,             12.96,             13.35,,             15.22,             10.28,              7.27,              7.56,             11.22,             32.28,              8.02,,,,              4.61,,,,,,,,,,,,,
Burundi,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             47.77,             36.22,,             58.31,,,             29.50,             32.05,             27.61,             33.53,             30.94,             31.57,             25.67,             23.38,             15.66,              9.41,              7.67,,,,,,,,,,,,
Burundi,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              1.70,              3.61,              3.75,              5.99,,,,,,,,,,,
Burundi,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             15.07,,,,,,,
Burundi,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             12.98,,,,,,,,,,,             29.94,,,,,,,,,,,,,,,,,,
Burundi,Rwanda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              8.03,,,,,,             10.39,,,              5.12,              2.19,              3.23,,,,,,              4.33,,,,,,,,
Burundi,Saint Helena,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              1.75,,,,,,,,,,,,,,,
