Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Bulgaria,...,...,Development,GDP (current US$ Mil),          58220.97,          53240.95,          50201.31,          56814.54,          55555.17,          53903.02,          57418.41,          50610.06,          51884.48,          54409.14,          44411.48,          34130.12,          29636.62,          25957.97,          20982.69,          16276.46,          14075.62,          13153.02,          13531.97,          14942.17,          11195.61,          10109.61,          13063.42,           9697.42,          10829.71,          10350.52,          10943.55,          20632.09,          21988.44,          22555.94
Bulgaria,...,...,Export,No. Of Export partners,            203.00,            200.00,            207.00,            201.00,            201.00,            198.00,            197.00,            194.00,            200.00,            203.00,            195.00,            187.00,            178.00,            168.00,            175.00,            191.00,            177.00,            172.00,            161.00,            156.00,            154.00,            151.00,,,,,,,,
Bulgaria,...,...,Export,No. Of Export products,           3808.00,           3814.00,           3822.00,           3782.00,           3735.00,           3753.00,           3736.00,           3680.00,           3704.00,           3765.00,           3767.00,           3846.00,           3812.00,           3839.00,           3816.00,           3823.00,           3926.00,           3898.00,           3364.00,           3798.00,           3892.00,           3875.00,,,,,,,,
Bulgaria,...,...,Import,No. Of Import partners,            172.00,            174.00,            171.00,            171.00,            165.00,            159.00,            167.00,            170.00,            219.00,            213.00,            207.00,            187.00,            184.00,            182.00,            167.00,            190.00,            184.00,            185.00,            156.00,            144.00,            144.00,            137.00,,,,,,,,
Bulgaria,...,...,Import,No. Of Import products,           4337.00,           4345.00,           4340.00,           4316.00,           4349.00,           4345.00,           4392.00,           4375.00,           4394.00,           4430.00,           4410.00,           4561.00,           4532.00,           4522.00,           4486.00,           4487.00,           4551.00,           4520.00,           4294.00,           4422.00,           4382.00,           4371.00,,,,,,,,
Bulgaria,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,             14.00,              2.00,              2.00,              2.00,              3.00,              2.00,              2.00,             11.00,              7.00,,,,,,,,,,
Bulgaria,...,...,Development,Trade Balance (current US$ Mil),           2132.07,           2296.55,             74.19,           -534.87,           -228.49,          -1710.18,            216.00,          -1442.13,          -4294.52,         -10750.22,          -8363.33,          -5876.10,          -4377.36,          -2916.77,          -2152.54,          -1308.14,          -1321.69,           -703.10,           -623.50,           1027.72,           1435.84,           1373.67,            263.21,            -60.61,           -826.09,           -603.09,            467.74,           -744.55,           -382.11,            -74.53
Bulgaria,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,           1148.65,            989.81,            699.72,            589.98,            457.66,,,,,,,,,,,,,,,
Bulgaria,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,           1964.05,           1569.85,,,,,,,,,,,,,,,,,,,
Bulgaria,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            307.86,            287.14,,,,,,,,,,,,,
