Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Bahrain,...,...,Development,GDP (current US$ Mil),          35307.13,          32152.69,          31125.85,          33387.71,          32539.55,          30749.31,          28776.60,          25713.27,          22938.22,          25710.88,          21730.00,          18505.05,          15968.73,          13150.17,          11074.82,           9632.16,           8976.21,           9062.91,           6621.01,           6183.78,           6349.20,           6101.86,           5849.47,           5567.55,           5200.27,           4751.06,           4616.22,           4229.79,           3863.56,           3702.39
Bahrain,...,...,Export,No. Of Export partners,,            138.00,            128.00,            139.00,            132.00,            123.00,            122.00,            129.00,            122.00,            100.00,            107.00,            107.00,             94.00,             94.00,             94.00,             99.00,             79.00,             89.00,,,,,,,,,,,,
Bahrain,...,...,Export,No. Of Export products,,           2960.00,           2958.00,           2826.00,           2550.00,           2302.00,           1915.00,           1719.00,           1547.00,           1600.00,           1312.00,           1342.00,           1602.00,           1217.00,           1276.00,           1329.00,           1055.00,           1281.00,,,,,,,,,,,,
Bahrain,...,...,Import,No. Of Import partners,,            212.00,            214.00,            215.00,            212.00,            199.00,            167.00,            177.00,            121.00,            137.00,            106.00,            109.00,            137.00,            109.00,            123.00,            139.00,            120.00,            128.00,,,,,,,,,,,,
Bahrain,...,...,Import,No. Of Import products,,           4118.00,           4119.00,           4130.00,           4117.00,           4130.00,           4088.00,           3959.00,           3897.00,           4271.00,           3875.00,           3739.00,           4079.00,           3834.00,           3944.00,           3926.00,           4026.00,           3974.00,,,,,,,,,,,,
Bahrain,...,...,Tariff,No. Of Tariff Agreement,,              6.00,              9.00,              5.00,              4.00,              4.00,              4.00,              1.00,              4.00,              4.00,              4.00,              3.00,              3.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,
Bahrain,...,...,Development,Trade Balance (current US$ Mil),,           2694.15,           3351.06,           5521.28,           5771.28,           5659.57,           7101.06,           4783.24,           4350.80,           4955.05,           4688.03,           4103.19,           3109.84,           2166.22,           1775.80,           1331.91,           1812.77,           2043.88,           1052.93,             44.41,            607.71,            714.63,            673.67,            401.33,            163.56,           -587.23,           -490.96,            886.17,            425.53,            660.64
Bahrain,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            607.88,            853.45,            724.73,            333.68,            429.52,,            286.58,            269.00,            284.31,            258.30,,,,,,,,,,,,
Bahrain,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           1257.98,           1828.59,,,,,,,,,,,,,,,,,,,,,,
Bahrain,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1429.74,           1571.37,           1615.88,           1335.87,           1360.00,           1367.04,           1178.04,            817.95,           1109.84,            479.75,            330.45,,,,,,,,,,,,,,,,,,
Bahrain,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            380.55,            240.89,            260.26,            280.19,,,,,,,,,,,,,,
Bahrain,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            402.88,            220.06,,            134.02,            159.24,,            118.98,            112.91,,,,,,,,,,,,,,,
Bahrain,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1115.96,           1968.66,           3260.79,,,,,,,,,,,,,,             93.55,,,,,,,,,,,,
Bahrain,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            895.86,           1119.01,           1035.05,            785.66,            784.83,            589.23,            753.91,            580.27,           1015.77,            602.23,            482.29,            571.34,            405.00,            445.64,            315.89,            225.60,,,,,,,,,,,,,
