Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Bolivia,...,...,Development,GDP (current US$ Mil),          37508.64,          33941.13,          33000.20,          32996.19,          30659.34,          27084.50,          23963.16,          19649.72,          17339.99,          16674.28,          13120.11,          11451.85,           9549.08,           8773.45,           8082.36,           7905.49,           8141.54,           8397.91,           8285.08,           8497.55,           7925.67,           7396.97,           6715.22,           5981.24,           5734.68,           5643.89,           5343.27,           4867.58,           4715.98,           4597.62
Bolivia,...,...,Export,No. Of Export partners,             90.00,             94.00,             90.00,             91.00,             81.00,             90.00,            103.00,            109.00,            104.00,             92.00,            108.00,            108.00,            106.00,            106.00,            107.00,             90.00,             96.00,             84.00,             82.00,             78.00,             74.00,             75.00,             76.00,             74.00,             68.00,             74.00,,,,
Bolivia,...,...,Export,No. Of Export products,            693.00,            705.00,            750.00,            765.00,            798.00,            844.00,            880.00,            902.00,            858.00,            892.00,            850.00,           1587.00,           1620.00,           1464.00,           1473.00,           1447.00,           1382.00,           1352.00,           1198.00,           1046.00,           1005.00,            951.00,            875.00,            689.00,            573.00,            534.00,,,,
Bolivia,...,...,Import,No. Of Import partners,            199.00,            192.00,            185.00,            179.00,            176.00,            181.00,            178.00,            182.00,            166.00,            168.00,            159.00,            161.00,            157.00,            150.00,            114.00,            127.00,            107.00,            108.00,            118.00,            121.00,            110.00,            110.00,            117.00,            104.00,            123.00,            105.00,,,,
Bolivia,...,...,Import,No. Of Import products,           3927.00,           3912.00,           3959.00,           4003.00,           3965.00,           4017.00,           4001.00,           3977.00,           3935.00,           3903.00,           3926.00,           4058.00,           4048.00,           4049.00,           4007.00,           3980.00,           4036.00,           3989.00,           3797.00,           3764.00,           3692.00,           3681.00,           3754.00,           3818.00,           3660.00,           3652.00,,,,
Bolivia,...,...,Tariff,No. Of Tariff Agreement,             22.00,             45.00,             44.00,             44.00,             44.00,             42.00,             42.00,             39.00,             42.00,             42.00,             13.00,             13.00,             13.00,             13.00,              1.00,              1.00,              1.00,              1.00,              5.00,              1.00,              1.00,              1.00,              7.00,              1.00,              1.00,,,,,
Bolivia,...,...,Development,Trade Balance (current US$ Mil),          -2586.73,          -2520.14,          -2044.78,            436.11,           2132.07,           2541.51,           1366.62,           1348.62,            488.67,           1158.21,            987.87,           1031.31,            329.86,            422.22,            -61.94,           -480.76,           -430.16,           -759.87,           -862.18,          -1094.81,           -653.75,           -347.11,           -311.26,           -331.02,           -533.65,           -509.04,           -293.15,            -55.94,            -31.04,           -200.98
Bolivia,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1231.08,            806.31,           1472.84,           2539.04,           2508.86,           2110.51,           1059.06,            553.75,            431.79,            492.83,            420.76,            391.25,            264.39,            131.72,,,,,             76.76,            141.32,            183.00,            143.42,            142.65,            160.10,            126.79,            153.54,,,,
Bolivia,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1164.04,            882.69,           1149.04,           1136.71,           1019.87,           1066.62,            966.37,            713.52,            613.25,            724.30,            596.43,            447.30,            391.19,            295.62,            281.42,            307.94,            307.95,            263.62,            243.72,            232.32,            259.34,            136.61,            117.39,            117.45,            114.70,            103.18,,,,
Bolivia,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,             48.75,             82.47,,,,
Bolivia,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1452.28,           1363.16,           2447.43,           3818.38,           4030.58,           3665.31,           3030.09,           2407.39,           1666.94,           3023.07,           1765.67,           1592.05,           1016.47,            713.79,            495.87,            332.96,            299.96,            165.99,,,,,,,,,,,,
Bolivia,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1559.96,           1481.32,           1609.39,           1653.73,           1599.70,           1524.45,           1395.48,           1010.17,            777.08,            920.23,            712.25,            576.30,            513.76,            486.66,            343.41,            389.90,            276.44,            266.70,            250.47,            256.78,            227.58,            181.61,            174.18,            178.57,            149.87,            163.96,,,,
Bolivia,Chile,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            235.19,            162.41,            111.43,            122.03,            123.06,            144.80,            152.66,            129.77,            141.81,            122.48,            110.58,            104.72,             93.89,             88.48,,,,,
Bolivia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            473.29,            465.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2027.34,           1685.76,           1747.42,           1811.06,           1253.82,           1293.71,           1112.71,            652.85,            371.23,            415.44,            267.19,,,,,,,,,,,,,,,,,,,
Bolivia,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            625.22,            551.65,            678.66,            675.24,,,,,,,,            178.53,,            170.36,            139.56,            191.97,            192.78,            126.93,             86.52,,            115.99,,             63.94,,,,,,
Bolivia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             85.57,,,,
Bolivia,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            567.75,,,,,            441.81,            539.97,            460.26,            303.48,,            407.10,            377.97,,,,,,,,,,,,,,,,,,
Bolivia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            598.95,,,            498.06,            330.50,            222.46,,,,             98.21,,            101.48,            156.96,            462.94,            236.13,            199.09,            171.67,            181.79,            128.83,            135.38,,,,
Bolivia,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            609.95,,,,,,,,            494.87,            812.50,,,,,,,,,,,,,,,,,,,,
Bolivia,Peru,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            525.29,            627.94,            627.60,            460.99,            393.41,,            273.52,,            248.69,,            137.95,,,,,,            140.48,            158.44,            138.73,            144.36,            122.91,             79.20,             60.82,,,,
Bolivia,Peru,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            609.72,            585.43,            605.48,            646.31,            600.98,            558.82,,            389.12,            316.67,,,,            152.36,            127.32,            104.35,,            107.87,,,,,,,,,,,,,
Bolivia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            165.93,            214.99,            176.56,            163.48,,,            115.46,,             81.00,,,,,,,
Bolivia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            167.67,            180.05,            198.91,            154.67,            155.60,            153.30,            150.64,            154.19,            127.59,,,,
Bolivia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            581.30,            964.53,           1054.32,           2011.76,           1215.22,           1749.99,            876.63,            690.85,            409.76,            479.08,            412.98,            413.80,            408.68,            359.82,            235.97,            193.81,            188.47,            349.61,            465.34,            303.22,            264.12,            237.42,            331.67,            360.91,            214.81,            153.71,,,,
Bolivia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            744.08,            818.08,           1035.21,           1233.29,           1171.62,            940.56,            890.20,            733.53,            588.25,            525.43,            411.80,            342.29,            324.54,            260.49,            302.89,            276.54,            314.35,            406.09,            438.32,            550.67,            443.45,            455.67,            312.59,            235.02,            265.16,            275.41,,,,
Bolivia,Uruguay,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             77.95,,,,,,,,,,,
Bolivia,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            242.10,,            158.53,            244.49,            155.48,            175.03,             98.28,,,,,,,,,,,,,
Bolivia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        2924222.81,        4039414.76,        4026251.26,        5188341.90,        5387990.93,        4723549.71,        4438802.24,        2142237.97,        2362624.55,        2577369.42,        1563540.73,        1364154.07,         406358.86,         418548.71,         156555.20,         156908.03,          96673.82,         192731.61,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,
Bolivia,World,Animal,Export,Export(US$ Mil),             26.26,             38.67,             43.76,             61.17,             49.98,             24.43,             13.53,             20.62,             11.48,              7.07,             14.59,             14.18,              7.79,              8.53,              9.46,              9.65,              8.57,              7.24,              4.95,              8.35,              6.23,              5.91,              5.66,              7.54,              2.11,              1.35,,,,
Bolivia,World,Capital goods,Export,Export(US$ Mil),              5.15,              4.46,              6.93,              8.20,              8.42,             23.54,              7.88,             12.67,              5.52,              3.38,              1.76,            132.82,             47.29,             61.12,             74.89,             47.20,            110.83,            203.11,            354.29,            198.50,             14.63,             76.52,             37.81,             33.10,             18.00,             28.47,,,,
Bolivia,World,Chemicals,Export,Export(US$ Mil),             45.13,             44.82,             58.03,             64.06,             92.20,            251.96,             93.33,            106.89,             42.37,             50.03,             29.65,             25.39,             21.91,             14.94,             10.68,              6.70,              6.37,              7.78,              9.72,             10.56,             10.72,             10.29,              9.26,              3.20,              2.74,              1.67,,,,
Bolivia,World,Consumer goods,Export,Export(US$ Mil),           2950.13,           2431.83,           4115.73,           6346.76,           6542.78,           5801.45,           4161.08,           3149.17,           2292.56,           3555.48,           2330.01,           1964.81,           1252.20,            911.93,            595.37,            466.68,            428.55,            327.16,            228.92,            256.60,            275.06,            214.74,            273.91,            364.77,            217.91,            209.52,,,,
Bolivia,World,Food Products,Export,Export(US$ Mil),            450.41,            676.56,            627.71,            812.03,            843.52,            643.75,            468.99,            468.82,            480.39,            396.09,            323.62,            274.05,            254.59,            321.34,            253.49,            240.26,            220.56,            170.92,            142.03,            158.13,            166.08,            134.53,             76.32,             92.67,             50.48,             56.38,,,,
Bolivia,World,Footwear,Export,Export(US$ Mil),              8.74,              8.72,              9.67,              8.32,              7.93,              8.32,              7.81,              6.35,              4.94,              5.54,              5.74,              3.77,              2.65,              1.37,              0.59,              0.44,              1.10,              1.20,              1.20,              1.23,              2.93,              1.91,              1.57,              1.63,              2.24,              0.64,,,,
Bolivia,World,Fuels,Export,Export(US$ Mil),           2723.40,           2193.75,           4031.79,           6646.50,           6680.97,           5909.93,           4148.68,           3014.85,           2072.57,           3534.53,           2306.45,           2062.58,           1338.01,            847.05,            497.50,            342.56,            303.59,            177.63,             73.84,             96.40,            107.05,            142.11,            152.91,            107.05,            103.04,            126.11,,,,
Bolivia,World,Hides and Skins,Export,Export(US$ Mil),             35.46,             39.39,             47.18,             66.55,             58.19,             50.55,             52.85,             35.26,             18.07,             32.20,             36.97,             32.58,             21.77,             23.64,             21.79,             24.51,             23.08,             23.08,             12.39,             11.32,             14.81,             12.22,             12.37,             11.98,             14.66,             11.78,,,,
Bolivia,World,Intermediate goods,Export,Export(US$ Mil),           2216.81,           2253.90,           2170.28,           3235.48,           2231.89,           2021.10,           1800.19,           1489.42,           1169.52,           1263.29,            966.18,            815.59,            663.71,            678.47,            562.52,            536.19,            523.32,            516.37,            431.71,            455.90,            491.84,            350.25,            435.13,            411.35,            305.93,            195.16,,,,
Bolivia,World,Mach and Elec,Export,Export(US$ Mil),              4.93,              4.08,              5.55,              6.72,              8.39,             23.39,              7.91,              6.17,              1.45,              1.62,              0.76,             43.64,             29.65,             37.43,             52.62,             31.64,             72.73,             39.09,             52.52,             32.21,              9.04,             14.06,             13.93,             16.18,              9.52,             19.35,,,,
Bolivia,World,Metals,Export,Export(US$ Mil),            354.02,            318.63,            283.90,            393.87,            376.66,            355.99,            440.37,            319.59,            217.61,            259.68,            197.68,            140.58,            115.75,            128.47,             64.06,             54.08,             61.91,             72.78,             71.22,             63.53,             91.85,            103.80,            115.63,            120.14,            103.56,             96.42,,,,
Bolivia,World,Minerals,Export,Export(US$ Mil),           2262.95,           1890.56,           1734.73,           2029.16,           1965.00,           2075.22,           2424.98,           1859.52,           1495.48,           1517.73,           1054.25,            792.32,            345.15,            295.01,            226.23,            198.18,            188.96,            260.93,            226.98,            242.68,            278.76,            237.16,            243.46,            184.69,            193.17,            274.34,,,,
Bolivia,World,Miscellaneous,Export,Export(US$ Mil),              9.12,              9.59,             16.72,             10.94,             13.26,             15.23,             14.19,             30.85,             19.65,             28.77,             33.90,             25.21,             23.82,             29.63,             32.24,             25.12,             34.19,             31.89,             34.39,             23.08,              8.79,              7.57,              8.63,              6.74,              5.68,              4.31,,,,
Bolivia,World,Plastic or Rubber,Export,Export(US$ Mil),              2.43,              3.30,              4.50,              7.27,              8.56,              7.54,              5.15,              9.48,              4.94,              5.29,              7.13,              7.12,              6.84,              3.82,              2.04,              2.25,              2.45,              1.19,              2.48,              2.62,              1.72,              0.62,              0.66,              0.24,              0.30,              0.59,,,,
Bolivia,World,Raw materials,Export,Export(US$ Mil),           2680.23,           2391.75,           2432.98,           3265.61,           3424.37,           3966.12,           3175.28,           2314.09,           1829.15,           2077.19,           1511.05,           1307.78,            831.68,            600.30,            415.32,            318.81,            287.17,            407.44,            375.31,            400.55,            479.97,            434.89,            419.56,            304.56,            259.74,            331.30,,,,
Bolivia,World,Stone and Glass,Export,Export(US$ Mil),           1250.80,           1012.61,            966.46,           1599.22,            841.71,           1363.31,            620.86,            283.35,            209.93,            242.34,            215.19,            221.01,            158.09,            108.06,            136.42,            160.44,            150.90,            150.69,            157.05,            192.78,            198.63,             26.57,            238.00,            299.93,            159.01,             39.87,,,,
Bolivia,World,Textiles and Clothing,Export,Export(US$ Mil),             16.23,             14.88,             34.10,             61.66,             45.03,             74.52,             54.67,             88.62,             67.95,            126.07,             70.35,             70.99,             70.42,             71.01,             52.72,             33.44,             42.82,             55.86,             59.75,             47.96,             70.65,             61.80,             49.77,             36.65,             24.90,             20.89,,,,
Bolivia,World,Transportation,Export,Export(US$ Mil),              0.00,              0.00,,,,              0.03,              0.58,              0.02,,              0.00,              0.01,             84.99,             14.26,             14.11,             11.20,              9.55,             19.96,            155.05,            298.22,            156.74,              5.75,             62.69,             24.23,             12.52,              6.66,              6.05,,,,
Bolivia,World,Vegetable,Export,Export(US$ Mil),            616.28,            781.06,            808.27,           1028.15,           1154.20,            944.48,            710.68,            615.57,            567.50,            593.39,            409.83,            334.23,            316.60,            291.47,            235.14,            189.81,            172.33,            241.57,            200.77,            202.88,            206.55,            179.65,            149.70,            133.23,             74.42,             54.42,,,,
Bolivia,World,Wood,Export,Export(US$ Mil),             46.21,             45.32,             53.54,             60.44,             61.85,             65.62,             79.84,             99.39,             82.41,             98.99,            106.60,             90.66,             70.13,             58.45,             44.49,             43.02,             43.38,             59.78,             54.39,             72.80,             92.55,             86.05,             79.11,             89.83,             56.45,             51.14,,,,
Bolivia,World,All Products,Export,Exports (in US$ Mil),           7852.36,           7081.93,           8725.92,          12856.06,          12207.46,          11814.28,           9144.42,           6965.36,           5296.74,           6899.34,           4812.70,           4223.30,           2797.42,           2254.33,           1650.68,           1371.65,           1352.89,           1456.67,           1401.88,           1323.27,           1272.10,           1086.94,           1181.21,           1124.23,            808.94,            765.31,,,,
Bolivia,World,Capital goods,Import,Import(US$ Mil),           3104.89,           2849.46,           3406.69,           3802.85,           3181.28,           2693.69,           2467.48,           1705.04,           1339.27,           1399.05,           1049.84,            813.19,            623.43,            519.93,            477.63,            492.17,            452.03,            598.02,            711.73,            924.20,            752.50,            678.08,            543.63,            402.74,            479.58,            456.37,,,,
Bolivia,World,Consumer goods,Import,Import(US$ Mil),           3746.74,           3285.19,           3913.46,           3920.92,           3717.46,           3556.47,           3268.54,           2188.94,           1571.30,           1915.05,           1295.19,           1072.94,            878.54,            661.47,            596.58,            575.99,            644.53,            649.75,            522.63,            655.48,            497.52,            421.25,            363.30,            366.75,            286.47,            274.66,,,,
Bolivia,World,Intermediate goods,Import,Import(US$ Mil),           2278.75,           2096.82,           2305.54,           2538.02,           2257.41,           2182.96,           2030.09,           1608.26,           1404.96,           1560.54,           1033.05,            820.62,            735.15,            594.13,            493.36,            578.65,            495.64,            481.61,            463.92,            598.82,            436.93,            397.51,            343.75,            287.62,            289.98,            312.07,,,,
Bolivia,World,Raw materials,Import,Import(US$ Mil),            166.01,            188.64,            133.06,            222.14,            187.81,            145.51,            159.36,             92.47,             84.86,            123.00,            136.56,            112.29,            103.74,            109.54,            116.20,            121.52,            114.39,            115.67,             70.48,             67.89,             86.08,            107.36,             87.93,             82.89,             68.61,             55.52,,,,
Bolivia,World,All Products,Import,Imports (in US$ Mil),           9302.39,           8426.93,           9766.44,          10492.10,           9352.97,           8590.08,           7935.74,           5603.87,           4408.98,           5005.96,           3521.96,           2824.84,           2343.29,           1887.08,           1684.50,           1769.36,           1707.55,           1848.73,           1835.41,           2350.15,           1909.18,           1643.04,           1396.25,           1196.33,           1176.93,           1128.60,,,,
Bolivia,...,...,Development,"GNI per capita, Atlas method (current US$)",           3130.00,           3080.00,   3000.00,   2870.00,   2620.00,   2280.00,   2010.00,   1810.00,   1640.00,   1490.00,   1240.00,   1120.00,   1030.00,    970.00,    920.00,    930.00,    960.00,    990.00,    980.00,   1000.00,    960.00,    910.00,    860.00,    820.00,    800.00,    770.00,    740.00,    720.00,    720.00,    710.00
Bolivia,...,...,Trade Indicator,HH Market concentration index,              0.09,              0.09,      0.14,      0.16,      0.17,      0.16,      0.16,      0.16,      0.17,      0.26,      0.22,      0.21,      0.21,      0.15,      0.16,      0.16,      0.12,      0.10,      0.15,      0.11,      0.11,      0.12,      0.13,      0.15,      0.20,      0.21,,,,
