Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Brunei,...,...,Development,GDP (current US$ Mil),          12128.09,          11400.65,          12930.39,          17098.34,          18093.83,          19048.50,          18525.32,          13707.37,          10732.37,          14393.10,          12247.69,          11470.70,           9531.40,           7872.33,           6557.33,           5843.33,           5601.09,           6001.15,           4600.00,           4051.15,           5197.33,           5115.60,           4734.02,           4087.34,           4105.71,           4183.55,           3701.67,           3520.55,           2985.47,           2690.72
Brunei,...,...,Export,No. Of Export partners,             88.00,             84.00,             75.00,             63.00,             62.00,             62.00,             75.00,             78.00,             72.00,             70.00,             79.00,             68.00,,             64.00,             60.00,             62.00,             57.00,,,             53.00,             48.00,,,             18.00,             12.00,             19.00,,,,
Brunei,...,...,Export,No. Of Export products,           1923.00,           1906.00,           1896.00,           1764.00,           1799.00,           1885.00,           1951.00,           1939.00,           1854.00,           1712.00,           1696.00,           1614.00,,           1835.00,           1499.00,           1465.00,           1385.00,,,           1445.00,           1362.00,,,             67.00,             35.00,             61.00,,,,
Brunei,...,...,Import,No. Of Import partners,            166.00,            131.00,            120.00,            116.00,            119.00,            120.00,            122.00,            128.00,            126.00,             98.00,            108.00,            110.00,,            108.00,             86.00,             90.00,             90.00,,,             86.00,             84.00,,,            102.00,             86.00,            104.00,,,,
Brunei,...,...,Import,No. Of Import products,           3506.00,           3538.00,           3544.00,           3500.00,           3525.00,           3522.00,           3585.00,           3600.00,           3632.00,           3636.00,           3658.00,           3666.00,,           3774.00,           3467.00,           3551.00,           3479.00,,,           3786.00,           3783.00,,,           2181.00,           2215.00,           2167.00,,,,
Brunei,...,...,Tariff,No. Of Tariff Agreement,              9.00,              8.00,,              8.00,,,              9.00,              1.00,              7.00,              3.00,              3.00,              2.00,,              2.00,              2.00,              2.00,              2.00,,,              1.00,              1.00,,,,,              1.00,,,,
Brunei,...,...,Development,Trade Balance (current US$ Mil),           1694.26,           1349.35,           2524.55,           6509.08,           4550.03,           6606.11,           7312.98,           5407.41,           3970.30,           7295.09,           4893.57,           5334.82,           4087.00,           2913.43,           2184.91,           1489.80,           1698.91,           1892.59,            341.00,           -280.83,            -68.02,            -36.17,            184.14,            109.34,            123.16,            416.82,            981.13,            864.00,            794.24,
Brunei,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            795.49,            837.52,            968.68,           1235.40,            919.88,            523.62,           1095.76,           1054.54,            933.04,,            594.16,            346.36,            314.21,,,,,,,,,,,,,,
Brunei,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            586.86,,,,,,,,,,,,,,,,,,,,,,
Brunei,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            641.86,            349.21,            336.71,            357.88,            406.30,            406.68,            329.59,            199.17,            140.05,            177.76,            157.82,            131.74,,             88.29,,,,,,,,,,,,,,,,
Brunei,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            171.80,,,,,,,,,,,,,,,,,,,,,,,,            216.81,,,,,
Brunei,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             81.59,,             56.22,,,,,,,,,,,,,
Brunei,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            544.90,            455.90,            575.32,            957.14,            864.09,           1157.80,           1005.84,,            613.38,            338.22,,,,,,,,,,,,,,,,,,,,
Brunei,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            637.06,,,            849.01,            632.16,            771.84,           2112.95,           1858.97,           1515.75,,,,,,,,,,,,,,,,,,
Brunei,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1630.30,           1691.68,           2308.97,           3910.75,           4553.39,           5737.86,           5400.75,           3871.95,           3305.36,           4566.56,           2573.63,           2337.53,,           1911.67,           1697.61,           1439.50,           1613.20,,,           1225.41,           1410.48,,,           1219.87,           1325.00,           1323.33,,,,
Brunei,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            114.82,,,            208.98,            268.02,,            252.53,            214.07,            218.22,            177.94,            214.65,,            140.21,            124.30,            205.76,             71.57,,,            100.37,            235.86,,,            189.04,            170.48,            229.26,,,,
Brunei,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            789.36,            695.32,            993.01,           1152.08,           1867.08,           2046.77,           1989.82,           1486.46,            828.66,           1563.96,            933.00,           1150.02,,            651.42,            463.72,            417.95,            416.04,,,            413.98,            482.27,,,            306.64,            241.96,            289.70,,,,
Brunei,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            292.57,            312.89,,,            576.69,,,,,,,,,,,,,,,,,,,,,,,
Brunei,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            625.64,,,,,,,,,,,,,,,,,,,,             74.22,,,,,,,,,
Brunei,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            562.43,            564.18,            682.46,            741.05,            792.04,            709.92,            667.61,            599.57,            464.50,            480.34,            397.29,            362.53,,            287.35,            251.71,            224.64,            228.88,,,            264.54,            286.39,,,            244.53,            150.74,            135.07,,,,
Brunei,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            661.39,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            436.51,,,,,,,,,,,,,,,,,,,,,             59.54,             63.51,,,,,
Brunei,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             88.62,,,,
Brunei,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            324.53,,,,,,,,,,,,,,,            295.58,,,            181.29,            176.24,,,            196.82,            173.75,            235.15,,,,
Brunei,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            569.22,            512.99,            451.99,            735.84,            689.66,            839.45,            702.24,            484.98,            613.39,            525.38,            471.64,            291.07,,            261.62,            250.18,            271.78,            261.85,,,            355.82,            540.17,,,            521.38,            310.75,            328.55,,,,
Brunei,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            611.51,            436.21,            548.61,,,,,,,,,,,            349.16,            390.66,            472.85,            414.51,,,            140.83,            297.00,,,            245.23,            214.69,            214.77,,,,
