Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Central African Republic,...,...,Development,GDP (current US$ Mil),           1949.41,           1755.47,           1583.78,           1702.90,           1518.57,           2169.71,           2195.60,           1986.02,           1981.73,           1985.24,           1697.57,           1460.56,           1337.36,           1270.08,           1139.75,            991.39,            931.83,            914.50,            999.48,            967.34,            937.74,           1007.79,           1115.39,            851.17,           1278.78,           1411.92,           1377.38,           1440.71,           1233.93,           1264.90
Central African Republic,...,...,Export,No. Of Export partners,,             35.00,             34.00,             22.00,             34.00,             48.00,             61.00,             47.00,             46.00,             39.00,             38.00,             40.00,             35.00,              9.00,             34.00,             33.00,             39.00,             34.00,             24.00,             29.00,             28.00,             29.00,             38.00,             27.00,             31.00,,,,,
Central African Republic,...,...,Export,No. Of Export products,,             50.00,             38.00,             30.00,             62.00,             80.00,             51.00,             55.00,             62.00,             66.00,             73.00,             51.00,            115.00,             89.00,             84.00,            125.00,            184.00,            177.00,            179.00,            176.00,            182.00,            150.00,            249.00,            159.00,            167.00,,,,,
Central African Republic,...,...,Import,No. Of Import partners,,             96.00,             87.00,             82.00,             75.00,             86.00,             89.00,             84.00,             84.00,             78.00,             75.00,             43.00,             66.00,             69.00,             70.00,             61.00,             59.00,             57.00,             57.00,             49.00,             55.00,             63.00,             69.00,             64.00,             64.00,,,,,
Central African Republic,...,...,Import,No. Of Import products,,            970.00,            958.00,            832.00,            707.00,           1084.00,           1132.00,           1223.00,           1113.00,           1222.00,           1161.00,             65.00,           1236.00,           1252.00,           1118.00,           1064.00,           1244.00,           1319.00,           1318.00,           1290.00,           1332.00,           1511.00,           1664.00,           1623.00,           1821.00,,,,,
Central African Republic,...,...,Tariff,No. Of Tariff Agreement,,              2.00,              2.00,,              2.00,              1.00,              2.00,              2.00,              2.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,             11.00,,              2.00,,,,,,,
Central African Republic,...,...,Development,Trade Balance (current US$ Mil),           -375.39,           -303.63,           -347.90,           -417.76,           -160.26,           -219.86,           -230.82,           -291.99,           -248.73,           -246.77,           -158.73,           -113.40,           -111.61,            -66.66,              2.74,            -41.47,            -50.47,            -44.95,            -47.63,            -55.48,            -19.22,            -41.76,            -67.30,            -13.78,            -74.04,           -134.10,           -117.57,           -126.90,            -76.00,            -92.45
Central African Republic,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              0.32,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             16.13,             51.45,,             36.73,             47.08,             34.58,             24.92,             29.16,             32.87,             16.22,             45.96,             40.93,             53.66,             55.61,             59.49,,,,,,,,,,,
Central African Republic,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             28.83,,,,,,              7.90,             10.69,             29.02,,              5.35,              9.13,              3.37,              3.54,              4.29,,,,,,,,,,,,
Central African Republic,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             56.50,             64.32,             69.19,             75.49,             64.91,             71.10,,,,,
Central African Republic,Burundi,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             12.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
