Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Switzerland,...,...,Development,GDP (current US$ Mil),         678887.34,         668745.28,         679289.17,         709182.56,         688504.17,         668043.61,         699579.64,         583782.98,         541506.50,         554363.49,         479913.03,         430921.19,         408689.35,         394163.69,         352914.82,         301416.81,         278631.27,         272055.50,         289912.49,         295045.15,         286519.14,         330091.69,         342617.01,         292646.66,         264353.01,         271814.37,         261113.79,         258066.55,         202078.70,         209298.16
Switzerland,...,...,Export,No. Of Export partners,            227.00,            223.00,            225.00,            226.00,            228.00,            225.00,            224.00,            223.00,            222.00,            226.00,            224.00,            224.00,            223.00,            225.00,            223.00,            223.00,            226.00,            224.00,            209.00,            202.00,            200.00,            196.00,            199.00,            199.00,            198.00,            196.00,            180.00,            182.00,            181.00,            183.00
Switzerland,...,...,Export,No. Of Export products,           4316.00,           4339.00,           4335.00,           4323.00,           4302.00,           4300.00,           4325.00,           4328.00,           4311.00,           4313.00,           4323.00,           4545.00,           4531.00,           4531.00,           4514.00,           4566.00,           4587.00,           4630.00,           4624.00,           4647.00,           4612.00,           4638.00,           4689.00,           4720.00,           4690.00,           4673.00,           4750.00,           4751.00,           4768.00,           4812.00
Switzerland,...,...,Import,No. Of Import partners,            201.00,            197.00,            216.00,            196.00,            211.00,            224.00,            221.00,            216.00,            213.00,            213.00,            213.00,            217.00,            212.00,            211.00,            207.00,            218.00,            214.00,            211.00,            199.00,            192.00,            193.00,            189.00,            195.00,            192.00,            195.00,            190.00,            176.00,            177.00,            177.00,            177.00
Switzerland,...,...,Import,No. Of Import products,           4525.00,           4547.00,           4547.00,           4540.00,           4539.00,           4534.00,           4508.00,           4515.00,           4558.00,           4516.00,           4552.00,           4756.00,           4761.00,           4755.00,           4746.00,           4821.00,           4881.00,           4888.00,           4901.00,           4900.00,           4889.00,           4899.00,           4969.00,           4958.00,           4956.00,           4963.00,           4957.00,           4957.00,           4962.00,           4971.00
Switzerland,...,...,Tariff,No. Of Tariff Agreement,             42.00,             42.00,             42.00,             41.00,             38.00,             31.00,             35.00,             31.00,             29.00,             30.00,             27.00,             26.00,             24.00,             26.00,             31.00,             23.00,             24.00,              7.00,              7.00,              8.00,              8.00,              7.00,              1.00,,              5.00,,,              4.00,,
Switzerland,...,...,Development,Trade Balance (current US$ Mil),          75012.04,          75049.35,          78175.35,          82884.34,          82987.71,          69375.37,          59008.35,          62343.13,          40779.46,          58446.17,          54213.01,          36475.34,          29634.59,          35275.78,          23599.36,          20258.04,          15645.09,          16677.57,          13769.70,          13387.15,          14641.93,          12581.58,          14624.07,          13034.59,          11577.24,           8128.26,           4559.46,           1335.46,           3076.42,           3259.40
Switzerland,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          24492.53,          27332.20,          20291.82,,          20986.69,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          17128.29,,,          19028.99,,          23402.04,          16823.25,          15040.33,          14509.02,          17264.12,          14418.02,          12700.85,          11386.73,          10909.00,           9253.96,           8440.24,           7376.25,           7109.60,           7415.52,           7558.98,           6915.07,           7477.64,           7776.15,           6192.71,           5759.37,           6015.62,           5922.78,           6323.25,           5050.48,           4748.88
Switzerland,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17393.03,,          16712.48,          18116.60,          21263.95,          24269.12,          17937.08,          14992.67,          14481.43,          17323.55,          15306.23,          14133.71,          12699.05,          12166.96,          11373.66,           9367.31,           8627.38,           8429.68,           9590.91,           8701.01,           8336.74,           9041.17,           9129.74,           7466.52,           6645.22,           7111.32,           7240.85,           7724.34,           6316.25,           5983.17
Switzerland,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          45312.23,          43704.32,          41453.74,          47334.11,          45187.32,          46781.46,          47320.04,          37757.59,          33222.86,          39521.64,          35015.45,          29054.83,          25457.78,          24900.68,          21732.55,          18693.57,          17792.19,          17259.59,          18112.40,          18174.10,          17031.66,          18073.13,          19437.54,          16157.71,          14494.67,          15043.08,          14627.87,          13955.18,          10478.74,          10600.10
Switzerland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          55322.19,          52014.67,          52237.01,          59376.75,          59805.45,          64233.46,          67154.72,          56285.67,          50642.28,          61112.69,          52538.29,          44843.43,          39955.66,          37322.00,          31772.51,          26888.56,          25335.38,          24014.45,          24778.03,          24417.09,          22948.65,          24575.30,          27023.33,          22273.63,          19805.09,          21977.14,          21786.95,          23465.08,          19503.60,          19193.96
Switzerland,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          18589.07,          25344.34,          24188.17,          51527.96,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          19899.82,,          21579.89,          21118.41,          25870.62,          30629.25,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,          18372.06,          15362.14,          14564.61,          17434.22,          15012.91,          13036.95,          11901.74,          11041.82,           9505.78,           8217.51,           6543.71,           6188.84,           6385.13,           6072.64,           5684.57,           5995.14,           6192.57,           5127.19,           4913.93,           5640.22,           5341.49,           5673.69,           4378.15,           4217.46
