Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Chile,...,...,Development,GDP (current US$ Mil),         277075.94,         250036.18,         243999.48,         260584.09,         278384.33,         267122.32,         252251.99,         218537.55,         172389.50,         179638.50,         173605.97,         154788.02,         122964.81,          99210.39,          75643.46,          69736.81,          70979.92,          77860.93,          75173.79,          81577.43,          84952.36,          78039.57,          73447.06,          57008.43,          49297.77,          45964.33,          37834.79,          33113.89,          29885.69,          26040.23
Chile,...,...,Export,No. Of Export partners,            181.00,            179.00,            178.00,            176.00,            181.00,            180.00,            180.00,            184.00,            176.00,            171.00,            176.00,            169.00,            171.00,            164.00,            155.00,            144.00,            161.00,            162.00,            158.00,            146.00,            143.00,            142.00,            139.00,            125.00,            126.00,            130.00,            133.00,            119.00,,
Chile,...,...,Export,No. Of Export products,           3670.00,           3665.00,           3753.00,           3237.00,           3219.00,           3298.00,           3338.00,           3270.00,           3306.00,           3397.00,           3436.00,           3504.00,           3542.00,           3491.00,           3503.00,           3324.00,           3386.00,           3277.00,           3329.00,           3358.00,           3305.00,           3341.00,           3254.00,           3240.00,           3135.00,           3079.00,           2929.00,           2566.00,,
Chile,...,...,Import,No. Of Import partners,            183.00,            181.00,            174.00,            177.00,            174.00,            174.00,            181.00,            173.00,            168.00,            167.00,            156.00,            153.00,            151.00,            152.00,            136.00,            128.00,            125.00,            122.00,            119.00,            115.00,            133.00,            136.00,            129.00,            119.00,            118.00,            119.00,            124.00,            114.00,,
Chile,...,...,Import,No. Of Import products,           4318.00,           4321.00,           4298.00,           4315.00,           4315.00,           4328.00,           4356.00,           4363.00,           4312.00,           4321.00,           4327.00,           4490.00,           4475.00,           4495.00,           4449.00,           4456.00,           4446.00,           4501.00,           4479.00,           4462.00,           4479.00,           4510.00,           4474.00,           4402.00,           4383.00,           4410.00,           4326.00,           4307.00,,
Chile,...,...,Tariff,No. Of Tariff Agreement,             74.00,              2.00,             73.00,,              1.00,             26.00,             26.00,             26.00,             26.00,             26.00,             26.00,             24.00,             13.00,             13.00,              1.00,              1.00,              1.00,              1.00,              2.00,              1.00,              1.00,              2.00,              4.00,              1.00,              1.00,              1.00,,,,
Chile,...,...,Development,Trade Balance (current US$ Mil),           4743.94,           2136.33,           -535.59,           2472.31,          -1599.40,            -75.14,           8370.35,          14044.34,          13350.44,           3697.97,          23837.13,          22431.20,          10701.47,           9793.13,           3783.54,           1544.07,           1174.10,           1360.68,           1642.54,          -2674.84,          -1703.90,          -1152.56,           1678.52,            975.67,           -910.88,            767.39,           1705.49,           1074.04,           1323.08,           1690.64
Chile,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,            726.25,            734.49,,,,            635.55,            588.42,,,,,
Chile,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2924.99,           2465.26,           2518.84,           2916.07,           3930.77,           5285.73,           4744.11,           4694.78,           4648.21,           5055.85,           4378.49,           4538.63,           4831.36,           4162.53,           3777.88,           3036.02,           3074.06,           2866.42,           2014.60,           1900.41,           1837.15,           1634.18,           1384.49,            954.70,            580.16,            633.50,            553.61,            502.82,,
Chile,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3440.42,           2968.38,           3047.34,           4021.70,           4393.38,           4294.34,           4502.33,           4230.23,           2828.60,           3872.98,,,,,,,,            969.39,            701.33,            828.03,            974.44,            946.74,           1063.90,            616.66,,,            473.78,            492.12,,
Chile,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5606.67,           4725.20,           4858.65,           5677.84,           5103.92,           5185.87,           6223.52,           4660.22,           2879.82,           5302.30,           4529.27,           4280.33,           3821.54,           2835.83,           2041.02,           1611.54,           1490.82,           1329.76,            965.71,           1092.32,           1242.80,           1065.62,           1194.61,            999.73,           1059.91,            995.82,            697.53,            564.15,,
Chile,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          19090.88,          17393.95,          16219.36,          18192.76,          19067.26,          18083.56,          18628.87,          17324.56,          13028.69,           8519.39,          10505.95,           5254.96,           4895.78,           3441.77,           1908.89,           1224.83,           1065.04,            901.77,,,,,,,,,,,,
Chile,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          15504.80,          14180.86,          14603.89,          14993.98,          15784.32,          14351.56,          12581.86,           9898.66,           6123.90,           8178.92,           6005.18,           4342.19,           3176.73,           2427.75,           1800.29,           1101.33,           1013.10,            949.50,            658.40,,,,,,,,,,,
Chile,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,            493.10,            609.49,            715.51,            952.95,,
Chile,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2650.07,           2288.17,           2378.91,           2615.82,           3193.92,,,,,,,,,,,            717.79,            684.14,,,,,,            789.64,            506.50,            619.96,            630.56,            498.56,            522.29,,
Chile,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            913.63,            856.18,,,,,,,,,,,,,,
Chile,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6445.21,           5187.62,           5278.45,           7353.24,           7487.02,           8326.04,           9113.20,           7718.84,           5102.39,           6339.44,           7515.44,           6478.80,           5011.33,           3906.88,           2425.14,           1927.98,           2311.93,           2546.59,           2279.70,           2073.64,           2681.93,           2530.56,           2840.19,           1972.09,           1542.89,           1714.07,           1677.97,           1384.40,,
Chile,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           3374.07,,,,,,,            746.70,,,            701.76,            631.59,            994.61,           1054.67,            949.67,           1012.89,           1007.03,            882.61,            964.63,            645.57,            568.33,,
Chile,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4285.82,           4205.53,           3995.37,           4646.92,           4165.54,           4525.65,           4444.56,           4211.13,           3241.39,,           4033.31,           3708.09,           2439.37,           1868.69,           1079.91,,,,,,            991.05,            892.21,            891.17,            594.49,,,,,,
Chile,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,           2239.40,           3265.66,           3251.67,,,,,,,,,,,,,,,,,,,
Chile,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            909.44,            916.98,,,,,,,,,,,,,
Chile,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            849.86,           1076.20,            927.18,,,,,,,,
Chile,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,           3887.31,           4052.57,           4047.12,           2358.56,           1808.86,,,,,,,,,,,,,,,,
Chile,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            478.53,,,,
Chile,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           1243.24,           1064.65,           1063.06,           1156.67,           1040.17,            916.60,           1044.23,,            551.92,            619.28,            558.88,            556.65,,
Chile,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9996.54,           8481.74,           8181.20,           9261.36,           9786.03,           9596.38,           9030.71,           6920.90,           6225.78,           8053.21,           8679.15,           9418.55,           6720.94,           5018.94,           3792.99,           3483.30,           3483.65,           3007.75,           2811.08,           2359.67,           2439.11,           2372.54,           2138.31,           1861.20,           1525.73,           1581.92,           1387.59,           1428.44,,
