Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cook Islands,...,...,Export,No. Of Export partners,,,,,,,             22.00,             23.00,             16.00,,,,             25.00,             22.00,             23.00,             21.00,             23.00,,,,,,,,,,,,,
Cook Islands,...,...,Export,No. Of Export products,,,,,,,             13.00,             12.00,             17.00,,,,             22.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,
Cook Islands,...,...,Import,No. Of Import partners,,,,,,,             41.00,             36.00,             43.00,,             49.00,,             49.00,             47.00,             53.00,             40.00,             42.00,,,,,,,,,,,,,
Cook Islands,...,...,Import,No. Of Import products,,,,,,,            690.00,            689.00,            683.00,,            723.00,,           1341.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,
Cook Islands,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,              1.00,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              0.57,,,,,              0.37,,              0.60,              1.13,              1.99,,,,,,,,,,,,,
Cook Islands,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,              5.80,              5.02,              6.31,,             12.34,,             10.23,              8.31,              6.78,              5.78,              7.06,,,,,,,,,,,,,
Cook Islands,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              0.46,              0.73,              0.62,,,,              1.77,              1.09,,,,,,,,,,,,,,,,
Cook Islands,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              1.97,,              1.67,,,,,,,,,,,,,,,,,
Cook Islands,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,              0.83,              0.80,              1.17,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Fiji,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              0.16,,,,,,              0.26,              0.21,,,,,,,,,,,,,,
Cook Islands,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             10.92,              8.49,              7.42,,,,,,              1.01,,              1.55,,,,,,,,,,,,,
Cook Islands,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.24,,,,,,,,,,,,,,,,,
Cook Islands,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,              0.45,,,,,,,,,,,,,
Cook Islands,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              0.26,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              0.98,,,,,,,,,,,,,,,,,
Cook Islands,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              1.84,              2.56,              1.35,,,,              1.61,              2.79,              2.79,              2.25,              2.56,,,,,,,,,,,,,
Cook Islands,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              2.78,,              2.76,              2.19,              3.06,              1.24,              1.51,,,,,,,,,,,,,
Cook Islands,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              0.14,              0.20,              0.18,,,,              0.67,              1.35,              1.81,              0.71,              0.60,,,,,,,,,,,,,
Cook Islands,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             84.29,             69.26,             60.90,,             68.52,,             60.05,             49.58,             53.67,             35.28,             32.27,,,,,,,,,,,,,
Cook Islands,Papua New Guinea,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              0.19,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              9.44,,,,,,,,,,,,,,,,,,,
Cook Islands,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,              0.97,,,,,,,,,,,,,,
Cook Islands,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              0.32,,,,,,,,,,,,,,,,
Cook Islands,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              0.19,,,,,,,              0.34,              2.54,              0.54,              0.91,,,,,,,,,,,,,
Cook Islands,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,              2.46,              2.65,              1.71,,,,,              1.91,              2.22,              0.91,              1.11,,,,,,,,,,,,,
Cook Islands,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,              8.55,,,,,,,,,,,,,,,,
Cook Islands,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              0.12,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,          82837.40,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Animal,Export,Export(US$ Mil),,,,,,,              2.17,              2.93,              1.35,,,,              2.58,              2.03,              5.09,              1.19,              0.10,,,,,,,,,,,,,
Cook Islands,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,              0.00,,,,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,,,,,,,,
Cook Islands,World,Consumer goods,Export,Export(US$ Mil),,,,,,,              0.51,              0.72,              0.60,,,,              1.45,,,,,,,,,,,,,,,,,
Cook Islands,World,Food Products,Export,Export(US$ Mil),,,,,,,              0.50,              0.70,              0.60,,,,              1.28,              2.22,              1.01,              0.39,              0.21,,,,,,,,,,,,,
Cook Islands,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.00,,,,,,,,,,,,,,,
Cook Islands,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,              0.00,              0.00,              0.00,,,,              0.01,,,,,,,,,,,,,,,,,
Cook Islands,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.00,              0.00,              0.00,,,,,,,,,,,,,
Cook Islands,World,Metals,Export,Export(US$ Mil),,,,,,,              0.01,              0.01,              0.01,,,,              0.01,              0.00,,              0.00,              0.00,,,,,,,,,,,,,
Cook Islands,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,              0.00,              0.00,,,,,              0.00,              0.02,              0.04,              0.01,              0.02,,,,,,,,,,,,,
Cook Islands,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,              0.00,              0.00,              0.00,,,,,,,              0.00,,,,,,,,,,,,,,
Cook Islands,World,Raw materials,Export,Export(US$ Mil),,,,,,,              0.37,              0.93,              0.60,,,,              3.78,,,,,,,,,,,,,,,,,
Cook Islands,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,              0.34,              1.44,              0.76,,,,              1.19,              2.42,              1.88,              3.25,              6.25,,,,,,,,,,,,,
Cook Islands,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,              0.03,              0.01,,,,,              0.12,              0.20,              0.14,              0.15,              0.12,,,,,,,,,,,,,
Cook Islands,World,Transportation,Export,Export(US$ Mil),,,,,,,,              0.02,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Vegetable,Export,Export(US$ Mil),,,,,,,              0.07,              0.06,              0.02,,,,              0.06,              0.27,              0.44,              0.10,              0.13,,,,,,,,,,,,,
Cook Islands,World,Wood,Export,Export(US$ Mil),,,,,,,              0.00,              0.00,              0.00,,,,,              0.00,              0.00,              0.01,              0.00,,,,,,,,,,,,,
Cook Islands,World,All Products,Export,Exports (in US$ Mil),,,,,,,              3.12,              5.16,              2.75,,,,              5.24,              7.15,              8.61,              5.10,              6.82,,,,,,,,,,,,,
Cook Islands,World,Capital goods,Import,Import(US$ Mil),,,,,,,              6.06,              5.21,              4.34,,              7.96,,             12.50,,,,,,,,,,,,,,,,,
Cook Islands,World,Consumer goods,Import,Import(US$ Mil),,,,,,,             43.10,             37.94,             34.01,,             44.04,,             48.53,,,,,,,,,,,,,,,,,
Cook Islands,World,Intermediate goods,Import,Import(US$ Mil),,,,,,,              5.75,              4.81,              4.58,,              5.99,,             13.93,,,,,,,,,,,,,,,,,
Cook Islands,World,Raw materials,Import,Import(US$ Mil),,,,,,,              5.26,              4.47,              3.99,,              3.36,,              6.32,,,,,,,,,,,,,,,,,
Cook Islands,World,All Products,Import,Imports (in US$ Mil),,,,,,,            109.32,             90.63,             81.56,,            103.21,,             81.27,             75.95,             71.15,             47.42,             46.88,,,,,,,,,,,,,
Cook Islands,...,...,Trade Indicator,HH Market concentration index,,,,,,,      0.22,      0.48,      0.21,,      0.12,,      0.13,      0.18,      0.15,      0.17,      0.17,,,,,,,,,,,,,
Cook Islands,...,...,Trade Indicator,Index of export market penetration,,,,,,,      1.15,      1.15,      1.18,,      1.20,,      1.20,      1.22,      1.25,      1.25,      1.24,,,,,,,,,,,,,
Cook Islands,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,     11.08,,,,,      7.06,,      6.92,     22.09,     29.12,,,,,,,,,,,,,
Cook Islands,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      5.30,      5.54,      7.73,,     11.96,,     12.59,     10.94,      9.52,     12.19,     15.06,,,,,,,,,,,,,
Cook Islands,China,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,     14.66,     14.20,     22.64,,,,     33.84,     15.20,,,,,,,,,,,,,,,,
Cook Islands,China,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,      1.91,,      2.06,,,,,,,,,,,,,,,,,
Cook Islands,Cote d'Ivoire,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      0.76,      0.89,      1.44,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Fiji,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,      5.69,,,,,,      3.01,      4.19,,,,,,,,,,,,,,
Cook Islands,Fiji,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      9.99,      9.37,      9.09,,,,,,      1.42,,      3.31,,,,,,,,,,,,,
Cook Islands,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,      4.49,,,,,,,,,,,,,,,,,
Cook Islands,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,      6.64,,,,,,,,,,,,,
Cook Islands,Indonesia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,      5.02,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Indonesia,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,      1.20,,,,,,,,,,,,,,,,,
Cook Islands,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,     58.78,     49.65,     49.21,,,,     30.77,     39.04,     32.37,     44.12,     37.55,,,,,,,,,,,,,
Cook Islands,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,      2.69,,      3.40,      2.89,      4.30,      2.61,      3.23,,,,,,,,,,,,,
Cook Islands,New Zealand,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      4.38,      3.87,      6.60,,,,     12.86,     18.90,     21.00,     13.91,      8.75,,,,,,,,,,,,,
Cook Islands,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,     77.11,     76.43,     74.68,,     66.39,,     73.89,     65.28,     75.43,     74.40,     68.83,,,,,,,,,,,,,
Cook Islands,Papua New Guinea,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,      6.84,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,      9.15,,,,,,,,,,,,,,,,,,,
Cook Islands,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,      2.04,,,,,,,,,,,,,,
Cook Islands,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,      4.52,,,,,,,,,,,,,,,,
Cook Islands,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      6.05,,,,,,,      4.81,     29.50,     10.66,     13.34,,,,,,,,,,,,,
Cook Islands,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      2.25,      2.92,      2.10,,,,,      2.51,      3.11,      1.93,      2.36,,,,,,,,,,,,,
Cook Islands,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,     11.26,,,,,,,,,,,,,,,,
Cook Islands,Vietnam,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      3.90,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,All Products,Trade Indicator,Country Growth (%),,,,,,,     17.75,      9.75,    -17.54,,     -4.57,,      8.33,     29.21,      7.34,     15.52,    -16.35,,,,,,,,,,,,,
Cook Islands,World,All Products,Tariff,Duty Free Tariff Lines Share (%),,,,,,,,     92.01,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Animal,Export,Export Product share(%),,,,,,,     69.48,     56.69,     49.17,,,,     49.16,     28.37,     59.14,     23.32,      1.40,,,,,,,,,,,,,
Cook Islands,World,Capital goods,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Chemicals,Export,Export Product share(%),,,,,,,,,      0.01,,,,      0.03,      0.01,      0.01,      0.01,      0.00,,,,,,,,,,,,,
Cook Islands,World,Consumer goods,Export,Export Product share(%),,,,,,,     16.45,     13.94,     21.97,,,,     27.71,,,,,,,,,,,,,,,,,
Cook Islands,World,Food Products,Export,Export Product share(%),,,,,,,     16.00,     13.57,     21.91,,,,     24.34,     30.98,     11.74,      7.64,      3.01,,,,,,,,,,,,,
Cook Islands,World,Footwear,Export,Export Product share(%),,,,,,,,,,,,,,,      0.01,,,,,,,,,,,,,,,
Cook Islands,World,Fuels,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Hides and Skins,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Intermediate goods,Export,Export Product share(%),,,,,,,      0.00,      0.00,      0.02,,,,      0.13,,,,,,,,,,,,,,,,,
Cook Islands,World,Mach and Elec,Export,Export Product share(%),,,,,,,,,,,,,,,      0.00,      0.01,      0.01,,,,,,,,,,,,,
Cook Islands,World,Metals,Export,Export Product share(%),,,,,,,      0.32,      0.17,      0.34,,,,      0.24,      0.01,,      0.04,      0.03,,,,,,,,,,,,,
Cook Islands,World,Minerals,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,World,Miscellaneous,Export,Export Product share(%),,,,,,,      0.08,      0.00,,,,,      0.04,      0.35,      0.52,      0.14,      0.25,,,,,,,,,,,,,
