Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Colombia,...,...,Development,GDP (current US$ Mil),         314457.60,         282856.12,         293481.75,         381112.12,         381866.61,         370574.42,         334454.04,         286103.65,         232494.13,         241710.97,         205706.86,         161189.83,         145180.96,         117074.86,          94684.58,          97933.39,          98203.55,          99886.58,          86186.16,          98443.74,         106659.51,          97160.11,          92507.28,          81703.50,          66446.80,          58418.99,          49175.57,          47844.09,          39540.08,          39212.55
Colombia,...,...,Export,No. Of Export partners,            183.00,            184.00,            176.00,            183.00,            174.00,            171.00,            175.00,            173.00,            178.00,            182.00,            176.00,            180.00,            170.00,            175.00,            165.00,            170.00,            167.00,            149.00,            143.00,            147.00,            143.00,            147.00,            159.00,            153.00,            147.00,            139.00,            142.00,,,
Colombia,...,...,Export,No. Of Export products,           3410.00,           3453.00,           3446.00,           3425.00,           3385.00,           3414.00,           3455.00,           3399.00,           3438.00,           3478.00,           3449.00,           3585.00,           3607.00,           3590.00,           3490.00,           3418.00,           3389.00,           3300.00,           3126.00,           3098.00,           3092.00,           3075.00,           3045.00,           3017.00,           2857.00,           2775.00,           2910.00,,,
Colombia,...,...,Import,No. Of Import partners,            199.00,            201.00,            193.00,            199.00,            201.00,            197.00,            190.00,            191.00,            193.00,            198.00,            190.00,            188.00,            186.00,            174.00,            178.00,            181.00,            184.00,            190.00,            160.00,            166.00,            169.00,            162.00,            165.00,            164.00,            171.00,            143.00,            114.00,,,
Colombia,...,...,Import,No. Of Import products,           4233.00,           4250.00,           4263.00,           4274.00,           4268.00,           4259.00,           4275.00,           4237.00,           4264.00,           4281.00,           4282.00,           4477.00,           4495.00,           4478.00,           4437.00,           4488.00,           4491.00,           4536.00,           4520.00,           4603.00,           4611.00,           4574.00,           4638.00,           4586.00,           4470.00,           4300.00,           4147.00,,,
Colombia,...,...,Tariff,No. Of Tariff Agreement,             63.00,              1.00,              1.00,             53.00,             52.00,             50.00,             50.00,             50.00,             50.00,             50.00,             20.00,             20.00,             19.00,             19.00,              1.00,              1.00,              1.00,              2.00,              3.00,              1.00,              1.00,              1.00,              4.00,              1.00,,              1.00,              1.00,,,
Colombia,...,...,Development,Trade Balance (current US$ Mil),         -16204.23,         -19327.32,         -20720.81,         -16075.38,          -6930.39,          -4498.48,          -3072.88,          -4536.96,          -5361.68,          -7140.40,          -8727.30,          -6762.36,          -5068.87,          -2718.39,          -3186.69,          -3282.24,          -3070.67,           -835.86,            468.75,          -5802.49,          -6307.82,          -5484.87,          -5947.98,          -4837.51,          -3859.55,           -335.61,           2291.17,           1410.22,           1654.16,            952.68
Colombia,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           2312.51,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2286.01,           2117.35,           2084.31,           2465.56,           2590.48,           2795.91,           2740.25,           2369.64,           2146.58,           2328.42,           2393.94,           1884.88,           1383.39,           1352.17,            769.00,            642.84,            582.06,            509.66,,,,,,,            456.32,            277.52,,,,
Colombia,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            541.43,            437.65,,,,,,
Colombia,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           2205.01,,,,,,,,,,,,,,,,,,,,,,,
Colombia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1999.57,,           2263.72,           5755.13,           5102.17,           3343.08,           1989.06,           1966.62,,,,,,,,,,,,,,,,,,,,,,
Colombia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8754.46,           8631.42,          10032.49,          11790.39,          10362.79,           9564.69,           8176.44,           5477.43,           3715.17,           4548.80,           3326.57,           2219.27,           1616.82,           1244.73,            688.67,,,,,,,,,,,,,,,
Colombia,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            583.40,,,,,,,,,,,,,,,,,,
Colombia,Ecuador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1199.72,,,,,,           1824.54,           1257.33,           1499.56,           1276.04,           1237.08,           1324.41,           1010.67,            778.97,            811.56,            699.93,            466.80,            330.19,            573.87,            541.28,            425.17,            427.76,            324.91,            216.33,,,,,
Colombia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,           1514.31,,,,,,,,,,,,,,,,,,            230.72,,,
Colombia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            331.74,            416.91,            434.17,            485.53,            682.85,            729.79,            603.90,            734.15,            872.16,            558.86,            592.33,            547.41,,,
Colombia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1874.00,           1707.68,           2267.45,           2530.98,           2206.91,,           2215.15,           1657.63,,           1557.40,,,,,,,            560.09,,            496.21,            779.31,            758.79,            775.92,            758.86,            638.44,            577.04,            417.55,            271.36,,,
Colombia,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           2738.70,           2993.07,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,            353.05,            238.51,,,,,
Colombia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            619.44,,            542.84,            527.41,            989.48,            951.31,            957.65,           1238.21,           1141.84,           1096.19,            583.71,            505.35,,,
Colombia,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1536.66,,,,,,,,,,,,            610.93,            525.07,            358.16,,,,,,,,,,,,,,,
