Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Costa Rica,...,...,Development,GDP (current US$ Mil),          57285.98,          57157.99,          54775.99,          50577.77,          49745.09,          46473.13,          42262.70,          37268.64,          30562.36,          30612.93,          26743.87,          22600.43,          19952.16,          18529.77,          17195.87,          16504.80,          15913.36,          14949.51,          14195.62,          13617.41,          12552.07,          11618.29,          11513.47,          10432.62,           9537.30,           8528.59,           7169.00,           5711.69,           5251.03,           4614.63
Costa Rica,...,...,Export,No. Of Export partners,,            149.00,            150.00,            157.00,            159.00,            148.00,            145.00,            148.00,            146.00,            147.00,            145.00,            129.00,            139.00,            130.00,            129.00,            121.00,            121.00,            117.00,            110.00,            111.00,            113.00,            115.00,            115.00,            111.00,,,,,,
Costa Rica,...,...,Export,No. Of Export products,,           2917.00,           2960.00,           2960.00,           2997.00,           3009.00,           2989.00,           2907.00,           2787.00,           2753.00,           2638.00,           2730.00,           2714.00,           2679.00,           2626.00,           2521.00,           2578.00,           2555.00,           2557.00,           2661.00,           2533.00,           2229.00,           2019.00,           1847.00,,,,,,
Costa Rica,...,...,Import,No. Of Import partners,,            201.00,            197.00,            195.00,            202.00,            192.00,            189.00,            187.00,            191.00,            190.00,            178.00,            183.00,            162.00,            166.00,            151.00,            139.00,            145.00,            152.00,            132.00,            124.00,            108.00,            126.00,            150.00,            112.00,,,,,,
Costa Rica,...,...,Import,No. Of Import products,,           4107.00,           4094.00,           4092.00,           4119.00,           4118.00,           4114.00,           4120.00,           4015.00,           4106.00,           4112.00,           4288.00,           4314.00,           4298.00,           4293.00,           4316.00,           4315.00,           4338.00,           4324.00,           4374.00,           4372.00,           4349.00,           4386.00,           4359.00,,,,,,
Costa Rica,...,...,Tariff,No. Of Tariff Agreement,,             24.00,,             20.00,             13.00,             13.00,             12.00,             11.00,             11.00,             10.00,              2.00,             10.00,              1.00,              5.00,              7.00,              1.00,              2.00,              5.00,              5.00,              7.00,              7.00,              2.00,              2.00,,,,,,,
Costa Rica,...,...,Development,Trade Balance (current US$ Mil),            243.66,            150.61,           -475.68,          -1282.42,          -1468.64,          -1768.49,          -1579.74,           -697.92,           -152.10,          -2707.04,          -1422.82,           -723.75,           -459.75,           -156.55,           -342.72,           -325.75,             26.26,            -99.73,           -345.38,           -562.74,           -554.42,           -471.01,           -407.10,           -653.12,           -697.43,           -473.83,           -333.01,           -394.37,           -203.77,            -82.46
Costa Rica,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            532.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            127.01,            177.60,            148.15,,,,,,
Costa Rica,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            350.19,,            162.89,,,,,,,,            124.34,,,,,,
Costa Rica,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            765.51,            612.97,            835.08,            556.92,,,,,,,,,,,,,,,,,,
Costa Rica,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2082.23,           1947.54,           1715.66,           1748.36,           1446.07,           1528.46,            990.68,            699.56,            865.44,            758.44,            550.65,,,,,,,,,,,,,,,,,,
Costa Rica,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            655.85,            499.15,            316.11,,,,,,            211.05,,            152.59,,,,,,,,,,,,,
Costa Rica,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            235.69,,,,,,            216.10,            186.38,            206.53,            172.93,            197.84,,,,,,
Costa Rica,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            523.86,            465.48,,,,,,,            335.03,,            283.52,            272.82,            253.46,            233.30,            214.96,            193.00,            178.83,            224.48,            150.49,            123.50,            116.96,            102.60,,,,,,
Costa Rica,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            416.69,            399.18,,            387.39,,,,,,,,,,,,,,            142.14,            144.74,            132.47,            116.15,            112.02,,,,,,,
Costa Rica,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            149.96,,,,,,,,,,,,,,
Costa Rica,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            648.03,            533.41,            516.96,            438.04,            336.60,            390.85,            562.54,            523.54,            482.72,,,,,,,,,,,,,,,,,
Costa Rica,Ireland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            427.72,,,,,,,,,,,,,,,,,
Costa Rica,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,            124.23,            150.40,            132.05,            105.36,,,,,,
Costa Rica,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            418.78,            475.32,            525.86,            560.59,            688.73,            499.45,            657.81,            822.70,            731.58,            587.00,            531.62,            483.55,            307.73,            296.27,            230.03,            214.66,            300.38,            385.08,            239.87,            145.51,            122.81,            166.40,,,,,,
Costa Rica,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            206.38,,            154.97,,,,,,,,,,,,,
Costa Rica,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1067.14,           1153.29,           1147.13,           1155.03,           1187.07,           1220.64,            895.61,            750.07,            941.18,            734.76,            581.21,            429.71,            417.77,            378.78,            367.99,            379.54,            388.93,            344.29,            328.12,            280.24,            251.01,            176.70,            136.70,,,,,,
Costa Rica,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            575.44,            440.01,            695.67,            829.67,            850.04,            686.18,            633.71,            619.24,            492.30,            464.61,            504.03,            450.35,            331.15,            359.25,            314.71,            274.71,            393.00,            446.31,,,,,,,,,,,
Costa Rica,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            517.30,            522.65,            498.02,            498.34,            501.33,            455.80,            378.90,,            399.47,,,            275.14,            219.92,            186.27,            164.22,            167.18,            179.36,            178.60,            475.23,,,,,,,,,,
Costa Rica,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            561.02,            558.58,            593.22,            580.11,            583.90,            559.89,            430.19,            341.25,,,            250.74,,,,,,,,,            117.90,,,,,,,,,
Costa Rica,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            530.79,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            143.88,,,,,,,,,,,,
