Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Germany,...,...,Development,GDP (current US$ Mil),        3677439.13,        3477796.27,        3375611.10,        3890606.89,        3752513.50,        3543983.91,        3757698.28,        3417094.56,        3418005.00,        3752365.61,        3439953.46,        3002446.37,        2861410.27,        2819245.10,        2505733.63,        2079136.08,        1950648.77,        1949953.93,        2199957.38,        2243225.52,        2218689.38,        2503665.19,        2591620.04,        2205966.01,        2068555.54,        2123130.87,        1861873.90,        1764967.95,        1393674.33,        1395931.55
Germany,...,...,Export,No. Of Export partners,            231.00,            234.00,            230.00,            230.00,            231.00,            226.00,            225.00,            229.00,            231.00,            231.00,            231.00,            229.00,            229.00,            229.00,            229.00,            229.00,            227.00,            216.00,            212.00,            210.00,            210.00,            209.00,            212.00,            211.00,            209.00,            207.00,            187.00,            188.00,            189.00,            188.00
Germany,...,...,Export,No. Of Export products,           4408.00,           4420.00,           4410.00,           4422.00,           4421.00,           4430.00,           4458.00,           4455.00,           4463.00,           4427.00,           4420.00,           4651.00,           4667.00,           4713.00,           4705.00,           4708.00,           4775.00,           4767.00,           4798.00,           4778.00,           4788.00,           4792.00,           4844.00,           4845.00,           4860.00,           4859.00,           4864.00,           4857.00,           4861.00,           4864.00
Germany,...,...,Import,No. Of Import partners,            221.00,            226.00,            224.00,            221.00,            219.00,            221.00,            223.00,            225.00,            227.00,            226.00,            223.00,            226.00,            229.00,            229.00,            228.00,            228.00,            226.00,            215.00,            209.00,            210.00,            210.00,            208.00,            211.00,            208.00,            209.00,            204.00,            184.00,            186.00,            186.00,            188.00
Germany,...,...,Import,No. Of Import products,           4506.00,           4525.00,           4525.00,           4532.00,           4533.00,           4534.00,           4562.00,           4560.00,           4562.00,           4568.00,           4563.00,           4817.00,           4828.00,           4838.00,           4832.00,           4845.00,           4912.00,           4904.00,           4918.00,           4908.00,           4926.00,           4927.00,           4969.00,           4977.00,           4983.00,           4983.00,           4992.00,           4985.00,           4992.00,           4996.00
Germany,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,...,...,Development,Trade Balance (current US$ Mil),         278527.97,         277222.63,         269842.60,         269344.20,         223624.71,         215840.14,         183699.22,         177609.29,         168827.45,         224198.04,         228732.55,         159085.43,         144779.26,         142110.75,          91805.87,          90963.67,          34400.89,           5246.91,          15686.13,          29697.68,          26245.21,          20541.98,          12133.21,           4347.35,           1334.44,         -11095.80,          -9586.33,          -3833.37,          -8961.35,          -5169.66
Germany,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,          31712.57,          29470.19,          29650.90,,
Germany,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,          30734.68,,,          28688.98,          27744.71,          24767.30,          18598.95,          17771.83
Germany,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          97773.61,          85350.44,          79429.91,          99196.13,          89317.19,          86101.71,          90496.74,,,,,,,,,,,,,,,,,,,,,,,
