Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Dominica,...,...,Development,GDP (current US$ Mil),            496.73,            575.47,            540.83,            523.54,            501.98,            486.00,            501.03,            493.82,            489.07,            458.19,            421.38,            390.25,            364.26,            367.20,            343.31,            333.20,            340.21,            333.47,            331.76,            322.41,            302.99,            292.29,            274.52,            264.38,            245.53,            234.06,            219.76,            201.43,            185.14,            171.11
Dominica,...,...,Export,No. Of Export partners,,,,,,             52.00,,             36.00,             30.00,             29.00,             30.00,             35.00,             33.00,             32.00,             29.00,             32.00,             37.00,             46.00,             30.00,,             27.00,             28.00,             32.00,             33.00,             29.00,,,,,
Dominica,...,...,Export,No. Of Export products,,,,,,            682.00,,            453.00,            296.00,            318.00,            360.00,            298.00,            332.00,            351.00,            317.00,            408.00,            424.00,            403.00,            435.00,,            362.00,            360.00,            423.00,            414.00,            333.00,,,,,
Dominica,...,...,Import,No. Of Import partners,,,,,,             92.00,,             95.00,             95.00,             95.00,            104.00,             97.00,             98.00,             96.00,             96.00,             92.00,             96.00,            104.00,             92.00,,             78.00,             85.00,             89.00,             81.00,             79.00,,,,,
Dominica,...,...,Import,No. Of Import products,,,,,,           2723.00,,           2673.00,           2626.00,           2627.00,           2700.00,           2664.00,           2699.00,           2806.00,           2734.00,           2739.00,           2735.00,           2765.00,           2855.00,,           2027.00,           1982.00,           1950.00,           1880.00,           1897.00,,,,,
Dominica,...,...,Tariff,No. Of Tariff Agreement,,,,,,              2.00,,              1.00,,,              4.00,              4.00,,,              1.00,              1.00,              1.00,              1.00,              1.00,,              1.00,              1.00,,,,,,,,
Dominica,...,...,Development,Trade Balance (current US$ Mil),            -67.50,            -32.78,            -46.79,            -62.00,            -50.20,            -91.52,            -76.53,            -88.87,           -116.52,           -130.59,            -88.49,            -54.44,            -67.04,            -43.63,            -38.93,            -33.07,            -44.50,            -38.57,            -23.78,            -20.58,            -35.70,            -23.70,            -32.70,            -29.60,            -24.96,            -25.54,            -34.00,            -43.23,            -47.96,            -20.33
Dominica,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              3.09,              6.31,              6.07,              5.70,              5.36,              4.71,              4.15,              4.01,              3.53,              3.63,              3.95,              3.95,,              3.17,              2.57,,,,,,,,
Dominica,Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              5.63,,              5.49,              4.40,,,              5.26,,              5.09,              4.74,,,              3.18,,,,,
Dominica,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              6.31,,,,,,,              3.86,              6.27,,,,,,,,,,,,
Dominica,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,              5.13,,,,,              4.76,              6.50,,,,,,,,,,,,,,,,,,
Dominica,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              3.24,,              3.85,              5.32,              5.50,              3.57,              3.45,              4.51,              3.95,              3.58,,              3.25,              4.00,              3.70,,              3.69,              4.01,,,,,,,,
Dominica,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,              7.31,,,,,,,,,              7.67,,,,,,,
Dominica,Guadeloupe,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              2.77,              2.07,              2.26,,,,,
Dominica,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              3.52,,,,,,,,,              3.28,              2.87,              3.07,,,,,,              2.74,,,,,,,
Dominica,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              6.01,,              5.89,              4.64,              6.52,              7.37,              6.28,              5.31,              8.35,              8.97,              8.98,             10.12,             12.82,             13.12,,             11.40,             10.66,              5.37,              4.49,              4.38,,,,,
Dominica,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,              9.11,              8.41,             10.00,              8.12,              6.65,              7.66,              6.83,              4.99,              4.73,              8.30,              9.29,              9.55,,              5.83,              7.20,,              4.53,              3.98,,,,,
Dominica,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,              1.85,,,,,
Dominica,St. Kitts and Nevis,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              5.31,,              6.04,              2.51,,,,,,,,,,,,,,,,,,,,,
Dominica,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,              2.37,,,,,,
Dominica,St. Lucia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,              5.93,              4.98,,,,,,
Dominica,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              6.94,,              4.74,,              3.52,              3.00,              3.14,              3.74,              3.07,,,,,,,,,,,,,,,,
Dominica,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             35.99,,             34.27,             31.27,             49.56,             45.15,             36.86,             33.98,             26.36,             23.20,             20.40,             22.85,             24.26,             18.28,,             18.55,             16.22,             12.87,             12.03,             10.39,,,,,
Dominica,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              3.78,              5.33,              5.19,              7.65,              6.89,              7.43,              6.22,              9.46,              9.17,             12.85,             15.14,,             16.75,             18.20,             17.29,             21.48,             24.40,,,,,
