Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),       21444091.70,       20283925.29,       20373896.28,       23659400.85,       23351858.47,       22342893.78,       23180278.61,       20920601.40,       20445992.80,       23242064.03,       21175225.51,       18120782.39,       16739587.61,       15714541.90,       13480720.52,       11067619.14,       10116396.14,       10018778.71,       10635412.63,       10758564.62,       10498481.42,       11064221.11,       10836510.28,        9394654.29,        8982248.30,        9774338.58,        9113633.06,        8833504.89,        7220975.16,        7064293.72
,...,...,Export,No. Of Export partners,            238.00,            238.00,            238.00,            238.00,            239.00,            237.00,            236.00,            234.00,            235.00,            234.00,            235.00,            236.00,            233.00,            234.00,            235.00,            236.00,            235.00,            233.00,            222.00,            218.00,            220.00,            220.00,            225.00,            226.00,            226.00,            217.00,            193.00,            194.00,            196.00,            195.00
,...,...,Export,No. Of Export products,           4603.00,           4582.00,           4582.00,           4591.00,           4614.00,           4618.00,           4611.00,           4753.00,           4756.00,           4777.00,           4836.00,           4901.00,           4902.00,           4917.00,           4913.00,           4924.00,           4945.00,           4990.00,           5015.00,           5012.00,           5017.00,           5027.00,           5037.00,           5037.00,           5036.00,           5032.00,           5031.00,           5030.00,           5034.00,           5026.00
,...,...,Import,No. Of Import partners,            238.00,            238.00,            238.00,            238.00,            239.00,            237.00,            235.00,            235.00,            235.00,            235.00,            235.00,            236.00,            234.00,            234.00,            235.00,            235.00,            236.00,            234.00,            222.00,            221.00,            220.00,            222.00,            225.00,            224.00,            224.00,            217.00,            191.00,            196.00,            197.00,            194.00
,...,...,Import,No. Of Import products,           4611.00,           4582.00,           4582.00,           4617.00,           4629.00,           4629.00,           4611.00,           4828.00,           4823.00,           4857.00,           4916.00,           4921.00,           4924.00,           4930.00,           4930.00,           4932.00,           4947.00,           5007.00,           5024.00,           5024.00,           5029.00,           5034.00,           5037.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5033.00,           5032.00
,...,...,Tariff,No. Of Tariff Agreement,           2152.00,           2353.00,           2464.00,           1754.00,           2286.00,           1783.00,           2212.00,           1976.00,           1662.00,           1898.00,           1269.00,           1410.00,            918.00,            741.00,           1051.00,           1069.00,            651.00,            731.00,           1246.00,            751.00,            600.00,           1053.00,            414.00,            193.00,            688.00,,            247.00,            235.00,,            418.00
,...,...,Development,Trade Balance (current US$ Mil),         764421.56,         678343.72,         757449.54,         762764.45,         691475.70,         607115.43,         456090.51,         360154.01,         341534.52,         297240.63,         287028.64,         269756.47,         277233.54,         294737.83,         225694.49,         221207.66,         157908.43,         116148.89,         133537.26,         153052.81,         182557.01,         179191.92,         162491.30,         130261.53,         115172.55,          64853.83,         -12363.83,         -47286.17,         -56745.74,         -33300.67
,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,          61008.73,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         574248.37,         525149.85,         527740.56,         571799.27,         542213.46,         530686.97,         563225.67,         503665.39,         392083.17,         479795.12,         406958.79,         306763.27,         245040.22,,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         469261.20,         433268.46,         435203.86,         516762.99,         526293.74,         511010.96,         553260.79,         475404.25,         446492.28,         557097.44,         493738.26,         441829.69,         393957.09,         365573.69,         307988.68,         254517.56,         243616.92,         245942.42,         231404.22,         194242.03,         183684.76,         189166.88,         183444.53,         150891.32,         106718.95,         102873.52,          77519.90,          77820.25,          64969.31,          48722.69
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         359432.45,         331723.53,         336419.20,         400369.60,         395198.13,         384520.90,         409509.23,         361452.03,         337788.27,         440984.15,         407334.28,         357498.64,         318194.40,         311281.11,         266254.47,         220639.32,         210083.18,         211922.47,         210563.84,         187783.58,         177181.30,         175710.47,         169448.22,         140063.76,          99748.06,          97111.96,          76709.43,          70155.98,          55024.10,          40179.45
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         822888.45,         758389.92,         761003.93,         890484.15,         869815.87,         834572.45,         864967.40,         736630.15,         659150.06,         851971.13,         747734.31,         658386.02,         574287.30,         537386.84,         451363.69,         375379.37,         365068.65,         359912.80,         340029.78,         313904.98,         301455.67,         306929.78,         301242.23,         239305.33,         119770.38,         101279.82,          42404.23,,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         893502.67,         816756.30,         806375.18,         925326.65,         914476.62,         884560.95,         964647.36,         827836.18,         743191.62,        1005202.72,         922990.55,         762927.59,         671203.31,         628813.65,         514513.00,         417993.67,         382753.09,         375102.39,         365675.73,         336944.16,         315150.86,         319196.87,         312295.91,         247650.49,         125409.72,         112463.68,          55867.24,          61934.29,          50261.66,          28043.01
,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,         307818.69,         426804.38,         363465.62,         319698.58,         278901.93,         259403.00,         217414.12,         178271.61,         164793.53,         162845.22,         149972.03,         138808.21,         133654.40,         129450.94,         125931.30,         101545.68,          64177.62,          72961.73,          53621.47,          54947.16,          46557.46,          35499.34
