Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Eritrea,...,...,Development,GDP (current US$ Mil),,,,,,,           2607.74,           2117.04,           1856.70,           1380.19,           1317.97,           1211.16,           1098.43,           1109.05,            870.25,            729.32,            752.37,            706.37,            688.92,            745.53,            686.49,            693.54,            578.02,            531.69,            467.87,            477.10,,,,
Eritrea,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,             38.00,,,,,,,,,,,,,,,
Eritrea,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,            232.00,,,,,,,,,,,,,,,
Eritrea,...,...,Import,No. Of Import partners,,,,,,,,,,,,,,,             89.00,,,,,,,,,,,,,,,
Eritrea,...,...,Import,No. Of Import products,,,,,,,,,,,,,,,           3271.00,,,,,,,,,,,,,,,
Eritrea,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,...,...,Development,Trade Balance (current US$ Mil),,,,,,,           -228.89,           -392.84,           -351.19,           -299.55,           -303.34,           -381.05,           -535.75,           -599.11,           -531.92,           -386.74,           -379.56,           -342.87,           -531.78,           -486.52,           -385.71,           -403.29,           -349.97,           -291.59,           -191.58,           -159.97,,,,
Eritrea,Fm Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              1.29,,,,,,,,,,,,,,,
Eritrea,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.48,,,,,,,,,,,,,,,
Eritrea,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             27.13,,,,,,,,,,,,,,,
Eritrea,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.77,,,,,,,,,,,,,,,
Eritrea,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             50.14,,,,,,,,,,,,,,,
Eritrea,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.69,,,,,,,,,,,,,,,
Eritrea,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             45.50,,,,,,,,,,,,,,,
Eritrea,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.82,,,,,,,,,,,,,,,
Eritrea,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             53.03,,,,,,,,,,,,,,,
Eritrea,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             68.95,,,,,,,,,,,,,,,
Eritrea,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,              2.27,,,,,,,,,,,,,,,
Eritrea,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.05,,,,,,,,,,,,,,,
Eritrea,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.07,,,,,,,,,,,,,,,
Eritrea,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.67,,,,,,,,,,,,,,,
Eritrea,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.16,,,,,,,,,,,,,,,
Eritrea,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.09,,,,,,,,,,,,,,,
Eritrea,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.95,,,,,,,,,,,,,,,
Eritrea,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,              1.84,,,,,,,,,,,,,,,
Eritrea,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.05,,,,,,,,,,,,,,,
Eritrea,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.18,,,,,,,,,,,,,,,
Eritrea,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.02,,,,,,,,,,,,,,,
Eritrea,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.45,,,,,,,,,,,,,,,
Eritrea,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.18,,,,,,,,,,,,,,,
Eritrea,World,Raw materials,Export,Export(US$ Mil),,,,,,,,,,,,,,,              4.06,,,,,,,,,,,,,,,
Eritrea,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.01,,,,,,,,,,,,,,,
Eritrea,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.58,,,,,,,,,,,,,,,
Eritrea,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.19,,,,,,,,,,,,,,,
Eritrea,World,Vegetable,Export,Export(US$ Mil),,,,,,,,,,,,,,,              1.39,,,,,,,,,,,,,,,
Eritrea,World,Wood,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.01,,,,,,,,,,,,,,,
Eritrea,World,All Products,Export,Exports (in US$ Mil),,,,,,,,,,,,,,,              6.62,,,,,,,,,,,,,,,
