Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Estonia,...,...,Development,GDP (current US$ Mil),          25921.08,          23337.91,          22566.96,          26224.62,          25137.15,          23043.86,          23170.24,          19490.94,          19652.49,          24194.04,          22237.06,          16963.63,          14006.09,          12059.20,           9833.87,           7322.07,           6245.07,           5685.77,           5726.90,           5617.11,           5066.24,           4746.11,           4373.67,,,,,,,
Estonia,...,...,Export,No. Of Export partners,            181.00,            182.00,            179.00,            169.00,            178.00,            165.00,            167.00,            175.00,            164.00,            167.00,            165.00,            149.00,            159.00,            162.00,            159.00,            151.00,            148.00,            144.00,            145.00,            137.00,            130.00,            117.00,            108.00,,,,,,,
Estonia,...,...,Export,No. Of Export products,           3675.00,           3657.00,           3652.00,           3700.00,           3658.00,           3676.00,           3649.00,           3554.00,           3491.00,           3485.00,           3444.00,           3507.00,           3544.00,           3617.00,           3715.00,           3662.00,           3684.00,           3664.00,           3557.00,           3472.00,           3402.00,           3343.00,           3404.00,,,,,,,
Estonia,...,...,Import,No. Of Import partners,            175.00,            175.00,            183.00,            171.00,            179.00,            176.00,            175.00,            158.00,            159.00,            174.00,            189.00,            200.00,            203.00,            189.00,            172.00,            169.00,            175.00,            177.00,            157.00,            150.00,            148.00,            146.00,            137.00,,,,,,,
Estonia,...,...,Import,No. Of Import products,           4217.00,           4214.00,           4204.00,           4229.00,           4230.00,           4223.00,           4212.00,           4172.00,           4177.00,           4257.00,           4268.00,           4447.00,           4450.00,           4472.00,           4436.00,           4446.00,           4517.00,           4519.00,           4483.00,           4460.00,           4376.00,           4320.00,           4279.00,,,,,,,
Estonia,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,              1.00,              1.00,              1.00,              1.00,              2.00,              1.00,              1.00,              1.00,              2.00,,,,,,,
Estonia,...,...,Development,Trade Balance (current US$ Mil),           1163.26,            900.81,            903.20,            741.70,            706.77,            357.31,           1327.54,           1238.90,            974.72,           -950.21,          -1973.38,          -1720.85,           -714.98,           -949.82,           -834.58,           -545.71,           -247.25,           -184.29,           -252.40,           -542.98,           -530.22,           -498.65,           -328.03,           -410.18,           -155.42,,,,,
Estonia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1470.66,           1174.84,           1262.88,           1506.15,           1465.55,           1412.97,           1419.98,            921.92,,,            913.90,            768.69,            622.63,,,            271.75,            380.78,,,,,,,,,,,,,
Estonia,Finland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2337.88,           1909.61,           2012.01,           2377.60,           2626.15,           2328.16,           2494.37,           1962.05,           1679.51,           2294.12,           1950.82,           1749.03,           2031.55,           1345.37,           1232.48,            882.83,           1137.09,           1036.59,            576.03,            612.17,            460.32,            380.94,            395.78,,,,,,,
Estonia,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1849.38,           1311.03,           1549.68,           2075.36,           1991.36,           2067.34,           1735.33,           1520.95,           1212.59,           1673.91,           1677.66,           1543.92,           1291.34,            985.24,            547.53,            419.90,            406.90,            408.42,            935.81,           1082.12,           1038.66,            939.84,            829.68,,,,,,,
Estonia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1052.62,,,,,,,            603.41,            552.84,,,,            468.84,            488.60,            469.36,            359.75,            248.52,            290.00,            222.21,            178.86,,            147.48,            132.60,,,,,,,
Estonia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1782.12,           1489.07,           1523.65,           2043.33,           1994.49,           1709.69,           1743.71,           1398.34,           1110.83,           2043.33,           1997.56,           1727.27,           1408.43,            846.13,            517.94,            379.78,            339.08,            312.37,            383.02,            518.33,            444.33,            321.22,            243.40,,,,,,,
Estonia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            277.05,            194.20,            237.88,,,,,,,,,,
Estonia,Latvia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1322.20,           1092.27,           1328.11,           1720.01,           1681.28,           1404.62,           1303.43,           1022.79,            857.12,           1242.66,           1268.28,            879.56,            700.65,            504.84,            417.98,            335.02,            297.95,            275.21,            261.47,            306.16,            252.95,            171.23,            137.21,,,,,,,
Estonia,Lithuania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            712.65,            751.17,            846.77,            950.56,,,,,,            651.86,,,,,,,,,,            178.50,,,,,,,,,
Estonia,Lithuania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1055.89,            902.39,           1045.47,,           1281.95,,,,            920.94,           1098.99,,,,,,,,,,,,,,,,,,,,
Estonia,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             79.04,,,,,,,
Estonia,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1579.38,           1177.63,           1345.72,           2473.43,           3274.20,           3180.39,           2834.98,           1893.22,           1780.87,           2071.12,           1374.78,            967.73,            811.09,            777.94,            642.19,            431.96,            343.31,            261.45,            277.53,            430.82,            551.48,            342.75,            325.03,,,,,,,
Estonia,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1347.51,           1051.26,           1543.90,           2160.69,           1872.93,           2330.20,           2170.05,           1382.49,           1170.13,           1752.35,           2017.71,           2367.73,           1297.57,           1098.56,            808.35,            704.84,            650.16,            710.17,            554.87,            530.94,            640.90,            438.29,            410.03,,,,,,,
Estonia,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1954.16,           2130.06,           2410.42,           2868.12,           2728.44,           2559.93,           2586.94,           1795.13,           1140.25,           1722.14,           1467.43,           1189.54,           1006.62,            905.52,            701.58,            539.82,            473.33,            663.44,            560.82,            541.68,            394.68,            240.02,            199.83,,,,,,,
Estonia,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1181.81,,           1530.71,           1458.94,           1120.57,            671.46,           1091.09,           1145.04,            994.19,            753.80,            522.91,,,,,            381.23,            433.88,            402.84,            262.88,            215.47,,,,,,,
Estonia,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            338.67,,,,,,,,,,,,,,,
Estonia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            106.03,,,,,,,,
Estonia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           1180.78,           1202.86,,,            774.00,,            655.21,,,,,,,,,,,,,,,,,,
Estonia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,            164.44,,,,,,,,,
Estonia,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            935.70,           2023.74,           1496.95,           1194.52,           1444.34,,,,,,,,,,,,
Estonia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,        7599457.88,        5612815.11,        4967556.68,        4823411.67,        4109430.92,        4786737.65,        4427522.20,        3215360.41,        2447384.93,,,,,,,
Estonia,World,Animal,Export,Export(US$ Mil),            413.03,            346.80,            405.85,            557.18,            612.70,            523.57,            529.90,            420.55,            307.69,            362.89,            313.47,            262.59,            241.26,            219.54,            199.29,            169.63,            156.65,            137.21,            134.13,            201.70,            186.64,            129.55,            141.09,,,,,,,
Estonia,World,Capital goods,Export,Export(US$ Mil),           4662.01,           4149.90,           4325.39,           5509.38,           5651.81,           5274.04,           5178.46,           3224.62,           2209.46,           3147.13,           2663.12,           2617.34,           2586.99,           1971.43,           1516.48,           1090.94,           1283.65,           1317.97,            706.14,            748.96,            546.48,            350.28,            316.45,,,,,,,
Estonia,World,Chemicals,Export,Export(US$ Mil),            806.28,            571.77,            599.45,            787.23,            965.42,            873.32,            842.62,            570.16,            534.56,            724.12,            534.67,            406.55,            371.52,            318.56,            330.30,            223.69,            207.08,            202.99,            195.74,            232.42,            231.56,            181.94,            139.17,,,,,,,
Estonia,World,Consumer goods,Export,Export(US$ Mil),           5760.26,           4665.42,           5294.38,           6694.14,           7059.67,           7657.38,           7707.78,           5589.58,           5148.98,           6058.76,           5219.07,           4366.99,           2888.06,           2390.28,           2150.11,           1654.20,           1369.09,           1134.60,           1017.86,           1104.28,           1151.91,            917.04,            798.31,,,,,,,
Estonia,World,Food Products,Export,Export(US$ Mil),            780.48,            663.39,            698.62,            922.52,            911.60,            845.81,            786.30,            624.48,            570.94,            651.90,            598.48,            375.44,            332.69,            343.35,            349.51,            295.72,            211.35,            145.40,            170.60,            263.88,            255.55,            164.79,            131.28,,,,,,,
Estonia,World,Footwear,Export,Export(US$ Mil),             91.55,             82.37,             54.42,             95.32,            127.59,            156.87,            142.73,             69.78,             58.87,             88.84,            100.13,             66.99,             58.62,             48.81,             67.26,             52.67,             46.29,             47.01,             43.97,             40.84,             32.65,             32.64,             26.68,,,,,,,
