Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Finland,...,...,Development,GDP (current US$ Mil),         251884.89,         238677.67,         232464.83,         272609.29,         269980.11,         256706.47,         273674.24,         247799.82,         251499.03,         283742.49,         255384.62,         216552.50,         204436.02,         196768.07,         171071.11,         139552.98,         129250.11,         125539.89,         135225.87,         133936.36,         126833.12,         132099.40,         134199.35,         103321.57,          89255.75,         112625.43,         127866.49,         141517.65,         119064.71,         109103.06
Finland,...,...,Export,No. Of Export partners,            211.00,            217.00,            214.00,            216.00,            209.00,            213.00,            210.00,            208.00,            218.00,            211.00,            212.00,            208.00,            203.00,            208.00,            207.00,            215.00,            212.00,            208.00,            196.00,            193.00,            190.00,            191.00,            192.00,            189.00,            186.00,            179.00,            167.00,            169.00,            171.00,            166.00
Finland,...,...,Export,No. Of Export products,           3826.00,           3825.00,           3821.00,           3885.00,           3976.00,           3911.00,           3860.00,           3860.00,           3776.00,           3844.00,           3927.00,           4191.00,           4198.00,           4271.00,           4261.00,           4298.00,           4364.00,           4328.00,           4321.00,           4387.00,           4359.00,           4366.00,           4405.00,           4404.00,           4277.00,           4101.00,           3977.00,           3977.00,           3925.00,           3901.00
Finland,...,...,Import,No. Of Import partners,            208.00,            214.00,            216.00,            200.00,            203.00,            209.00,            174.00,            207.00,            199.00,            201.00,            207.00,            198.00,            201.00,            199.00,            184.00,            192.00,            188.00,            183.00,            161.00,            171.00,            177.00,            170.00,            179.00,            164.00,            165.00,            156.00,            136.00,            146.00,            141.00,            135.00
Finland,...,...,Import,No. Of Import products,           4331.00,           4353.00,           4362.00,           4363.00,           4413.00,           4421.00,           4433.00,           4435.00,           4388.00,           4436.00,           4434.00,           4686.00,           4680.00,           4683.00,           4685.00,           4692.00,           4743.00,           4742.00,           4753.00,           4781.00,           4762.00,           4768.00,           4817.00,           4847.00,           4815.00,           4806.00,           4804.00,           4802.00,           4831.00,           4822.00
Finland,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,              1.00,,              1.00
Finland,...,...,Development,Trade Balance (current US$ Mil),           1156.19,          -1770.95,          -1096.87,          -2535.39,          -2389.93,          -3704.26,          -2328.47,           3136.24,           5056.96,          10339.83,          12303.59,           9006.40,           7939.31,          12174.07,          11110.61,          12394.13,          11838.93,          11523.86,          12127.64,          10603.03,           9307.07,           9139.27,          10005.45,           5829.25,           4101.18,            953.01,          -1213.06,          -2190.95,          -2175.42,           -378.11
Finland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5123.20,           4456.43,           4368.66,           4950.63,           4857.72,           5882.45,           3035.97,           5014.63,           4841.91,           6414.91,           6079.30,           5144.50,           3491.94,           2461.68,,,,,,,,,,,,,,,,
Finland,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,           2285.73,           2137.86,,,,,,,           1561.68,           1318.11,           1595.89,,
Finland,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,           2352.82,           2010.32,,,,,,,,,,,,,,,
Finland,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9398.92,           7363.69,           8099.89,           8633.79,           6896.71,           6408.62,           7410.03,           6576.54,           6491.01,           9692.07,           9806.28,           8187.57,           6800.77,           6505.02,           6217.68,           5123.51,           5331.36,           5553.32,           5284.26,           4980.10,           4416.46,           4795.94,           5306.72,           3883.09,           2993.15,           3641.97,           3446.85,           3195.12,           2436.73,           2270.74
Finland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10663.85,           8816.94,           8990.54,          10168.29,           9536.19,           9101.81,          11446.77,           9040.35,           8914.93,          12881.71,          11399.06,           9607.84,           8710.67,           7412.94,           6141.03,           4826.85,           4798.59,           4812.98,           4823.18,           4907.71,           4497.64,           4634.22,           4584.65,           3425.38,           2938.84,           3521.00,           3678.96,           4586.33,           4248.20,           3515.36
Finland,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1794.96,           1546.56
Finland,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4479.96,           3734.39,           3825.80,           4381.79,           4471.80,           4455.43,           5223.95,           4604.52,           3689.76,,,,,,,,,,,,,,,,,,,,,
Finland,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3242.82,           3028.53,           3167.94,           3943.81,           3622.31,           3182.33,           6404.05,           3682.23,           2778.71,           3818.91,,,,,,,,,,,,,,,,,,,,
Finland,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3795.55,           3234.45,           3443.65,           6069.24,           7022.69,           7217.94,           7321.42,           6158.81,           5618.89,          11255.83,           9203.06,           7718.01,           7070.63,           5432.37,           3936.56,           2891.99,           2540.08,,,           2541.63,           2951.20,           2439.64,           1917.36,           1530.68,           1372.74,,,,,
Finland,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           9206.27,           6701.56,           6587.28,          11377.22,          13929.32,          13415.95,          15271.50,          12188.00,           9797.60,          15024.90,          11520.40,           9747.88,           8124.90,           6618.35,           4939.09,           3369.16,           3160.96,           3165.37,           2258.73,           2092.03,           2264.31,           2137.16,           2121.35,           1968.20,           1482.44,           1548.77,,,,
Finland,Soviet Union,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,           3338.78,           3341.13,           3186.12
