Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Fiji,...,...,Development,GDP (current US$ Mil),           5061.20,           4671.31,           4362.13,           4483.42,           4190.14,           3972.01,           3774.53,           3140.51,           2870.62,           3523.19,           3405.05,           3102.74,           3006.73,           2727.51,           2315.94,           1842.69,           1660.10,           1684.11,           1942.17,           1656.78,           2093.99,           2129.27,           1970.35,           1825.29,           1635.43,           1531.80,           1383.84,           1337.02,           1182.69,           1109.98
Fiji,...,...,Export,No. Of Export partners,            119.00,            115.00,            115.00,            126.00,            111.00,            113.00,            125.00,            124.00,            106.00,            109.00,            106.00,            111.00,            105.00,            101.00,            110.00,            109.00,            115.00,            110.00,,,,,,,,,,,,
Fiji,...,...,Export,No. Of Export products,           2122.00,           2163.00,           2115.00,           2152.00,           2223.00,           2082.00,           2080.00,           1980.00,           1851.00,           1847.00,           1972.00,           2003.00,           1980.00,           1667.00,           1634.00,           2110.00,              1.00,              1.00,,,,,,,,,,,,
Fiji,...,...,Import,No. Of Import partners,            155.00,            167.00,            166.00,            168.00,            162.00,            153.00,            151.00,            142.00,            136.00,            154.00,            150.00,            147.00,            147.00,            138.00,            130.00,            134.00,            123.00,            115.00,,,,,,,,,,,,
Fiji,...,...,Import,No. Of Import products,           3502.00,           3474.00,           3517.00,           3587.00,           3548.00,           3507.00,           3498.00,           3431.00,           3430.00,           3477.00,           3569.00,           3742.00,           3738.00,           3677.00,           3651.00,           3623.00,              1.00,              1.00,,,,,,,,,,,,
Fiji,...,...,Tariff,No. Of Tariff Agreement,              3.00,,              1.00,,              3.00,              1.00,              3.00,              3.00,              4.00,              2.00,              2.00,              1.00,,              1.00,              1.00,,,,,,,,,,,,,,,
Fiji,...,...,Development,Trade Balance (current US$ Mil),,          -1175.92,           -246.71,           -483.31,           -436.52,           -146.94,            -88.89,           -190.17,           -293.88,           -579.17,           -427.48,           -558.84,           -360.51,           -452.80,           -194.06,            -44.95,           -133.66,            -85.97,             -7.72,             41.42,             54.44,             85.23,              8.75,            -55.32,           -115.64,            -45.91,            -44.19,            -64.35,             27.37,             34.96
Fiji,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            147.02,            138.88,            135.49,            158.64,            150.50,            181.09,            194.50,            177.14,             99.99,            113.82,             98.88,            117.80,            143.20,            163.57,            137.60,            185.62,            121.32,            147.88,,,,,,,,,,,,
Fiji,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            401.40,            402.14,            320.24,            454.92,            383.63,            412.43,            427.57,            367.39,            317.81,            445.43,            406.64,            403.80,            394.57,            432.89,            404.86,            312.72,            263.95,            300.94,,,,,,,,,,,,
Fiji,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             59.90,             73.71,             56.22,            203.36,,            215.72,            208.55,             83.15,,,,,,,,,,,,,,,,,,,,,,
Fiji,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             80.48,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            380.46,            355.15,            303.46,            443.42,            281.70,            198.64,            181.05,            110.03,             79.49,             96.27,             58.73,             64.83,,,,,,,,,,,,,,,,,,
Fiji,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            135.43,            413.44,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             72.23,             63.28,             60.28,,,,             55.14,             39.97,             25.75,             22.75,             44.98,             23.32,             21.05,,,,,,,,,,,,
Fiji,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            158.99,,,,,,,,,,             64.50,             68.03,             60.42,             57.93,             39.31,             33.40,,,,,,,,,,,,,
Fiji,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             96.02,,            132.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             65.31,             65.00,,,             59.10,,,,             41.91,,             51.67,,,             30.97,             28.11,             24.80,             21.01,             22.93,,,,,,,,,,,,
Fiji,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            417.25,            403.52,            297.37,            454.52,            344.51,            312.33,            300.14,            287.42,            228.16,            300.16,            314.83,            286.99,            289.48,            258.90,            202.72,            162.47,            148.25,            134.18,,,,,,,,,,,,
Fiji,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            103.06,             94.97,            138.80,,            142.87,,,,,,,,,,,,,,,,,
Fiji,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            462.82,            356.07,            396.30,            833.18,            594.43,            717.44,            672.49,            598.97,            397.68,            788.11,            609.25,            621.43,            479.86,            159.36,             69.13,             44.35,             43.33,             47.24,,,,,,,,,,,,
Fiji,Tonga,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             46.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             51.05,,,            105.55,             58.60,            101.73,             79.06,,             94.39,            136.98,            106.12,             75.48,            106.21,             88.34,             98.27,             70.64,             95.40,             79.32,,,,,,,,,,,,
Fiji,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            185.31,            167.40,            140.33,            170.79,            147.43,            150.44,            104.04,             96.15,             69.99,            112.49,            109.64,             98.08,            108.04,            150.50,            123.42,             99.98,            119.92,            104.17,,,,,,,,,,,,
Fiji,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            110.61,             65.17,             63.45,            152.64,             57.45,,             60.43,             46.63,             99.02,             35.49,             37.01,             37.13,,,,,,,,,,,,
Fiji,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             52.09,             66.17,,            218.84,,,             88.31,,            145.98,,            168.13,,,,,,,,,,,,,,,,,,
Fiji,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            103.38,,,,,,,,,,,,             43.09,,,,,,,,,,,,
Fiji,World,All Products,Tariff,Duty Free Imports (US$ Thousand),         277638.42,,         154396.51,,         207187.53,         202878.67,         192781.16,         168642.52,         109216.05,         182969.45,         146581.02,         200359.47,,         182729.64,         151930.51,,,,,,,,,,,,,,,
Fiji,World,Animal,Export,Export(US$ Mil),            135.46,            131.23,            106.30,            188.28,            130.02,            181.02,            154.75,            133.66,             89.73,             91.95,             71.36,             69.51,             56.09,             53.55,             48.17,             39.33,             44.08,             42.98,,,,,,,,,,,,
Fiji,World,Capital goods,Export,Export(US$ Mil),             95.21,             83.68,             35.69,             98.02,             69.71,             74.27,             38.02,             24.20,             16.32,             17.29,             30.02,             12.16,             13.33,              1.91,              3.98,             11.88,,,,,,,,,,,,,,
Fiji,World,Chemicals,Export,Export(US$ Mil),             24.05,             24.68,             25.04,             31.61,             29.49,             29.02,             30.07,             23.14,             18.62,             22.59,             17.78,             11.04,             10.33,              7.71,              7.00,              5.86,              3.66,              3.66,,,,,,,,,,,,
Fiji,World,Consumer goods,Export,Export(US$ Mil),            476.32,            470.20,            490.37,            738.55,            636.38,            646.93,            590.03,            444.03,            314.04,            512.13,            419.15,            369.49,            378.01,            268.24,            228.14,            265.55,,,,,,,,,,,,,,
Fiji,World,Food Products,Export,Export(US$ Mil),            313.78,            223.33,            239.78,            319.02,            262.57,            285.15,            225.21,            163.11,            196.95,            287.57,            241.37,            215.00,            223.96,            175.65,            171.97,            148.17,            147.09,            132.76,,,,,,,,,,,,
Fiji,World,Footwear,Export,Export(US$ Mil),              1.04,              1.23,              1.14,              1.67,              1.64,              1.37,              1.12,              1.18,              1.02,              1.51,              2.04,              2.68,              5.63,             12.71,             11.53,             10.31,             10.19,             11.65,,,,,,,,,,,,
