Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Micronesia, Fed. Sts.",...,...,Development,GDP (current US$ Mil),            336.43,            329.90,            315.18,            318.00,            316.04,            326.13,            310.50,            296.53,            279.97,            262.87,            256.55,            253.37,            250.15,            240.10,            245.28,            241.54,            240.05,            233.23,            220.66,            219.65,            206.90,            218.85,            222.10,            202.50,            198.40,            178.10,            166.20,            147.20,            135.20,            124.70
"Micronesia, Fed. Sts.",...,...,Export,No. Of Export partners,,,,,              5.00,              5.00,              5.00,              5.00,              5.00,              5.00,              6.00,              6.00,              6.00,              6.00,              6.00,              6.00,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",...,...,Export,No. Of Export products,,,,,             18.00,             17.00,             17.00,             17.00,             17.00,             17.00,             16.00,             15.00,             16.00,             17.00,             14.00,             18.00,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",...,...,Import,No. Of Import partners,,,,,             64.00,             57.00,             68.00,             65.00,             54.00,             63.00,             54.00,             67.00,             60.00,             70.00,             59.00,              3.00,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",...,...,Import,No. Of Import products,,,,,           2708.00,           2734.00,           2701.00,           2784.00,           2882.00,           2831.00,           2856.00,           2978.00,           2934.00,           3092.00,           3177.00,              2.00,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",...,...,Development,Trade Balance (current US$ Mil),,           -151.04,           -161.41,           -150.48,           -166.96,           -168.87,           -178.68,           -170.44,           -178.58,           -160.45,           -136.19,           -147.69,           -145.73,           -147.71,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             12.03,,,,,,,,,              7.50,              6.81,              1.61,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",Guam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              3.25,              3.70,              5.01,              4.53,              3.33,              3.22,              3.64,              1.67,              0.94,              0.48,              1.42,              1.14,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",Guam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             41.42,             53.88,             42.32,             30.36,             31.30,             28.91,             20.57,             25.97,             19.66,             18.61,             16.15,              5.54,,,,,,,,,,,,,,
