Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
United Kingdom,...,...,Development,GDP (current US$ Mil),        2622433.96,        2650850.18,        2885570.31,        3022827.78,        2739818.68,        2662085.17,        2619700.40,        2441173.39,        2382825.99,        2890564.34,        3074359.74,        2692612.70,        2520701.82,        2398555.47,        2038395.10,        1768408.27,        1621510.00,        1647951.28,        1665623.69,        1638511.10,        1552483.63,        1408781.59,        1335218.56,        1140489.75,        1061388.72,        1179659.53,        1142797.18,        1093169.39,         926884.82,         910122.73
United Kingdom,...,...,Export,No. Of Export partners,            233.00,            230.00,            231.00,            230.00,            230.00,            224.00,            228.00,            229.00,            229.00,            229.00,            227.00,            228.00,            226.00,            226.00,            227.00,            229.00,            228.00,            217.00,            211.00,            209.00,            209.00,            211.00,            215.00,            213.00,            211.00,,,,,
United Kingdom,...,...,Export,No. Of Export products,           4479.00,           4501.00,           4505.00,           4501.00,           4501.00,           4504.00,           4524.00,           4530.00,           4417.00,           4524.00,           4523.00,           4772.00,           4763.00,           4754.00,           4741.00,           4754.00,           4816.00,           4786.00,           4833.00,           4840.00,           4847.00,           4837.00,           4901.00,           4901.00,           4899.00,,,,,
United Kingdom,...,...,Import,No. Of Import partners,            227.00,            226.00,            227.00,            225.00,            227.00,            224.00,            222.00,            227.00,            224.00,            222.00,            223.00,            224.00,            224.00,            222.00,            218.00,            219.00,            220.00,            217.00,            208.00,            202.00,            207.00,            205.00,            209.00,            204.00,            206.00,,,,,
United Kingdom,...,...,Import,No. Of Import products,           4512.00,           4539.00,           4533.00,           4533.00,           4529.00,           4523.00,           4551.00,           4550.00,           4455.00,           4555.00,           4560.00,           4828.00,           4819.00,           4821.00,           4819.00,           4810.00,           4884.00,           4876.00,           4918.00,           4926.00,           4932.00,           4923.00,           4985.00,           4988.00,           4985.00,,,,,
United Kingdom,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,...,...,Development,Trade Balance (current US$ Mil),         -36833.85,         -54921.83,         -49454.16,         -60604.25,         -55290.26,         -52703.83,         -40329.04,         -63611.42,         -52115.59,         -82818.01,         -76136.45,         -64872.13,         -64750.91,         -62984.25,         -48968.16,         -49433.45,         -37371.53,         -30378.27,         -25869.60,         -13025.84,           6281.93,           2379.10,           3656.30,           -240.32,          -3760.76,          -8263.54,          -4220.01,         -19829.50,         -33133.52,         -29137.27
United Kingdom,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,          10224.33,,,,,,
United Kingdom,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          27625.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          59862.52,          59575.88,          62979.61,          64147.25,          57587.86,          56267.40,          66039.71,          61733.67,          52101.30,          58220.70,          53227.61,          41828.38,          36153.93,          30097.20,          23495.43,          19346.00,,,,,,,,,,,,,,
United Kingdom,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          30406.17,          26461.83,          27275.62,          32494.14,          35028.47,          34477.02,          37636.12,          31649.50,          29003.20,          35571.70,          37085.68,          54587.60,          36467.38,          34662.51,          30905.21,          28342.98,          27630.95,          28475.98,          24847.47,          26418.44,          26285.85,          23876.74,          21678.67,          18719.52,          14932.97,,,,,
United Kingdom,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          36502.47,          35949.86,          38703.82,          43522.70,          40823.51,          37745.97,          39439.26,          37227.45,          33934.95,          45021.99,          45330.93,          44720.57,          38823.13,          37904.20,          33949.32,          29674.67,          28031.29,          27973.85,          27520.79,          28465.35,          28331.03,          25563.64,          24146.00,          21557.33,          17235.71,,,,,
United Kingdom,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          46697.79,          43797.38,          46631.52,          52026.09,          48040.60,          52046.68,          54137.87,          44671.05,          39446.09,          53919.20,          50684.44,          51279.14,          41794.21,          40234.41,          33577.57,          32876.55,          34086.82,          34788.51,          29636.01,          32961.28,          32585.75,          29895.80,          28935.37,          23707.85,          19767.57,,,,,
United Kingdom,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          89695.41,          88077.49,          94348.06,         100307.06,          88849.20,          83087.74,          87752.11,          76551.72,          63240.20,          84615.73,          90882.62,          78267.41,          68953.20,          68165.14,          58050.82,          48537.14,          43056.87,          43763.86,          41242.61,          40941.11,          41151.05,          39717.35,          39362.70,          32050.11,          26397.15,,,,,
