Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Guinea,...,...,Development,GDP (current US$ Mil),          10472.51,           8694.36,           8794.20,           8778.47,           8376.61,           7638.05,           6785.14,           6853.47,           6716.90,           6964.18,           6281.92,           4220.02,           2937.07,           3666.35,           3446.44,           2949.64,           2833.44,           2995.36,           3461.28,           3588.38,           3783.79,           3869.03,           3693.75,           3383.22,           3279.06,           3284.63,           3014.89,           2666.62,           2432.03,           2384.30
Guinea,...,...,Export,No. Of Export partners,,,             85.00,            103.00,            106.00,,,,,             74.00,             74.00,             73.00,             72.00,             67.00,,             66.00,             83.00,             66.00,             51.00,             62.00,             71.00,             73.00,             67.00,,,,,,,
Guinea,...,...,Export,No. Of Export products,,,            465.00,            444.00,            514.00,,,,,            278.00,            256.00,            209.00,            223.00,            211.00,,            161.00,            378.00,            257.00,            145.00,            243.00,            361.00,            346.00,            419.00,,,,,,,
Guinea,...,...,Import,No. Of Import partners,,,            142.00,            147.00,            157.00,,,,,            133.00,            136.00,            129.00,            120.00,            124.00,,            123.00,            126.00,            131.00,            113.00,            106.00,            120.00,            116.00,            122.00,,,,,,,
Guinea,...,...,Import,No. Of Import products,,,           2742.00,           2777.00,           2759.00,,,,,           2606.00,           2583.00,           2379.00,           2403.00,           2288.00,,           2277.00,           2462.00,           2571.00,           2493.00,           2568.00,           2671.00,           2515.00,           2688.00,,,,,,,
Guinea,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,              1.00,,,              1.00,              1.00,,,,,,              1.00,,,,,,,,,,
Guinea,...,...,Development,Trade Balance (current US$ Mil),          -6420.28,          -4531.96,          -2589.80,          -2053.72,          -2302.33,          -1558.13,          -1407.93,           -881.64,          -1664.70,          -1455.74,          -1508.86,           -917.33,             -9.56,            -43.64,             26.58,            -73.52,            -40.79,           -132.81,           -152.09,           -202.29,           -124.60,           -199.25,           -125.83,           -105.22,            -51.33,            -39.37,             -7.68,            -63.11,             31.80,           -100.19
Guinea,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             84.28,,,,,,,,,,,,,,,,,
Guinea,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            173.46,             90.12,,,,,,             95.57,            197.43,             78.06,             75.56,             75.24,,             42.67,             78.50,             47.67,             42.22,,,,,,,,,,,
Guinea,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             71.34,             50.76,             57.11,             69.07,,,,,,,
