Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Grenada,...,...,Development,GDP (current US$ Mil),           1126.88,           1061.63,            997.01,            911.50,            842.62,            799.88,            778.66,            771.01,            771.28,            825.98,            758.68,            698.70,            695.37,            599.12,            591.02,            540.34,            520.44,            520.04,            482.01,            445.90,            392.19,            366.91,            342.17,            325.11,            309.81,            310.16,            300.76,            278.10,            267.33,            236.36
Grenada,...,...,Export,No. Of Export partners,,,,,,,,,,             51.00,             43.00,             43.00,             36.00,             56.00,             43.00,             38.00,             38.00,             47.00,             42.00,             40.00,             38.00,             30.00,             32.00,             40.00,             36.00,,,,,
Grenada,...,...,Export,No. Of Export products,,,,,,,,,,            499.00,            479.00,            510.00,            570.00,            556.00,            447.00,            371.00,            352.00,            398.00,            354.00,            329.00,            474.00,            219.00,            249.00,            289.00,            328.00,,,,,
Grenada,...,...,Import,No. Of Import partners,,,,,,,,,            130.00,            127.00,            114.00,            121.00,            114.00,            119.00,            135.00,            125.00,            118.00,            125.00,             97.00,             95.00,            100.00,             94.00,             89.00,             84.00,             81.00,,,,,
Grenada,...,...,Import,No. Of Import products,,,,,,,,,           2873.00,           2929.00,           2935.00,           3047.00,           3115.00,           2907.00,           3023.00,           2994.00,           2979.00,           3019.00,           2195.00,           2165.00,           2162.00,           2153.00,           2099.00,           2112.00,           2075.00,,,,,
Grenada,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,              2.00,              2.00,              2.00,,,              1.00,              1.00,              1.00,              2.00,              1.00,,,              1.00,,,,,,,,
Grenada,...,...,Development,Trade Balance (current US$ Mil),,             39.52,             12.86,             11.38,           -210.04,           -189.19,           -199.31,           -195.81,           -173.74,           -243.93,           -226.84,           -240.09,           -247.29,           -121.38,           -131.93,            -99.49,            -83.07,            -74.41,            -48.26,            -87.47,            -73.65,            -62.49,            -45.41,            -35.15,            -48.89,            -39.06,            -51.57,            -45.71,            -43.30,            -33.70
Grenada,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              2.86,,,              1.75,,,              1.92,,,,              2.22,              1.94,,              1.68,,,,,,,
Grenada,Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,              8.25,,,,,,,              5.28,,,              3.43,,,,,,
Grenada,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              2.40,              2.65,,,,,,,,,,,,,,,
