Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Greenland,...,...,Development,GDP (current US$ Mil),,           2705.90,           2520.21,           2837.74,           2669.52,           2609.67,           2684.47,           2503.16,           2529.95,           2499.11,           2249.81,           2013.10,           1849.81,           1825.16,           1558.77,           1169.14,           1086.17,           1068.03,           1131.56,           1149.86,           1072.15,           1197.51,           1208.95,           1005.88,            927.22,           1037.92,           1016.49,           1018.97,            929.80,            898.61
Greenland,...,...,Export,No. Of Export partners,,             14.00,             13.00,             11.00,             18.00,             10.00,             10.00,             13.00,             15.00,             16.00,             16.00,             16.00,             18.00,             20.00,             12.00,             18.00,             18.00,             12.00,             15.00,             14.00,             14.00,             13.00,             10.00,             11.00,,,,,,
Greenland,...,...,Export,No. Of Export products,,            315.00,            264.00,            249.00,            261.00,            262.00,            311.00,            311.00,            319.00,            330.00,            365.00,            359.00,            318.00,            310.00,            333.00,            368.00,            335.00,            294.00,            293.00,            293.00,            326.00,            334.00,            354.00,            347.00,,,,,,
Greenland,...,...,Import,No. Of Import partners,,            134.00,            125.00,            123.00,            123.00,            125.00,            130.00,            130.00,            133.00,            124.00,             83.00,            132.00,             23.00,             34.00,            129.00,             30.00,             23.00,             27.00,            101.00,             96.00,             93.00,             97.00,             91.00,             93.00,,,,,,
Greenland,...,...,Import,No. Of Import products,,           2779.00,           2718.00,           2819.00,           2889.00,           2919.00,           2904.00,           2920.00,           2840.00,           2895.00,           2953.00,           3090.00,           3007.00,           3055.00,           3026.00,           2886.00,           2691.00,           2652.00,           2610.00,           2624.00,           2592.00,           2567.00,           2588.00,           2600.00,,,,,,
Greenland,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,...,...,Development,Trade Balance (current US$ Mil),,           -188.24,           -224.28,           -288.27,           -550.68,           -677.32,          -1464.43,          -1060.35,           -614.65,           -835.08,           -507.61,           -283.60,           -325.32,           -174.58,           -182.46,,,,,,,,,,,,,,,
Greenland,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,              9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             13.94,             29.77,             42.84,,,,,,,,,,,,,,,,,,,
Greenland,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             11.55,,,,,,,,              6.60,,              9.38,              8.50,,              1.51,              2.27,              1.27,,              9.72,,             13.42,,,,,,,,
Greenland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             14.77,             16.02,             18.02,             22.40,             24.42,             22.97,,             17.43,,,,,,,,,,,,,,,,,,,,,
Greenland,Cyprus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,              9.60,,,,,,,,,,,
Greenland,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            447.07,            322.44,            431.81,            419.08,            433.24,            435.65,            347.64,            311.53,            414.58,            365.14,            340.81,            348.49,            319.11,            323.03,            268.59,            226.06,            233.27,            242.12,            212.20,            250.04,            318.35,            322.52,            262.14,,,,,,
Greenland,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            426.98,            429.18,            501.61,            513.59,            511.39,            535.68,            489.58,            471.60,            535.72,            542.98,            382.29,            500.33,            488.91,            284.78,            285.43,            226.55,            266.93,            286.97,            280.02,            244.94,            309.88,            314.88,            299.47,,,,,,
Greenland,Faeroe Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             14.48,,,,,,,,,,,,,,,,,,,,,,,
Greenland,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             18.92,             17.75,,,,,,,,,,
Greenland,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              6.56,              6.75,              5.12,              4.04,,,,,,,,,,,,,,
Greenland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             12.28,             13.44,             15.34,             17.00,             17.45,,,             19.40,             21.00,,             19.24,,,             16.83,,,,,,              8.79,,,              8.67,,,,,,
Greenland,Iceland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             17.05,             11.83,             52.04,,              9.65,             10.38,              8.52,,,              6.61,              6.48,              6.01,              3.80,              3.86,,,              1.44,,,,              5.74,,,,,,,,
Greenland,Iceland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              2.70,,,              2.71,              2.78,              2.05,,,,,             15.93,,,,,,,
Greenland,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              4.02,              3.96,              9.42,             18.02,             24.12,             23.00,              9.64,             16.30,             16.88,             18.19,,,,,,
Greenland,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             13.47,             12.03,             10.89,             11.42,             14.06,             12.78,,,,,,
Greenland,Morocco,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              5.29,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              3.58,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,              8.06,              8.03,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              2.65,              2.92,,,,,              4.80,              6.12,             14.26,              4.25,,,,,,              7.01,,,,              4.48,,,,,,,,,
Greenland,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             32.38,             24.32,             18.12,,             26.66,             11.72,,,              9.24,             64.99,             34.15,             49.71,             30.47,             22.84,             22.40,             46.39,             53.95,             13.04,             11.49,,,,,,
Greenland,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             45.87,             28.44,             29.46,             22.29,             14.94,             16.11,             16.21,             13.33,              6.82,,,,,,,,,,,,,,,,,,,,
Greenland,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             28.85,             24.06,             21.80,,,,,,,,,,,,,,,,
Greenland,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             60.81,             53.26,            161.27,            190.58,            185.58,            208.24,            183.40,            121.48,            224.47,            153.49,            144.59,            112.67,             69.77,             15.07,,,,,,,,,,,,,,,
Greenland,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             12.12,             12.30,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,              3.38,              3.70,              5.47,              3.42,,,,,,,,,,
Greenland,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              9.94,              5.12,              7.78,,,,              5.31,,,,,              9.97,             14.96,             16.91,             17.72,,,,,,
Greenland,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              4.85,              6.23,              6.81,             11.20,             15.54,             12.69,              4.96,              4.40,              5.97,,              2.15,              2.95,,,,,,
Greenland,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             17.53,,,,             15.67,,,,,,,,,             11.61,             16.75,             10.19,             12.84,,,,,,
Greenland,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             33.22,             25.09,             20.42,             25.86,              3.71,              4.85,              8.93,             12.60,,,             13.95,,,,,,,              4.09,              4.48,,              7.86,              2.91,              4.90,,,,,,
Greenland,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             72.93,             41.46,             33.11,             26.05,             24.60,             26.13,             67.80,              7.29,             43.44,             92.51,             60.91,             61.42,,,,,,,,,,,,
Greenland,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,World,Animal,Export,Export(US$ Mil),,            389.83,            281.41,            379.20,            294.50,            283.69,            288.51,            216.24,            184.21,            240.51,            206.88,            232.64,            233.02,            234.02,            253.51,            211.45,            175.73,            188.61,            202.95,            165.60,            183.97,            224.35,            227.46,            194.52,,,,,,
Greenland,World,Capital goods,Export,Export(US$ Mil),,             14.90,              1.34,              1.11,              7.07,              4.41,             15.08,             22.82,             14.75,              6.53,              6.17,             16.77,              2.40,              2.57,              3.37,              9.50,              8.47,              1.84,              1.41,              1.23,              5.47,              8.44,              1.03,              1.02,,,,,,
Greenland,World,Chemicals,Export,Export(US$ Mil),,              0.00,              0.02,              0.02,              0.12,              0.03,              0.02,              0.02,              0.03,              0.01,              0.01,              0.01,              0.04,              0.02,              0.12,              0.01,              0.03,              0.03,              0.06,              0.00,              0.00,              0.01,              0.02,              0.05,,,,,,
Greenland,World,Consumer goods,Export,Export(US$ Mil),,            102.56,             78.10,            121.65,            132.95,            144.50,            142.84,            119.57,            113.06,            147.09,            118.63,            123.74,            131.69,            110.01,             88.10,             79.31,             70.00,             76.98,             83.42,             86.17,             85.98,            121.63,            126.56,            100.75,,,,,,
Greenland,World,Food Products,Export,Export(US$ Mil),,             98.89,             72.78,            114.57,            121.01,            132.03,            130.55,            109.29,            108.21,            139.95,            111.13,            112.39,            118.42,             96.99,             71.68,             68.02,             62.46,             70.77,             70.94,             74.06,             79.72,            115.86,            119.50,             93.06,,,,,,
Greenland,World,Footwear,Export,Export(US$ Mil),,              0.09,              0.00,              0.00,              0.00,              0.00,              0.07,              0.01,              0.01,              0.01,              0.03,              0.05,              0.01,              0.03,              0.01,              0.01,              0.01,              0.02,              0.00,              0.01,              0.02,              0.02,              0.01,              0.01,,,,,,
Greenland,World,Fuels,Export,Export(US$ Mil),,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.03,              0.09,              0.08,              0.10,              0.08,              0.10,              0.07,              4.07,              4.47,              3.03,              4.24,              2.89,              3.32,,,,,,
Greenland,World,Hides and Skins,Export,Export(US$ Mil),,              0.30,              0.69,              1.28,              2.30,              1.30,              2.27,              1.27,              0.76,              1.42,              2.13,              7.72,              5.49,              5.14,              3.59,              1.82,              1.77,              1.45,              2.55,              1.77,              2.84,              2.32,              1.86,              1.62,,,,,,
Greenland,World,Intermediate goods,Export,Export(US$ Mil),,              7.81,              5.87,              8.00,             19.68,             16.99,             11.66,              4.03,              6.37,              9.75,              9.02,             16.43,             11.51,             12.54,              8.19,              8.06,              7.07,              5.40,              7.62,              8.00,              6.22,              4.56,              7.45,              7.44,,,,,,
Greenland,World,Mach and Elec,Export,Export(US$ Mil),,              0.95,              0.78,              0.85,              1.11,              1.25,              2.08,              1.53,              2.12,              3.04,              3.53,              2.69,              2.07,              2.24,              3.24,              2.18,              1.02,              0.78,              1.14,              0.89,              1.13,              1.92,              0.87,              1.09,,,,,,
Greenland,World,Metals,Export,Export(US$ Mil),,              0.73,              0.64,              2.84,              0.89,              1.43,              1.48,              0.71,              0.26,              0.57,              0.48,              0.29,              0.20,              0.19,              0.33,              0.08,              0.03,              0.04,              0.08,              0.15,              0.07,              0.26,              0.13,              0.17,,,,,,
Greenland,World,Minerals,Export,Export(US$ Mil),,              0.00,              0.00,              0.00,              0.04,              0.00,              0.02,              2.82,             20.54,             44.39,             50.23,             29.75,             25.51,             21.80,              0.00,              0.00,              0.00,              0.00,              0.00,,,              0.00,,,,,,,,
Greenland,World,Miscellaneous,Export,Export(US$ Mil),,             44.54,             37.80,             40.72,             52.29,             45.14,             47.52,             36.93,             42.00,             56.60,             53.63,              9.04,             16.73,              2.90,             15.20,             13.43,             18.93,              8.30,              7.11,              7.78,              9.84,             13.50,             10.51,             12.63,,,,,,
Greenland,World,Plastic or Rubber,Export,Export(US$ Mil),,              0.00,              0.01,              0.01,              0.03,              0.04,              0.03,              0.03,              0.05,              0.07,              0.03,              0.09,              0.01,              0.15,              0.05,              0.04,              0.02,              0.01,              0.01,              0.02,              0.01,              0.01,              0.01,              0.02,,,,,,
Greenland,World,Raw materials,Export,Export(US$ Mil),,            380.95,            273.70,            370.42,            279.76,            270.90,            276.13,            210.71,            196.81,            273.40,            246.89,            246.81,            242.22,            239.67,            236.22,            197.44,            164.44,            179.70,            191.12,            153.22,            178.91,            221.48,            221.47,            187.36,,,,,,
Greenland,World,Stone and Glass,Export,Export(US$ Mil),,              0.01,              0.01,              0.02,             12.17,             12.78,              5.14,              0.20,              0.03,              0.04,              0.07,              0.05,              0.03,              0.03,              0.01,              0.02,              0.03,              0.00,              0.03,              0.01,              0.02,              0.01,              0.04,              0.01,,,,,,
Greenland,World,Textiles and Clothing,Export,Export(US$ Mil),,              0.02,              0.19,              0.30,              0.13,              0.01,              0.08,              0.05,              0.07,              0.07,              0.09,              0.20,              0.03,              0.06,              0.04,              0.15,              0.14,              0.02,              0.12,              0.02,              0.06,              0.03,              0.11,              0.02,,,,,,
Greenland,World,Transportation,Export,Export(US$ Mil),,             14.13,              0.59,              0.59,              5.41,              2.89,             13.64,             21.74,             13.23,              3.41,              2.67,             14.74,              0.12,              0.90,              0.45,              7.98,              7.34,              1.05,              0.26,              0.43,              4.41,              6.57,              0.13,              0.10,,,,,,
Greenland,World,Vegetable,Export,Export(US$ Mil),,              0.00,              0.00,              0.00,              0.01,              0.00,              0.02,              0.01,              0.00,              0.01,              0.00,              0.01,              0.00,              0.00,,              0.00,              0.00,,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,
Greenland,World,Wood,Export,Export(US$ Mil),,              0.07,              0.03,              0.09,              0.05,              0.03,              0.10,              0.06,              0.04,              0.04,              0.23,              0.13,              0.26,              0.23,              0.22,              0.10,              0.13,              0.17,              0.13,              0.07,              0.09,              0.10,              0.13,              0.14,,,,,,
Greenland,World,All Products,Export,Exports (in US$ Mil),,            549.56,            394.95,            540.50,            490.07,            480.65,            491.51,            390.91,            371.56,            490.16,            431.13,            409.83,            402.04,            364.79,            348.56,            305.37,            267.74,            271.33,            289.46,            255.29,            285.21,            369.21,            363.64,            306.74,,,,,,
Greenland,World,Capital goods,Import,Import(US$ Mil),,            121.98,            115.83,            132.73,            123.37,            139.74,            239.70,            200.29,            193.50,            210.95,            170.88,            151.61,            199.98,            134.83,            139.88,            110.71,             83.48,             87.71,             92.07,             78.49,             85.59,            121.47,             94.68,             82.34,,,,,,
Greenland,World,Consumer goods,Import,Import(US$ Mil),,            344.22,            337.62,            499.15,            553.48,            576.66,            598.12,            514.42,            463.85,            597.46,            502.21,            430.13,            407.74,            365.82,            305.09,            237.10,            176.78,            191.98,            218.60,            204.71,            175.53,            170.71,            189.44,            185.40,,,,,,
Greenland,World,Intermediate goods,Import,Import(US$ Mil),,             59.69,             65.90,             61.30,             70.93,             80.91,             91.26,             75.51,             63.67,             72.16,             61.45,             64.15,             50.59,             53.47,             46.72,             42.00,             21.85,             20.51,             35.60,             34.70,             32.83,             39.20,             37.84,             35.12,,,,,,
Greenland,World,Raw materials,Import,Import(US$ Mil),,             39.10,             42.35,             47.50,             46.58,             43.50,             45.71,             42.25,             43.37,             43.61,             37.12,             34.12,             34.64,             33.18,             28.34,             21.71,             16.81,             17.01,             17.52,             18.47,             15.89,             18.41,             18.49,             18.75,,,,,,
Greenland,World,All Products,Import,Imports (in US$ Mil),,            592.89,            586.22,            768.35,            822.14,            862.94,            997.56,            854.11,            766.29,            926.86,            773.09,            682.20,            699.51,            593.03,            525.69,            417.48,            343.89,            364.49,            418.30,            397.32,            374.07,            466.54,            421.11,            391.62,,,,,,
Greenland,...,...,Development,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,  34800.00,  30240.00,  30920.00,  25730.00,  20440.00,  18760.00,  19390.00,  20290.00,  19740.00,  20440.00,  20540.00,  20780.00,  19470.00,  17830.00,  16600.00,  17440.00,  16510.00,  15690.00,  16970.00,  15170.00
Greenland,...,...,Trade Indicator,HH Market concentration index,,              0.34,      0.30,      0.37,      0.34,      0.37,      0.42,      0.39,      0.40,      0.41,      0.40,      0.40,      0.38,      0.41,      0.42,      0.39,      0.34,      0.36,      0.39,      0.44,      0.40,      0.48,      0.44,      0.43,,,,,,
Greenland,...,...,Trade Indicator,Index of export market penetration,,              1.25,      1.39,      1.33,      1.36,      1.36,      1.34,      1.32,      1.41,      1.35,      1.37,      1.37,      1.32,      1.36,      1.36,      1.33,      1.43,      1.41,      1.48,      1.52,      1.53,      1.53,      1.50,      1.56,,,,,,
Greenland,...,...,Development,Trade (% of GDP),,             84.92,     83.07,     87.22,     96.47,    100.98,    130.55,    110.47,     85.76,    107.37,     94.97,     89.69,     99.71,     88.02,     87.30,,,,,,,,,,,,,,,
Greenland,...,...,Development,Trade Balance (% of GDP),,             -6.96,     -8.90,    -10.16,    -20.63,    -25.95,    -54.55,    -42.36,    -24.30,    -33.41,    -22.56,    -14.09,    -17.59,     -9.56,    -11.71,,,,,,,,,,,,,,,
Greenland,Austria,All Products,Import,Partner share(%)-Top 5 Import Partner,,              1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,      3.75,      6.07,      9.94,,,,,,,,,,,,,,,,,,,
Greenland,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,,,      1.97,,,,,,,,      0.85,,      1.34,      1.43,,      0.36,      0.66,      0.35,,      2.45,,      2.88,,,,,,,,
Greenland,China,All Products,Import,Partner share(%)-Top 5 Import Partner,,              2.49,      2.73,      2.35,      2.72,      2.83,      2.30,,      2.27,,,,,,,,,,,,,,,,,,,,,
Greenland,Cyprus,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,      2.30,,,,,,,,,,,
Greenland,Denmark,All Products,Export,Partner share(%)-Top 5 Export Partner,,             81.35,     81.64,     79.89,     85.51,     90.14,     88.63,     88.93,     83.84,     84.58,     84.69,     83.16,     86.68,     87.48,     92.68,     87.95,     84.43,     85.97,     83.65,     83.12,     87.67,     86.22,     88.69,     85.46,,,,,,
Greenland,Denmark,All Products,Import,Partner share(%)-Top 5 Import Partner,,             72.02,     73.21,     65.28,     62.47,     59.26,     53.70,     57.32,     61.54,     57.80,     70.23,     56.04,     71.53,     82.44,     54.17,     68.37,     65.88,     73.23,     68.60,     70.48,     65.48,     66.42,     74.78,     76.47,,,,,,
Greenland,Faeroe Islands,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      2.95,,,,,,,,,,,,,,,,,,,,,,,
Greenland,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,      4.52,      4.47,,,,,,,,,,
Greenland,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,      1.63,      1.85,      1.47,      1.32,,,,,,,,,,,,,,
Greenland,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,,              2.07,      2.29,      2.00,      2.07,      2.02,,,      2.53,      2.27,,      2.82,,,      3.20,,,,,,      2.35,,,      2.21,,,,,,
Greenland,Iceland,All Products,Export,Partner share(%)-Top 5 Export Partner,,              3.10,      3.00,      9.63,,      2.01,      2.11,      2.18,,,      1.53,      1.58,      1.49,      1.04,      1.11,,,      0.53,,,,      1.56,,,,,,,,
Greenland,Iceland,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,      0.39,,,      0.65,      0.81,      0.56,,,,,      3.78,,,,,,,
Greenland,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,      1.15,      1.30,      3.52,      6.64,      8.33,      9.01,      3.38,      4.42,      4.64,      5.93,,,,,,
Greenland,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,      3.22,      3.03,      2.91,      2.45,      3.34,      3.26,,,,,,
Greenland,Morocco,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,      1.08,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,      0.66,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,      1.05,      0.98,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,,              0.48,      0.74,,,,,      1.23,      1.65,      2.91,      0.99,,,,,,      2.62,,,,      1.57,,,,,,,,,
Greenland,Norway,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,      3.75,      2.44,      2.12,,      2.88,      1.52,,,      1.56,     12.36,      8.18,     14.46,      8.36,      5.46,      5.64,     12.40,     11.56,      3.10,      2.93,,,,,,
Greenland,Portugal,All Products,Export,Partner share(%)-Top 5 Export Partner,,              8.35,      7.20,      5.45,      4.55,      3.11,      3.28,      4.15,      3.59,      1.39,,,,,,,,,,,,,,,,,,,,
Greenland,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,      7.04,      5.98,      5.98,,,,,,,,,,,,,,,,
Greenland,Sweden,All Products,Import,Partner share(%)-Top 5 Import Partner,,             10.26,      9.08,     20.99,     23.18,     21.51,     20.88,     21.47,     15.85,     24.22,     19.85,     21.19,     16.11,     11.77,      2.87,,,,,,,,,,,,,,,
Greenland,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,      2.47,      2.56,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Thailand,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,      1.26,      1.36,      1.89,      1.34,,,,,,,,,,
Greenland,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,      2.03,      1.19,      1.90,,,,      1.74,,,,,      3.49,      4.05,      4.65,      5.78,,,,,,
