Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Guyana,...,...,Development,GDP (current US$ Mil),           3621.05,           3504.02,           3197.22,           3077.64,           2987.68,           2861.56,           2576.02,           2273.22,           2061.32,           1917.00,           1740.18,           1458.45,            824.88,            787.81,            743.06,            726.13,            712.17,            712.67,            694.75,            717.53,            749.14,            705.41,            621.63,            540.87,            454.10,            373.57,            348.53,            396.58,            379.78,            413.80
Guyana,...,...,Export,No. Of Export partners,            104.00,            106.00,            100.00,            100.00,             97.00,            107.00,            103.00,             98.00,             94.00,             95.00,            101.00,            105.00,            113.00,            120.00,            110.00,             96.00,             90.00,             89.00,             67.00,             70.00,             78.00,,,,,,,,,
Guyana,...,...,Export,No. Of Export products,           1280.00,           1162.00,           1174.00,           1128.00,           1164.00,           1222.00,           1345.00,           1364.00,           1425.00,           1378.00,           1567.00,           1375.00,           1266.00,            963.00,           1305.00,           1229.00,           1192.00,           1074.00,            892.00,            462.00,            480.00,,,,,,,,,
Guyana,...,...,Import,No. Of Import partners,            136.00,            141.00,            132.00,            125.00,            137.00,            168.00,            132.00,            139.00,            118.00,            117.00,            128.00,            107.00,            117.00,            127.00,            124.00,            121.00,            115.00,            122.00,             95.00,             90.00,             90.00,,,,,             93.00,             84.00,,,
Guyana,...,...,Import,No. Of Import products,           3235.00,           3199.00,           3119.00,           3140.00,           3137.00,           3197.00,           3197.00,           3197.00,           3130.00,           3120.00,           3188.00,           3227.00,           3158.00,           3060.00,           3120.00,           3201.00,           3357.00,           3346.00,           3179.00,           1950.00,           2001.00,,,,,           2459.00,           2251.00,,,
Guyana,...,...,Tariff,No. Of Tariff Agreement,              5.00,              3.00,              3.00,,              2.00,              5.00,              5.00,              6.00,              1.00,              6.00,              1.00,              4.00,,,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,
Guyana,...,...,Development,Trade Balance (current US$ Mil),           -557.55,           -305.35,           -593.39,           -871.78,           -830.33,           -812.56,           -774.92,           -629.47,           -498.59,           -629.66,           -490.99,           -361.14,           -207.09,            -75.63,            -72.89,            -88.00,            -98.48,           -104.10,            -55.87,            -85.94,            -73.54,            -42.99,            -67.79,            -65.79,            -75.95,            -87.70,            -62.67,            -68.03,            -27.32,            -17.80
Guyana,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             46.02,,,,,,,,,,,,,,,,,,,
Guyana,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             76.12,,,,,,,,,,,,,,,,
Guyana,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            409.56,            444.30,            158.63,            263.58,            414.23,            506.24,            401.99,            356.88,            267.55,            215.36,            169.83,            101.89,             86.06,            101.23,             94.63,            106.74,            107.78,            113.96,             93.56,            103.42,            103.62,,,,,,,,,
Guyana,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            157.08,            119.29,            113.51,            133.77,            165.42,            194.08,            106.55,             83.90,             59.23,             76.23,             87.37,             45.75,             31.52,,,,,,,,,,,,,,,,,
Guyana,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             22.96,,,,,,,,,
Guyana,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             44.57,             42.24,             36.03,             47.35,,             42.39,             44.37,,,             36.79,,             26.52,             28.37,             23.94,             28.00,             19.51,             22.48,             24.03,,,,,,,,,
Guyana,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             50.23,             50.66,             56.05,,,,,,,,,,,             40.64,             20.73,,,             21.63,             22.36,             29.10,             51.93,,,,,             14.61,,,,
Guyana,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            700.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             32.80,,             44.10,             35.62,,,,,,,,,,,,,,,,,,
Guyana,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             40.55,             35.95,             28.68,             63.09,             39.06,             67.16,             69.64,,,,,,,,,             26.50,             14.12,,,
Guyana,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            157.58,             49.41,             75.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             58.83,,,,,             30.41,,,             23.56,,,             26.71,             31.54,,,,,,,,,,
Guyana,Suriname,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            107.39,             89.16,,            115.80,            141.93,            141.94,            132.80,            117.52,             68.33,             80.98,,,,,,,,,,,,,,,,,,,,
Guyana,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            204.27,            164.89,            123.52,,,,,,,             32.44,,             35.42,,             37.47,             28.38,,             15.19,             22.64,,,,,,,,,,,,
