Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Hong Kong, China",...,...,Development,GDP (current US$ Mil),         341449.34,         320881.18,         309383.63,         291459.36,         275696.88,         262629.44,         248513.62,         228637.70,         214046.42,         219279.68,         211597.41,         193536.27,         181570.08,         169099.77,         161384.52,         166349.23,         169403.24,         171668.16,         165768.10,         168886.16,         177352.79,         159717.23,         144652.91,         135812.07,         120353.95,         104272.28,          88959.62,          76928.29,          68790.37,          59707.40
"Hong Kong, China",...,...,Export,No. Of Export partners,            195.00,            196.00,            195.00,            196.00,            196.00,            196.00,            194.00,            195.00,            195.00,            194.00,            194.00,            192.00,            194.00,            193.00,            193.00,            189.00,            182.00,            183.00,            179.00,            178.00,            179.00,            177.00,            172.00,            172.00,            174.00,,,,,
"Hong Kong, China",...,...,Export,No. Of Export products,           3957.00,           4001.00,           4027.00,           4058.00,           4058.00,           4083.00,           4080.00,           4053.00,           4121.00,           4142.00,           4114.00,           4357.00,           4345.00,           4324.00,           4289.00,           4347.00,           4468.00,           4516.00,           4484.00,           4422.00,           4435.00,           4403.00,           4453.00,           4434.00,           4389.00,,,,,
"Hong Kong, China",...,...,Import,No. Of Import partners,            194.00,            192.00,            191.00,            191.00,            190.00,            194.00,            191.00,            190.00,            191.00,            187.00,            191.00,            188.00,            188.00,            186.00,            183.00,            185.00,            177.00,            175.00,            165.00,            166.00,            164.00,            158.00,            162.00,            161.00,            156.00,,,,,
"Hong Kong, China",...,...,Import,No. Of Import products,           4126.00,           4174.00,           4191.00,           4191.00,           4187.00,           4234.00,           4203.00,           4223.00,           4276.00,           4277.00,           4267.00,           4511.00,           4500.00,           4489.00,           4469.00,           4474.00,           4571.00,           4584.00,           4569.00,           4533.00,           4513.00,           4509.00,           4554.00,           4544.00,           4493.00,,,,,
"Hong Kong, China",...,...,Tariff,No. Of Tariff Agreement,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              2.00,              2.00,              2.00,              3.00,              2.00,              2.00,              1.00,              2.00,              2.00,,,,,,,,
"Hong Kong, China",...,...,Development,Trade Balance (current US$ Mil),           3107.45,           7348.34,           7391.96,            597.36,           1654.46,           2969.29,           9568.09,          13431.63,          16850.92,          22308.52,          22588.77,          21601.87,          22181.73,          14729.84,          14681.64,          13569.22,           7945.71,           7568.67,           8561.65,            905.45,          -5954.33,          -2371.38,          -6481.94,           1571.61,           8119.34,           5422.32,           6048.87,           6568.08,           7885.36,           5329.49
"Hong Kong, China",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         297814.13,         285501.33,         287492.81,         300429.69,         320687.68,         284360.81,         246581.69,         210291.12,         164285.68,         178621.25,         168603.73,         149510.94,         130425.88,         114315.65,          95446.08,          78949.84,          70346.56,          69847.99,          58006.66,          59850.26,          65608.42,          61998.94,          57870.26,          49674.02,          43694.16,,,,,
"Hong Kong, China",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         262582.64,         251091.94,         261119.60,         268260.87,         266876.65,         251996.21,         220581.98,         197089.55,         161214.31,         181232.81,         170556.00,         153659.48,         134965.92,         117955.27,         101082.79,          91947.90,          87455.97,          91776.86,          78317.62,          74966.26,          78598.65,          73775.45,          69742.57,          60937.32,          52003.56,,,,,
"Hong Kong, China",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,          10419.45,          10260.44,          12150.63,          10426.36,           9760.96,           9370.06,,           7219.01,           6261.55,           6625.02,           7692.78,           6817.23,           6744.97,           7332.82,           7587.48,           7500.28,           7054.02,           7083.13,,,,,
