Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Honduras,...,...,Development,GDP (current US$ Mil),          22978.53,          21643.94,          20979.77,          19756.49,          18499.71,          18528.60,          17710.32,          15839.34,          14587.50,          13789.72,          12275.50,          10841.74,           9672.04,           8772.19,           8140.27,           7775.08,           7565.87,           7103.51,           6414.52,           6366.34,           5737.10,           5215.03,           5347.45,           4642.28,           4926.73,           4943.70,           4648.67,           4923.01,           5432.34,           5902.72
Honduras,...,...,Export,No. Of Export partners,            124.00,             99.00,            108.00,            107.00,,            111.00,             96.00,             97.00,            105.00,,            103.00,             93.00,             89.00,             90.00,             97.00,             94.00,             85.00,             67.00,             62.00,             75.00,             64.00,             71.00,             67.00,             71.00,,,,,,
Honduras,...,...,Export,No. Of Export products,           2183.00,           2095.00,           2055.00,           2235.00,,           2114.00,           1934.00,           1971.00,           2097.00,,           2050.00,           2059.00,           1822.00,           1784.00,           1678.00,           1795.00,           1584.00,           1435.00,           1530.00,           1588.00,           1242.00,           1708.00,           1064.00,           1086.00,,,,,,
Honduras,...,...,Import,No. Of Import partners,            189.00,            134.00,            136.00,            135.00,,            134.00,            135.00,            126.00,            121.00,,            141.00,            118.00,            140.00,            148.00,            150.00,            163.00,            146.00,            103.00,             93.00,             94.00,             97.00,             94.00,            102.00,            101.00,,,,,,
Honduras,...,...,Import,No. Of Import products,           3829.00,           3854.00,           3870.00,           3917.00,,           3907.00,           3965.00,           3912.00,           3895.00,,           3940.00,           4061.00,           4011.00,           3952.00,           4004.00,           4101.00,           4001.00,           4005.00,           4003.00,           4100.00,           4168.00,           4115.00,           4070.00,           3954.00,,,,,,
Honduras,...,...,Tariff,No. Of Tariff Agreement,,,             13.00,,,              1.00,              1.00,              1.00,              1.00,,              2.00,              1.00,              1.00,              6.00,              1.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,
Honduras,...,...,Development,Trade Balance (current US$ Mil),          -3514.57,          -3304.16,          -3552.06,          -3526.49,          -3778.21,          -3591.33,          -3489.20,          -2839.05,          -2603.07,          -4564.18,          -3443.60,          -2279.21,          -1787.21,          -1633.01,          -1144.54,           -974.71,           -997.16,           -884.23,           -915.24,           -411.10,           -277.85,           -309.36,           -298.31,           -524.15,           -532.20,           -466.66,           -323.02,           -372.97,           -422.82,           -387.27
Honduras,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            348.45,,,,,            271.41,            245.17,,,,,            106.97,             67.62,,             29.50,,,,,,,,,,,,,,,
Honduras,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,             42.89,             23.16,             18.62,,,,,,
Honduras,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1296.04,           1146.37,           1289.16,            900.22,,            766.97,            668.13,            531.75,,,,,,,,,,,,,,,,,,,,,,
Honduras,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            279.60,,            280.28,,            209.67,            170.51,            141.77,,,,,,,,,,,,,,,
