Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Indonesia,...,...,Development,GDP (current US$ Mil),        1015539.02,         932256.50,         860854.24,         890814.76,         912524.14,         917869.91,         892969.11,         755094.16,         539580.09,         510228.63,         432216.74,         364570.51,         285868.62,         256836.88,         234772.46,         195660.61,         160446.95,         165021.01,         140001.35,          95445.55,         215749.00,         227369.68,         202132.03,         176892.14,         158006.70,         128026.97,         116622.00,         106140.73,          94451.43,          84300.17
Indonesia,...,...,Export,No. Of Export partners,            216.00,            220.00,            215.00,            213.00,            215.00,            213.00,            217.00,            214.00,            215.00,            213.00,            218.00,            216.00,            215.00,            220.00,            219.00,            220.00,            221.00,            223.00,            212.00,            208.00,            203.00,            123.00,            123.00,            123.00,            120.00,            122.00,            122.00,            115.00,            111.00,
Indonesia,...,...,Export,No. Of Export products,           3903.00,           3889.00,           3892.00,           3937.00,           3940.00,           3958.00,           3933.00,           3938.00,           4076.00,           4092.00,           4150.00,           4274.00,           4232.00,           4387.00,           4317.00,           4322.00,           4295.00,           4249.00,           4239.00,           3562.00,           3578.00,           3606.00,           3574.00,           3542.00,           3433.00,           3252.00,           2812.00,           2625.00,           2524.00,
Indonesia,...,...,Import,No. Of Import partners,            222.00,            213.00,            209.00,            217.00,            218.00,            218.00,            213.00,            217.00,            212.00,            209.00,            199.00,            201.00,            198.00,            198.00,            201.00,            209.00,            200.00,            202.00,            188.00,            183.00,            197.00,            121.00,            119.00,            115.00,            116.00,            113.00,            115.00,            117.00,            112.00,
Indonesia,...,...,Import,No. Of Import products,           4413.00,           4403.00,           4390.00,           4368.00,           4390.00,           4421.00,           4447.00,           4461.00,           4581.00,           4594.00,           4501.00,           4651.00,           4687.00,           4696.00,           4737.00,           4728.00,           4732.00,           4773.00,           4748.00,           4716.00,           4777.00,           4731.00,           4786.00,           4763.00,           4765.00,           4779.00,           4724.00,           4599.00,           4577.00,
Indonesia,...,...,Tariff,No. Of Tariff Agreement,              8.00,              8.00,,,              5.00,              5.00,              5.00,              5.00,              8.00,              1.00,              4.00,              3.00,              3.00,              2.00,              2.00,              2.00,              2.00,              2.00,              3.00,              1.00,              1.00,              1.00,              2.00,,              1.00,,,              2.00,              2.00,
Indonesia,...,...,Development,Trade Balance (current US$ Mil),          12241.25,           7486.11,           3294.65,          -6665.13,          -7210.95,          -3617.70,          22098.24,          14322.54,          15141.25,           5383.77,          17471.01,          19731.67,          11853.83,          11999.66,          17229.52,          12318.36,          13270.68,          17356.48,          11318.19,           9306.01,           -594.11,          -1399.78,          -2696.97,           2026.75,           4718.46,           4080.85,           2172.62,           1825.26,           2921.60,           2384.65
Indonesia,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,           1460.33,           1760.41,           2426.65,           2535.00,,,,,,,            924.79,
Indonesia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          23049.30,          16785.59,          15046.43,          17605.94,          22601.49,          21659.50,          22941.00,          15692.61,          11499.33,          11636.50,           9675.51,           8343.57,           6662.35,           4604.73,           3802.53,           2902.95,           2200.67,           2767.71,           2008.92,,           2229.33,           2057.47,,,,           1396.44,           1190.90,,,
Indonesia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          34520.73,          30800.45,          29411.07,          30624.38,          29849.46,          29387.07,          26212.19,          20424.22,          14002.17,          15249.20,           8557.88,           6636.90,           5842.86,           4101.33,           2957.47,           2427.37,           1842.68,           2021.97,,,,,,,,,,,,
