Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Israel,...,...,Development,GDP (current US$ Mil),         350850.54,         317747.54,         299093.84,         308416.98,         292489.19,         257296.58,         261628.55,         233609.52,         207419.37,         215840.35,         178706.72,         153966.92,         142462.93,         135445.03,         126864.97,         121069.38,         130706.15,         132339.31,         117189.92,         115979.23,         114724.86,         109957.32,         100343.22,          86307.14,          75954.64,          75575.90,          67530.22,          58987.00,          49881.43,          50078.77
Israel,...,...,Export,No. Of Export partners,            188.00,            190.00,            189.00,            187.00,            201.00,            204.00,            204.00,            200.00,            202.00,            195.00,            191.00,            188.00,            184.00,            183.00,            179.00,            172.00,            169.00,            162.00,            159.00,            157.00,            161.00,            149.00,            144.00,,,,,,,
Israel,...,...,Export,No. Of Export products,           3041.00,           3015.00,           3034.00,           3015.00,           3016.00,           3055.00,           3088.00,           3092.00,           3041.00,           3053.00,           2602.00,           2616.00,           2597.00,           2491.00,           2524.00,           2455.00,           2477.00,           2552.00,           2675.00,           2664.00,           2726.00,           2285.00,           2277.00,,,,,,,
Israel,...,...,Import,No. Of Import partners,            166.00,            164.00,            167.00,            162.00,            175.00,            165.00,            167.00,            164.00,            165.00,            174.00,            164.00,            157.00,            152.00,            140.00,            149.00,            148.00,            143.00,            126.00,            133.00,            136.00,            131.00,            104.00,            108.00,,,,,,,
Israel,...,...,Import,No. Of Import products,           4222.00,           4250.00,           4259.00,           4249.00,           4239.00,           4235.00,           4261.00,           4257.00,           4246.00,           4265.00,           4259.00,           4481.00,           4481.00,           4273.00,           4472.00,           4468.00,           4517.00,           4543.00,           4546.00,           4531.00,           4520.00,           4115.00,           4122.00,,,,,,,
Israel,...,...,Tariff,No. Of Tariff Agreement,             13.00,             13.00,             13.00,             13.00,             13.00,             14.00,              1.00,,              1.00,             17.00,             17.00,             17.00,             17.00,             12.00,              1.00,              1.00,              1.00,              1.00,             11.00,,,,,,,,,,,
Israel,...,...,Development,Trade Balance (current US$ Mil),,           6636.49,           9009.46,           4348.86,           5305.32,             -3.68,           1276.66,           4885.80,           5458.89,          -1394.09,          -1648.45,            221.28,           -162.22,            102.41,           -960.89,          -3530.33,          -3126.95,           -125.57,          -2977.99,          -3021.24,          -5379.49,          -7878.25,          -7812.24,          -6603.37,          -6000.60,          -4503.89,          -5319.45,          -2910.59,          -1838.45,          -2639.36
Israel,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           3299.31,           3117.74,           2929.05,           3767.39,           3116.74,           2371.79,           4618.57,           4070.85,           3068.31,           3679.51,           2897.91,           2320.82,           1863.11,           1569.93,           1873.36,           1382.23,,,,,,,,,,,
Israel,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           3913.97,,,,,           4465.05,           3576.35,,           4250.32,           4454.65,           3936.83,           4557.59,           4130.88,           3179.75,           3028.26,           2634.14,           3547.46,           3505.61,,,,,,,,,,,
Israel,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,           1116.63,           1122.90,           1019.79,,,,,,,
