Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Italy,...,...,Development,GDP (current US$ Mil),        1934797.94,        1859383.61,        1832868.49,        2151732.87,        2130491.32,        2072823.16,        2276292.40,        2125058.24,        2185160.18,        2390729.16,        2203053.38,        1942633.80,        1852661.98,        1798314.75,        1569649.66,        1266510.63,        1162317.85,        1141760.00,        1248563.18,        1266309.25,        1239050.93,        1308929.35,        1170787.35,        1095590.83,        1061445.23,        1315806.99,        1242109.40,        1177326.29,         925598.07,         888667.91
Italy,...,...,Export,No. Of Export partners,            228.00,            225.00,            227.00,            226.00,            231.00,            223.00,            226.00,            224.00,            222.00,            222.00,            223.00,            227.00,            225.00,            223.00,            224.00,            225.00,            216.00,            215.00,            212.00,            209.00,            210.00,            210.00,            212.00,            212.00,,,,,,
Italy,...,...,Export,No. Of Export products,           4443.00,           4471.00,           4468.00,           4472.00,           4462.00,           4472.00,           4504.00,           4503.00,           4492.00,           4510.00,           4497.00,           4757.00,           4746.00,           4737.00,           4741.00,           4744.00,           4792.00,           4804.00,           4814.00,           4816.00,           4826.00,           4823.00,           4898.00,           4894.00,,,,,,
Italy,...,...,Import,No. Of Import partners,            208.00,            213.00,            210.00,            208.00,            211.00,            213.00,            214.00,            211.00,            211.00,            214.00,            216.00,            218.00,            216.00,            216.00,            216.00,            215.00,            205.00,            207.00,            207.00,            198.00,            197.00,            202.00,            183.00,            204.00,,,,,,
Italy,...,...,Import,No. Of Import products,           4537.00,           4563.00,           4559.00,           4562.00,           4563.00,           4560.00,           4591.00,           4594.00,           4590.00,           4587.00,           4589.00,           4853.00,           4845.00,           4845.00,           4835.00,           4844.00,           4914.00,           4915.00,           4928.00,           4914.00,           4921.00,           4919.00,           5004.00,           4997.00,,,,,,
Italy,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,...,...,Development,Trade Balance (current US$ Mil),          59562.04,          60467.67,          53702.23,          61394.47,          48118.91,          20476.33,         -35744.51,         -41846.12,         -14333.01,         -18860.99,          -7914.45,         -16247.02,          -2047.01,          10469.08,           7107.90,           9447.49,          14590.34,           9602.82,          22172.06,          38437.49,          46077.99,          59464.80,          43014.26,          36146.55,          32376.12,            612.66,           2433.04,           2349.45,           -163.35,            415.71
Italy,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,          17075.31,          15670.59,,,,,,,,,,,,,,,,
Italy,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          32020.37,          30194.17,          31315.51,          33305.15,          30634.04,          32162.56,          41131.34,          38133.07,          26914.45,          34637.29,          29713.14,          22465.43,          17574.87,,,,,,,,,,,,,,,,,
Italy,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          51815.40,          48606.49,          47291.43,          55781.50,          56148.07,          55577.46,          60240.18,          51724.54,          46923.74,          60474.82,          57201.16,          48841.49,          45521.83,          43461.58,          37036.17,          30961.57,          29892.15,          30329.30,          30766.28,          30901.58,          29010.53,          32041.42,          30010.50,          24851.60,,,,,,
Italy,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          39636.93,          36020.33,          35686.73,          40912.57,          40512.97,          40615.04,          46518.10,          42501.05,          36629.14,          47798.97,          46399.47,          40855.46,          38113.07,          38615.24,          33671.12,          28137.46,          26500.22,          26816.32,          27627.11,          28397.06,          27478.15,          28240.93,          28309.82,          22781.13,,,,,,
Italy,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          62814.07,          58331.88,          56269.73,          66568.03,          64356.08,          62768.61,          68230.67,          57766.85,          51217.53,          68826.03,          64445.51,          54863.95,          48804.63,          47903.82,          41856.58,          34988.87,          35665.70,          36217.00,          39031.96,          39892.10,          38960.09,          44087.70,          43236.43,          36119.16,,,,,,
Italy,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          73734.53,          65794.41,          63879.37,          72235.12,          70767.32,          70899.28,          86732.50,          78066.50,          69147.02,          87906.77,          86163.83,          72854.38,          65714.03,          62953.16,          53043.95,          43896.56,          42073.51,          41773.36,          42155.79,          40543.56,          37441.06,          38550.18,          38951.92,          32310.89,,,,,,
Italy,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          25398.87,          22305.30,          22813.51,          27646.62,          27471.66,          26423.96,          29233.31,          26425.79,          23535.54,          28373.42,          26918.48,          22749.45,          20630.14,          20075.90,          16635.28,          13778.55,          13931.01,          13521.02,          13603.47,          13317.23,          12816.35,          12507.77,          11226.27,           9591.46,,,,,,
Italy,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          22945.93,          26818.52,          23564.32,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          26093.77,          23203.49,          21905.40,,,,          27450.66,          25726.22,          23045.46,          35144.33,          37242.99,          30443.50,          27658.82,          25438.13,          21200.01,          16238.01,          14999.17,          14908.41,          15055.72,          14040.79,          12335.59,          12627.41,          11311.14,           8920.77,,,,,,
Italy,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          23892.68,          21619.32,          20612.17,,,,          25167.15,          22152.94,          18284.53,,,,,          16511.46,          14372.40,,,,,,,,,,,,,,,
Italy,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          25329.40,          27096.30,          29463.37,          28734.81,,,,,,,,,,,,,,,,,,,,,,,
Italy,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,           8254.95,,,,,,
Italy,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          25869.67,          24874.82,          24783.07,          27799.02,          26016.91,          24367.37,,          23069.82,          20690.76,          28184.20,          28975.33,          25212.71,          24393.37,          24914.77,          21023.87,          17654.65,          16438.94,          16516.37,          16855.14,          17435.64,          16937.98,          16324.95,          14288.77,          12337.39,,,,,,
Italy,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,          14296.00,          12623.95,          12114.16,          13048.23,          13439.58,          13854.26,          13947.72,          13759.69,          12387.45,          10265.77,,,,,,
Italy,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          45607.99,          40871.58,          39881.62,          39508.77,          35909.53,          34246.96,          31662.27,          26826.43,          23762.86,          33656.53,          33123.15,          30751.50,          29666.49,          27687.33,          24779.05,          24305.00,          23402.91,          24491.89,          21775.74,          20769.90,          18912.68,          18450.18,          16897.66,          14744.63,,,,,,
Italy,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,          11774.72,          11453.14,          12424.56,          10565.67,          10885.32,          10376.69,          10168.55,           9886.73,,,,,,,
Italy,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,          35168.36,          23998.43,          24556.16,,,,,,,,,,,,,,,,,,
Italy,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
