Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Japan,...,...,Development,GDP (current US$ Mil),        4872136.95,        4949273.34,        4394977.75,        4850413.54,        5155717.06,        6203213.12,        6157459.59,        5700098.11,        5231382.67,        5037908.47,        4515264.51,        4530377.22,        4755410.63,        4815148.85,        4445658.07,        4115116.28,        4303544.26,        4887519.66,        4562078.82,        4032509.76,        4414732.84,        4833712.54,        5449116.30,        4907039.38,        4454143.88,        3908809.46,        3584420.08,        3132817.65,        3054914.17,        3071683.01
Japan,...,...,Export,No. Of Export partners,            214.00,            213.00,            214.00,            214.00,            213.00,            212.00,            213.00,            215.00,            214.00,            214.00,            213.00,            215.00,            212.00,            213.00,            214.00,            215.00,            216.00,            216.00,            211.00,            209.00,            210.00,            209.00,            212.00,            211.00,            211.00,            206.00,            187.00,            190.00,            188.00,            187.00
Japan,...,...,Export,No. Of Export products,           4199.00,           4230.00,           4213.00,           4216.00,           4216.00,           4218.00,           4274.00,           4278.00,           4280.00,           4333.00,           4329.00,           4562.00,           4561.00,           4562.00,           4545.00,           4550.00,           4563.00,           4591.00,           4581.00,           4553.00,           4591.00,           4565.00,           4620.00,           4613.00,           4604.00,           4615.00,           4626.00,           4623.00,           4591.00,           4604.00
Japan,...,...,Import,No. Of Import partners,            213.00,            212.00,            211.00,            211.00,            210.00,            207.00,            210.00,            209.00,            213.00,            210.00,            209.00,            211.00,            211.00,            210.00,            210.00,            211.00,            206.00,            211.00,            205.00,            197.00,            204.00,            205.00,            206.00,            207.00,            205.00,            203.00,            184.00,            183.00,            183.00,            178.00
Japan,...,...,Import,No. Of Import products,           4426.00,           4453.00,           4459.00,           4458.00,           4466.00,           4448.00,           4483.00,           4469.00,           4485.00,           4497.00,           4495.00,           4745.00,           4761.00,           4760.00,           4759.00,           4751.00,           4831.00,           4821.00,           4822.00,           4815.00,           4835.00,           4829.00,           4870.00,           4871.00,           4849.00,           4835.00,           4852.00,           4856.00,           4839.00,           4856.00
Japan,...,...,Tariff,No. Of Tariff Agreement,             19.00,             18.00,             20.00,             17.00,             19.00,             21.00,             16.00,             18.00,             16.00,             13.00,             10.00,              9.00,              9.00,              7.00,              7.00,              7.00,              7.00,              7.00,              7.00,              7.00,              7.00,              8.00,              7.00,              7.00,              7.00,              7.00,              7.00,              8.00,              7.00,              8.00
Japan,...,...,Development,Trade Balance (current US$ Mil),,          48093.21,         -18394.96,        -119570.78,        -119443.84,         -95940.05,         -33435.66,          83250.29,          28821.17,          22622.98,          85462.43,          64060.57,          71777.62,          97348.26,          75374.24,          55588.25,          28406.41,          69858.16,          70920.26,          73268.23,          46662.19,          20960.83,          68882.92,          93372.52,          95400.27,          80300.79,          53701.86,          24334.82,          41283.11,          60316.02
Japan,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          38968.13,          30432.60,          34791.62,          48117.72,          51026.04,          56449.99,          56688.39,          45096.68,          34751.48,          47531.82,          31252.15,          27927.42,          24513.20,          19454.41,          15079.35,          14018.22,          14459.59,,          12806.52,          13014.27,          14588.20,,          14558.43,          13641.65,          12216.77,          12445.49,          13016.15,          12391.03,          11610.32,          10284.71
Japan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         132785.53,         113830.23,         109277.77,         126361.39,         129401.39,         144184.83,         162035.39,         149450.76,         109727.43,         124900.52,         109270.66,          92769.55,          80074.35,          73938.66,          57416.82,          39824.77,          30994.26,          30382.10,          23340.19,          20086.25,          21745.51,          21886.79,,,,,,,,
Japan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         164478.68,         156552.58,         160559.70,         181294.16,         180977.51,         188500.37,         183882.19,         153203.23,         122574.08,         143229.98,         127922.37,         118525.74,         108477.57,          94340.41,          75471.96,          61784.47,          57864.68,          55106.75,          42853.07,          37088.49,          41876.69,          40436.10,          36017.10,          27483.60,          20437.10,          16925.93,          14202.01,          11997.22,          11163.36,           9866.36
Japan,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,          19076.23,,,,,          18146.89,          20337.58,          20619.96,          17757.58,          15908.15,          15786.19
Japan,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          35437.10,          33624.34,          35006.28,          38143.17,          37418.39,,          42948.02,          42312.42,          31893.95,          40294.05,          38909.39,          36433.49,          35960.29,          35431.70,          29897.60,          25402.20,          23272.47,          27183.30,          22020.85,          22602.19,          27259.27,          25355.85,          27725.07,          25712.89,          22666.75,          20734.10,          16319.86,          13064.78,          11508.42,          11708.65
Japan,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,          18702.46,          16468.68,          14183.29,          14869.38,          16381.58,,          10843.62,          14638.62,          15193.83,,          12923.62,          12499.51,          12228.97,          12766.74,          12627.55,          11011.36,           9489.58
Japan,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          53307.75,          46235.24,          44018.77,          51520.34,          56513.45,          61527.65,          66174.01,          62361.08,          47273.09,          59492.56,          54333.49,          50270.02,          46629.90,          44257.40,          34806.43,          28569.76,          25296.86,          30700.38,          22890.55,,          26064.63,          29327.99,          31225.96,          24317.73,          19066.77,          17793.39,          20079.29,          17428.52,          16591.88,          15437.86
Japan,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          28126.93,          25019.53,          26807.29,,,,,,,,,,,          22046.50,          17903.29,          15484.81,          17197.61,          20448.86,          16034.89,          12076.01,          14583.80,          15948.88,          17281.35,          13488.87,          11638.81,          11568.28,          12340.70,          11717.78,          13007.69,          11823.02
Japan,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          40643.80,          39297.00,          36960.99,          39959.02,          41612.72,          46017.25,          50960.36,          52470.98,          36434.43,          46117.64,          44889.15,          44102.73,          43578.16,          42012.04,          31236.38,          26240.54,          24229.24,          35945.45,          28775.32,          25600.22,          27568.35,          25954.53,          28898.41,          23780.20,          22051.93,          21153.34,          18263.92,          15466.06,          15440.75,          14354.54
Japan,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          22957.82,,,,,,,,,,,,,,,,          17902.46,          12797.03,,,          14959.30,          14350.19,,,,,,,
Japan,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          27773.88,,,          47414.45,          49856.20,          54850.07,          50558.16,          35972.01,          29150.98,          51116.47,          35286.96,          37191.50,          28721.95,,,,,,,,,,,,,,,,,
Japan,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,          23011.42,          19596.31,,,,,,
