Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Kazakhstan,...,...,Development,GDP (current US$ Mil),         162886.87,         137278.32,         184388.43,         221415.57,         236634.55,         207998.57,         192626.51,         148047.35,         115308.66,         133441.61,         104849.89,          81003.88,          57123.67,          43151.65,          30833.70,          24636.59,          22152.69,          18291.99,          16870.82,          22135.25,          22165.93,          21035.36,          20374.31,          21250.84,          23409.03,          24906.94,          24881.14,          26932.73,,
Kazakhstan,...,...,Export,No. Of Export partners,            121.00,            122.00,            117.00,            119.00,            120.00,            115.00,            118.00,            126.00,            109.00,            118.00,            122.00,            112.00,            104.00,            118.00,            109.00,            113.00,            109.00,            116.00,            120.00,            111.00,            117.00,            109.00,            116.00,,,,,,,
Kazakhstan,...,...,Export,No. Of Export products,           2945.00,           2858.00,           2718.00,           2652.00,           2648.00,           2481.00,           2612.00,           2261.00,           2471.00,           2358.00,           2345.00,           2356.00,           2342.00,           2337.00,           2099.00,           2029.00,           2117.00,            147.00,,,,,,,,,,,,
Kazakhstan,...,...,Import,No. Of Import partners,            170.00,            171.00,            180.00,            194.00,            199.00,            180.00,            186.00,            181.00,            177.00,            178.00,            176.00,            164.00,            146.00,            151.00,            139.00,            138.00,            154.00,            163.00,            136.00,            116.00,            112.00,            114.00,            107.00,,,,,,,
Kazakhstan,...,...,Import,No. Of Import products,           4313.00,           4351.00,           4350.00,           4350.00,           4369.00,           4338.00,           4310.00,           4135.00,           4103.00,           4256.00,           4335.00,           4297.00,           4265.00,           4242.00,           4191.00,           4204.00,           4177.00,            257.00,,,,,,,,,,,,
Kazakhstan,...,...,Tariff,No. Of Tariff Agreement,              8.00,              7.00,              7.00,              7.00,             14.00,             14.00,             14.00,             14.00,,             15.00,,,,              1.00,,,,,,,,              1.00,,,,,,,,
Kazakhstan,...,...,Development,Trade Balance (current US$ Mil),          13184.07,           4634.76,           7345.46,          30359.36,          27985.51,          30150.63,          38162.14,          21244.93,           9121.81,          26685.61,           6777.51,           8503.03,           4927.61,           3707.43,           1655.99,            -12.42,           -234.60,           1372.84,            395.63,           -999.58,           -559.88,           -154.81,           -932.06,          -2136.19,          -2070.23,           -330.44,,,,
Kazakhstan,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            120.46,,,,,,,,
Kazakhstan,Bermuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           2192.63,           2011.30,           1221.21,           1185.80,            928.05,,,,,,,,,,,
Kazakhstan,British Virgin Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,           1029.14,            409.09,,,,,,,,,,,
Kazakhstan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5777.68,           4214.93,           5480.14,           9799.42,          14373.75,          16484.41,          16291.51,          10122.07,           5888.59,           7676.61,           5635.91,           3592.51,           2422.51,           1966.91,           1653.08,           1018.68,            646.65,            672.55,            478.76,            384.62,            434.85,            458.90,            283.93,,,,,,,
Kazakhstan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4692.24,           3665.65,           5087.80,           7357.22,           8364.47,           7497.72,           5021.10,           3964.52,           3569.53,           4565.06,           3507.28,           1924.94,           1251.84,            758.23,            523.70,            313.03,,,,,,,,,,,,,,
Kazakhstan,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           2681.28,           4690.34,           5460.11,           5632.97,           5414.72,           4433.13,           3381.51,           5388.68,           3982.71,           3346.97,           2665.15,           1468.22,,,,,,,,,,,,,,,,
Kazakhstan,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            495.53,,,,            353.03,,            171.11,,,,,,,
Kazakhstan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1484.12,           1443.52,           1985.98,           2314.62,           2455.19,           2270.49,           2082.01,           1828.20,           2041.86,           2572.05,           2585.75,           1809.16,           1298.83,           1052.85,            733.72,            585.99,            485.53,            335.52,            279.53,            363.68,            367.46,            197.60,            196.56,,,,,,,
Kazakhstan,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8669.34,           7474.77,           8136.26,          16051.57,          16480.66,          15465.72,          15045.25,           9576.77,           6686.76,          11920.32,           7774.22,           6891.64,           4190.53,           3108.98,           1013.10,            904.22,            956.20,            917.60,            428.48,            495.13,            357.36,,,,,,,,,
Kazakhstan,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            945.27,            834.33,           1174.45,,,,,           1580.61,           1915.33,,,           1429.78,,,,,            268.82,            155.91,,,,,,,,,,,,
Kazakhstan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,            118.17,,,,,,,,,,,
Kazakhstan,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4748.21,           3255.79,           4980.96,           8724.19,           9888.29,           7479.43,           6637.11,           4160.97,,,,,,,,,,,,,,            302.97,            511.53,,,,,,,
Kazakhstan,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4515.16,           3509.16,           4547.50,           6388.50,           5875.27,           6747.21,           7514.52,           3006.54,           3546.97,           6227.05,           4658.92,           3730.04,           2926.58,           2836.29,           1967.74,           1497.74,           1733.41,           1710.26,           1146.30,           1578.78,           2285.27,           2480.50,           2361.97,,,,,,,
Kazakhstan,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11472.92,           9129.77,          10529.28,          13807.69,          17971.76,          17110.46,          16269.07,           5475.74,           8896.56,          13753.82,          11573.77,           9064.09,           6581.79,           4807.77,           3277.75,           2547.03,           2751.92,           2338.76,           1345.33,           1703.45,           1967.85,           2322.73,           1898.63,,,,,,,
Kazakhstan,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3100.69,           2687.77,,,,,,,           2668.22,          11281.33,           7475.88,           6721.18,           5509.51,           3760.40,           1679.93,            773.60,,,,            318.58,,            213.34,            203.52,,,,,,,
Kazakhstan,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            203.88,            177.01,            151.19,            123.46,,,,,,,
Kazakhstan,Turkmenistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            176.21,            241.30,,,,,,,
Kazakhstan,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1208.79,           2269.64,           2922.95,           1734.39,           1358.51,           2131.55,           2104.84,           1517.46,,            839.78,            722.56,            323.67,,,,,,,,,,,,,,,
Kazakhstan,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            470.80,            548.78,            230.84,,,,,,,,
Kazakhstan,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            259.72,            249.44,            223.06,            224.62,            219.12,            141.34,,,,,,,,,
Kazakhstan,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1253.45,           1276.99,           1484.35,           1993.06,           2155.55,           2119.81,           1716.08,,,           1930.79,           1623.89,           1105.80,           1204.48,            563.14,            470.53,            461.46,            347.21,            277.41,            343.02,            263.61,            201.66,,,,,,,,,
Kazakhstan,Uzbekistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            269.48,,,,,,,
Kazakhstan,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       16514858.86,       14743496.87,        6196861.70,       23752956.23,       27974997.09,       27442883.43,       25189668.19,       13096158.76,,       19766590.04,,,,        7441030.25,,,,,,,,,,,,,,,,
Kazakhstan,World,Animal,Export,Export(US$ Mil),            125.56,            103.24,            123.42,            146.16,            114.37,             83.39,             92.14,            100.86,             99.32,             96.55,             95.76,             67.05,             63.77,             41.06,             30.82,             19.20,             18.12,              0.64,             21.74,             29.30,             80.62,             72.83,             91.52,,,,,,,
Kazakhstan,World,Capital goods,Export,Export(US$ Mil),            591.43,            581.90,            603.29,           1880.95,           1259.79,           1278.87,            759.26,            362.12,            394.75,           1279.03,            958.26,            687.50,            344.00,            270.71,            234.01,            171.06,            207.43,              7.36,,,,,,,,,,,,
Kazakhstan,World,Chemicals,Export,Export(US$ Mil),           2375.46,           2563.83,           3264.66,           3050.28,           3327.19,           3737.33,           3194.08,           2699.87,           2218.29,           2404.80,           1839.27,           1553.21,            899.01,            634.09,            439.96,            418.62,            296.61,              4.55,            335.03,            337.24,            423.33,            491.30,            504.08,,,,,,,
Kazakhstan,World,Consumer goods,Export,Export(US$ Mil),           4240.31,           3700.53,           4581.06,           7145.56,           7502.88,           8069.22,           6952.10,           3797.83,           3315.17,           4363.17,           2830.87,           2385.60,           1926.82,           1390.62,            761.56,            492.81,            355.02,            102.21,,,,,,,,,,,,
Kazakhstan,World,Food Products,Export,Export(US$ Mil),            385.36,            338.31,            347.17,            403.31,            382.81,            351.32,            258.40,            186.22,            145.36,            188.60,            143.66,            144.67,            148.28,            119.61,             79.34,             39.10,             43.50,              0.32,             22.80,             38.20,            112.09,            116.87,             63.26,,,,,,,
Kazakhstan,World,Footwear,Export,Export(US$ Mil),              8.63,             91.57,             79.96,             24.38,             47.94,             52.22,             40.65,              0.95,              3.67,              1.89,              1.15,              3.09,              5.42,              3.25,              3.03,              0.79,              2.77,              0.00,              6.68,              2.39,              2.42,              4.37,              3.45,,,,,,,
Kazakhstan,World,Fuels,Export,Export(US$ Mil),          30679.00,          22334.96,          31119.56,          60700.57,          64621.31,          64485.65,          63456.29,          41032.91,          30027.17,          48910.89,          31518.62,          26279.31,          19525.35,          12901.91,           7907.28,           5621.38,           4757.68,           4350.43,           2562.45,           1911.17,           2215.60,           1942.60,           1306.31,,,,,,,
Kazakhstan,World,Hides and Skins,Export,Export(US$ Mil),             18.96,             40.06,             33.67,             32.41,             39.30,             26.74,             35.70,             58.12,            318.58,            450.84,            347.32,            237.74,            254.65,            137.98,             74.59,             32.80,             21.49,              0.00,             25.43,             33.25,             64.00,             62.47,             40.04,,,,,,,
Kazakhstan,World,Intermediate goods,Export,Export(US$ Mil),          12160.82,           9740.02,          10400.61,          11116.63,          12559.42,          17969.03,          16577.10,          11519.29,           9473.53,          15199.47,          11315.53,           8498.62,           5791.82,           4864.31,           3298.29,           2798.14,           2485.78,             51.03,,,,,,,,,,,,
Kazakhstan,World,Mach and Elec,Export,Export(US$ Mil),            421.79,            434.89,            367.10,           1339.18,            752.11,            837.08,            500.24,            208.23,            273.37,            441.53,            350.10,            275.70,            245.13,            193.14,            154.82,            112.19,            132.80,              0.36,            104.39,             79.05,            160.08,            207.15,            143.12,,,,,,,
Kazakhstan,World,Metals,Export,Export(US$ Mil),           8730.40,           6155.81,           6014.95,           6771.40,           7802.23,          12067.09,          11592.63,           7203.12,           5484.84,          10806.28,           8176.18,           6159.45,           4418.67,           3886.78,           2625.14,           2231.32,           2095.86,             56.24,           1817.16,           1722.12,           2107.63,           1849.01,           2162.62,,,,,,,
