Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Kyrgyz Republic,...,...,Development,GDP (current US$ Mil),           7564.74,           6813.09,           6678.18,           7468.10,           7335.03,           6605.14,           6197.77,           4794.36,           4690.06,           5139.96,           3802.57,           2834.17,           2460.25,           2211.53,           1919.01,           1605.64,           1525.11,           1369.69,           1249.06,           1645.96,           1767.86,           1827.57,           1661.02,           1681.01,           2028.30,           2316.56,           2569.44,           2675.00,,
Kyrgyz Republic,...,...,Export,No. Of Export partners,             90.00,             86.00,             88.00,,             89.00,             85.00,             76.00,             78.00,             80.00,             67.00,             73.00,             76.00,             72.00,             69.00,             70.00,             59.00,             60.00,             64.00,,,,             49.00,             50.00,,,,,,,
Kyrgyz Republic,...,...,Export,No. Of Export products,           1629.00,           1378.00,           1545.00,,           1605.00,           1561.00,           1556.00,           1515.00,           1395.00,           1464.00,           1437.00,           1454.00,           1419.00,           1403.00,           1457.00,           1576.00,           1591.00,           1588.00,,,,            465.00,            447.00,,,,,,,
Kyrgyz Republic,...,...,Import,No. Of Import partners,            128.00,            127.00,            131.00,,            128.00,            136.00,            126.00,            115.00,            112.00,            110.00,            113.00,            108.00,             98.00,             98.00,             94.00,             95.00,             91.00,             86.00,,,,             70.00,             56.00,,,,,,,
Kyrgyz Republic,...,...,Import,No. Of Import products,           3549.00,           3525.00,           3473.00,,           3488.00,           3475.00,           3403.00,           3304.00,           3228.00,           3305.00,           3279.00,           3272.00,           3126.00,           3110.00,           3009.00,           3033.00,           2986.00,           3064.00,,,,            498.00,            485.00,,,,,,,
Kyrgyz Republic,...,...,Tariff,No. Of Tariff Agreement,              6.00,              5.00,              6.00,,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,,,              1.00,              1.00,              1.00,              1.00,,,,,              1.00,,,,,,,
Kyrgyz Republic,...,...,Development,Trade Balance (current US$ Mil),          -2373.12,          -2328.22,          -2710.16,          -3751.14,          -3632.78,          -3359.87,          -1679.77,          -1444.26,          -1124.79,          -2005.00,          -1187.63,          -1057.39,           -454.48,           -192.49,           -126.09,            -60.34,             -4.54,            -78.55,           -184.78,           -354.59,           -139.72,           -471.87,           -214.10,           -106.01,           -155.04,           -278.44,            -33.33,           -543.75,,
Kyrgyz Republic,Afghanistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            118.37,             74.75,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             42.74,             30.98,,,,,,,,,,,,,,,
Kyrgyz Republic,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             42.51,,,,,,,,
