Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cambodia,...,...,Development,GDP (current US$ Mil),          22158.21,          20016.75,          18049.95,          16702.61,          15227.99,          14054.44,          12829.54,          11242.28,          10401.85,          10351.91,           8639.24,           7274.60,           6293.05,           5337.83,           4658.25,           4284.03,           3984.00,           3677.90,           3517.24,           3120.43,           3443.41,           3506.70,           3441.21,           2791.44,           2533.73,,,,,
Cambodia,...,...,Export,No. Of Export partners,,            149.00,            159.00,            139.00,            149.00,            145.00,            147.00,            142.00,            143.00,            141.00,            140.00,            134.00,            130.00,            127.00,            113.00,            115.00,             94.00,             93.00,,,,,,,,,,,,
Cambodia,...,...,Export,No. Of Export products,,           1215.00,           1164.00,            797.00,            999.00,            911.00,            824.00,            793.00,            724.00,            655.00,            824.00,            750.00,            717.00,            741.00,            840.00,            702.00,            680.00,            696.00,,,,,,,,,,,,
Cambodia,...,...,Import,No. Of Import partners,,            137.00,            138.00,            112.00,            127.00,            118.00,            126.00,            122.00,            120.00,            148.00,            134.00,            132.00,            111.00,            113.00,            108.00,            104.00,             92.00,             96.00,,,,,,,,,,,,
Cambodia,...,...,Import,No. Of Import products,,           3323.00,           3200.00,           3085.00,           2868.00,           2797.00,           2779.00,           2732.00,           2772.00,           2879.00,           2959.00,           2913.00,           2904.00,           2854.00,           2789.00,           2794.00,           2839.00,           2945.00,,,,,,,,,,,,
Cambodia,...,...,Tariff,No. Of Tariff Agreement,,              1.00,,              7.00,,              1.00,              1.00,              1.00,,              2.00,              3.00,              2.00,              2.00,,              2.00,              2.00,              2.00,,,,,,,,,,,,,
Cambodia,...,...,Development,Trade Balance (current US$ Mil),           -759.32,           -878.13,           -799.11,           -735.80,           -802.61,           -677.13,           -695.40,           -611.37,           -696.61,           -231.24,           -657.98,           -540.35,           -545.14,           -389.64,           -467.68,           -379.08,           -345.05,           -435.45,           -460.35,           -410.12,           -402.91,           -646.41,           -529.89,           -359.65,           -420.85,,,,,
Cambodia,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            654.75,            551.04,            508.97,            459.53,            394.71,            382.56,            274.42,            196.16,            291.46,            138.31,,            107.17,             94.46,             60.01,,,,,,,,,,,,,,,
Cambodia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            356.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           4550.95,           3926.20,           3710.09,           2992.06,           2227.75,           1738.93,           1186.28,            882.46,            933.36,            628.99,            524.57,            424.15,            341.06,            225.43,            197.56,            151.50,            114.51,,,,,,,,,,,,
Cambodia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             38.45,             35.10,             28.14,,,,,,,,,,,,
