Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
St. Kitts and Nevis,...,...,Development,GDP (current US$ Mil),            992.01,            958.97,            936.31,            916.86,            849.50,            800.39,            818.73,            766.79,            767.07,            793.37,            723.94,            657.23,            577.73,            529.25,            486.34,            497.33,            475.44,            433.52,            406.60,            383.26,            374.64,            333.95,            313.48,            295.16,            263.75,            242.14,            220.54,            217.26,            192.52,            172.69
St. Kitts and Nevis,...,...,Export,No. Of Export partners,             39.00,             36.00,             44.00,             43.00,             51.00,             40.00,             43.00,             39.00,             36.00,             37.00,             36.00,             32.00,             28.00,             28.00,             27.00,             32.00,             32.00,             34.00,             31.00,,             37.00,             27.00,             25.00,             30.00,             26.00,,,,,
St. Kitts and Nevis,...,...,Export,No. Of Export products,            425.00,            443.00,            394.00,            384.00,            370.00,            418.00,            379.00,            369.00,            386.00,            404.00,            394.00,            417.00,            360.00,            383.00,            431.00,            473.00,            425.00,            524.00,            505.00,,            558.00,            577.00,            543.00,            511.00,            604.00,,,,,
St. Kitts and Nevis,...,...,Import,No. Of Import partners,            126.00,            126.00,            142.00,            133.00,            123.00,            127.00,            131.00,            126.00,            129.00,            112.00,            108.00,            103.00,            100.00,            103.00,            108.00,             97.00,            101.00,            106.00,             84.00,,             90.00,             83.00,             78.00,             80.00,             78.00,,,,,
St. Kitts and Nevis,...,...,Import,No. Of Import products,           2961.00,           3080.00,           2946.00,           2869.00,           2822.00,           2774.00,           2845.00,           2845.00,           2851.00,           2968.00,           2948.00,           3003.00,           2926.00,           2905.00,           2970.00,           2953.00,           2983.00,           3118.00,           3023.00,,           2304.00,           2357.00,           2378.00,           2389.00,           2526.00,,,,,
St. Kitts and Nevis,...,...,Tariff,No. Of Tariff Agreement,              5.00,              5.00,              5.00,              5.00,              2.00,              2.00,              4.00,              3.00,              1.00,              4.00,              4.00,              4.00,,,              1.00,              1.00,              1.00,              1.00,              1.00,,,              1.00,,,,,,,,
St. Kitts and Nevis,...,...,Development,Trade Balance (current US$ Mil),,              4.16,             12.78,             44.59,            -55.10,            -73.22,           -112.93,           -155.13,           -190.81,           -201.57,           -113.30,            -84.98,            -53.47,            -47.70,            -90.72,           -103.08,            -88.98,            -98.85,            -59.30,            -48.08,            -55.97,            -65.66,            -53.68,            -22.18,            -25.37,            -12.33,            -35.01,            -49.99,            -40.20,            -31.70
St. Kitts and Nevis,Anguila,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,              8.50,,,              0.36,,,,,
St. Kitts and Nevis,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.93,              1.18,              1.58,              1.32,              1.20,              2.65,              1.37,              0.94,              1.51,              0.77,              0.61,,,,,,,,              0.22,,,,,,              0.65,,,,,
St. Kitts and Nevis,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              0.90,,,,,,              0.67,,,,,,,,,,,,,,,,,,,,,,
