Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Lithuania,...,...,Development,GDP (current US$ Mil),          47168.30,          42773.03,          41508.61,          48516.37,          46417.34,          42848.20,          43476.87,          37120.52,          37440.67,          47850.55,          39738.18,          30216.06,          26125.58,          22649.93,          18802.58,          14278.36,          12252.50,          11539.21,          10972.88,          11240.36,          10120.27,           8385.11,           7870.78,,,,,,,
Lithuania,...,...,Export,No. Of Export partners,            195.00,            200.00,            191.00,            188.00,            186.00,            180.00,            174.00,            178.00,            171.00,            168.00,            169.00,            170.00,            168.00,            165.00,            149.00,            149.00,            150.00,            133.00,            119.00,            118.00,            114.00,            115.00,            100.00,            127.00,,,,,,
Lithuania,...,...,Export,No. Of Export products,           4162.00,           4140.00,           4101.00,           4095.00,           4038.00,           4011.00,           3999.00,           3934.00,           3856.00,           3848.00,           3884.00,           3992.00,           3922.00,           3859.00,           3736.00,           3696.00,           3726.00,           3712.00,           3671.00,           3711.00,           3631.00,           3588.00,           3586.00,           3473.00,,,,,,
Lithuania,...,...,Import,No. Of Import partners,            162.00,            166.00,            157.00,            156.00,            151.00,            156.00,            149.00,            144.00,            139.00,            151.00,            140.00,            146.00,            146.00,            142.00,            151.00,            158.00,            155.00,            146.00,             94.00,             95.00,            101.00,            102.00,             95.00,            120.00,,,,,,
Lithuania,...,...,Import,No. Of Import products,           4356.00,           4351.00,           4349.00,           4359.00,           4333.00,           4312.00,           4324.00,           4326.00,           4315.00,           4339.00,           4346.00,           4548.00,           4525.00,           4502.00,           4438.00,           4431.00,           4472.00,           4463.00,           4432.00,           4457.00,           4391.00,           4364.00,           4315.00,           4125.00,,,,,,
Lithuania,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,             19.00,             16.00,,,,,             12.00,,             10.00,,,,,,,
Lithuania,...,...,Development,Trade Balance (current US$ Mil),            950.12,            552.96,           -199.06,           1007.69,            580.55,            368.58,          -1108.85,           -696.93,           -629.07,          -5536.98,          -5215.56,          -3101.27,          -1889.52,          -1593.93,          -1088.01,           -810.39,           -669.59,           -713.47,          -1095.53,          -1281.66,          -1019.71,           -779.27,           -836.48,,,,,,,
Lithuania,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           1506.77,,,,,,,,,,,,,,,            177.49,            328.52,            397.15,            341.97,            290.97,            132.98,,,,,,
Lithuania,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            133.08,             98.55,,,,,,
Lithuania,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            278.94,,,            186.12,,,,,,,,,,,
