Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Latvia,...,...,Development,GDP (current US$ Mil),          30264.45,          27571.51,          26972.86,          31335.01,          30254.68,          28120.00,          28223.55,          23757.37,          26169.85,          35596.02,          30901.40,          21447.02,          16922.50,          14373.27,          11748.43,           9546.44,           8350.25,           7937.76,           7533.19,           7174.99,           6525.68,           5970.04,           5788.37,,,,,,,
Latvia,...,...,Export,No. Of Export partners,            198.00,            198.00,            195.00,            198.00,            195.00,            191.00,            181.00,            177.00,            178.00,            182.00,            177.00,            170.00,            157.00,            154.00,            153.00,            139.00,            138.00,            132.00,            125.00,            121.00,            106.00,            100.00,             90.00,             98.00,,,,,,
Latvia,...,...,Export,No. Of Export products,           3753.00,           3722.00,           3626.00,           3624.00,           3622.00,           3580.00,           3604.00,           3551.00,           3528.00,           3458.00,           3413.00,           3489.00,           3412.00,           3451.00,           3326.00,           3318.00,           3241.00,           3176.00,           3044.00,           2958.00,           2927.00,           2788.00,           2834.00,           2776.00,,,,,,
Latvia,...,...,Import,No. Of Import partners,            151.00,            151.00,            139.00,            146.00,            138.00,            140.00,            139.00,            139.00,            126.00,            141.00,            133.00,            140.00,            129.00,            130.00,            131.00,            133.00,            122.00,            111.00,            109.00,            109.00,            111.00,            121.00,            110.00,            108.00,,,,,,
Latvia,...,...,Import,No. Of Import products,           4244.00,           4271.00,           4264.00,           4297.00,           4279.00,           4307.00,           4308.00,           4249.00,           4203.00,           4295.00,           4295.00,           4523.00,           4479.00,           4496.00,           4431.00,           4418.00,           4437.00,           4395.00,           4365.00,           4315.00,           4260.00,           4194.00,           4072.00,           3904.00,,,,,,
Latvia,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,              2.00,,,,              2.00,              2.00,,,,,,,,
Latvia,...,...,Development,Trade Balance (current US$ Mil),           -402.24,            247.20,           -137.65,           -452.93,          -1073.97,          -1250.45,          -1404.93,           -350.26,           -424.12,          -4597.85,          -5877.77,          -4433.54,          -2450.82,          -2235.14,          -1473.64,           -967.86,           -866.92,           -634.04,           -738.94,           -865.73,           -590.06,           -538.26,           -274.52,,,,,,,
Latvia,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            561.95,,,,,,,,,,,,,,,,,
Latvia,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            108.85,,,,,,,,,,,,
Latvia,Estonia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1514.19,           1385.03,           1339.18,           1615.26,           1693.16,           1654.01,           1635.32,           1193.31,           1032.06,           1302.74,           1136.54,            749.80,            553.51,            333.74,            190.47,            137.10,,,,,,,,,,,,,,
Latvia,Estonia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1220.22,           1074.03,           1035.45,           1292.38,           1369.83,           1245.39,           1149.27,            797.12,            744.84,           1122.72,           1229.25,            885.18,            682.05,            501.11,            336.49,,,,,            211.70,,,,,,,,,,
Latvia,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            387.49,            324.62,            280.86,            275.94,            268.19,            303.90,            263.74,            213.61,            189.51,            106.02,,,,,,
Latvia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            949.96,            819.21,            730.75,            932.41,            987.06,           1005.43,            991.97,            772.13,            625.11,            751.12,            689.76,            594.42,            525.49,            533.70,            428.94,            353.93,            333.84,            320.99,            290.73,            282.65,            230.12,            198.87,            177.54,            104.36,,,,,,
Latvia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1796.02,           1621.27,           1557.50,           1914.16,           1943.95,           1856.08,           1870.05,           1281.82,           1076.73,           2057.46,           2303.71,           1770.94,           1194.93,            989.36,            842.33,            697.27,            596.51,            499.37,            446.28,            535.23,            435.33,            320.93,            280.00,            168.69,,,,,,
Latvia,Lithuania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2159.14,           2091.39,           2205.90,           2542.79,           2291.89,           2029.45,           2171.84,           1436.92,           1175.33,           1550.16,           1247.64,            864.15,            558.30,            380.00,            237.20,            190.79,            162.33,            141.57,            129.62,            134.36,            125.51,            107.31,             72.27,,,,,,,
