Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Moldova,...,...,Development,GDP (current US$ Mil),           8128.49,           6795.73,           6512.89,           7983.24,           7985.39,           7284.69,           7015.21,           5811.60,           5439.42,           6054.81,           4401.15,           3408.27,           2988.34,           2598.23,           1980.90,           1661.82,           1480.67,           1288.43,           1170.78,           1698.72,           1930.08,           1695.12,           1752.98,,,,,,,
Moldova,...,...,Export,No. Of Export partners,            131.00,            128.00,            115.00,            111.00,            113.00,            112.00,             97.00,            102.00,            103.00,            105.00,             93.00,            100.00,            104.00,             89.00,             76.00,             75.00,             71.00,             75.00,             74.00,             71.00,             56.00,             68.00,             74.00,             62.00,,,,,,
Moldova,...,...,Export,No. Of Export products,           2210.00,           2190.00,           2097.00,           2019.00,           2118.00,           2137.00,           2212.00,           1997.00,           2007.00,           2023.00,           1936.00,           1969.00,           1812.00,           1729.00,           1692.00,           1563.00,           1582.00,           1607.00,           1619.00,           1482.00,,           1669.00,           1902.00,           2026.00,,,,,,
Moldova,...,...,Import,No. Of Import partners,            169.00,            166.00,            165.00,            167.00,            164.00,            165.00,            161.00,            160.00,            156.00,            157.00,            153.00,            159.00,            141.00,            117.00,            119.00,            128.00,            124.00,            113.00,             94.00,             99.00,             72.00,            101.00,             74.00,             70.00,,,,,,
Moldova,...,...,Import,No. Of Import products,           3821.00,           3814.00,           3782.00,           3817.00,           3827.00,           3825.00,           3806.00,           3783.00,           3696.00,           3976.00,           3960.00,           3927.00,           3889.00,           3819.00,           3719.00,           3673.00,           3526.00,           3445.00,           3297.00,           3342.00,,           3142.00,           3110.00,           2794.00,,,,,,
Moldova,...,...,Tariff,No. Of Tariff Agreement,,              9.00,              9.00,              9.00,             20.00,             20.00,              1.00,             20.00,              1.00,             19.00,              2.00,              8.00,              1.00,              1.00,              1.00,,              1.00,              1.00,,,,              1.00,,,,,,,,
Moldova,...,...,Development,Trade Balance (current US$ Mil),,          -1867.37,          -2022.83,          -2953.25,          -2974.69,          -2947.28,          -2866.26,          -2285.13,          -1991.87,          -3196.00,          -2269.24,          -1589.68,          -1216.15,           -787.56,           -662.22,           -413.99,           -361.15,           -347.40,           -150.93,           -454.65,           -408.41,           -314.97,           -136.11,,,,,,,
Moldova,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            131.56,            134.69,,,,,             80.69,             92.66,,             73.97,             71.16,,,,,,,             31.85,             29.03,             33.58,             26.46,             23.64,,,,,,
Moldova,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             57.67,             50.66,             20.07,,,,,,
Moldova,Bulgaria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,             47.99,,,,,,,,,
Moldova,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            505.38,            393.69,            366.43,            481.17,            478.88,            415.75,            399.76,            320.19,            246.52,            325.48,,,,,,,,,,,,,,,,,,,,
