Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Myanmar,...,...,Development,GDP (current US$ Mil),          67068.75,          63256.18,          59687.41,          65446.20,          60269.73,          59937.80,          59977.33,          49540.81,          36906.18,          31862.55,          20182.48,          14502.55,          11986.97,          10567.35,          10467.11,           6777.63,           6477.79,           8905.07,,,,,,,,,,,,
Myanmar,...,...,Export,No. Of Export partners,            136.00,            167.00,            128.00,            119.00,             99.00,             94.00,             79.00,             73.00,,,,,,,,,,,,,,,,,,             52.00,,,,
Myanmar,...,...,Export,No. Of Export products,           1465.00,           1044.00,            724.00,            703.00,            738.00,            583.00,            432.00,            202.00,,,,,,,,,,,,,,,,,,            144.00,,,,
Myanmar,...,...,Import,No. Of Import partners,            188.00,            167.00,            138.00,            138.00,            120.00,            126.00,            123.00,            117.00,,,,,,,,,             43.00,,,,,,,,,            103.00,,,,
Myanmar,...,...,Import,No. Of Import products,           3850.00,           3607.00,           3499.00,           3515.00,           3493.00,           3272.00,           3137.00,           2741.00,,,,,,,,,           3296.00,,,,,,,,,           2614.00,,,,
Myanmar,...,...,Tariff,No. Of Tariff Agreement,,,              7.00,,              1.00,              1.00,              7.00,              5.00,,,,,,,,,              2.00,,,,,,,,,,,,,
Myanmar,...,...,Development,Trade Balance (current US$ Mil),          -5381.71,          -4402.82,          -3439.00,          -1360.06,            415.52,            366.88,             -0.86,             21.42,             14.03,             15.93,             11.84,              9.61,              9.95,              4.82,              5.15,              4.09,              1.55,             -7.84,,,,,,,,,,,,
Myanmar,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5398.07,           4766.68,           4830.84,           4035.37,           3053.06,           1382.90,           1515.28,            476.27,,,,,,,,,,,,,,,,,,,,,,
Myanmar,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6115.76,           5403.10,           6432.33,           5026.81,           3662.52,           2496.60,           2303.66,           1128.48,,,,,,,,,            311.12,,,,,,,,,,,,,
Myanmar,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            552.76,           1611.75,,,,,,,,,,,,,,,,,,             56.10,,,,
Myanmar,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            708.12,           1038.11,           1013.99,            835.58,            811.53,           2763.50,            929.21,            958.11,,,,,,,,,,,,,,,,,,            100.63,,,,
Myanmar,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1094.70,,,,            280.00,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            587.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            903.03,            663.43,            486.59,            532.23,            779.98,            373.64,,,,,,,,,,,,,,,,,,,,             33.18,,,,
Myanmar,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1055.10,           1254.70,           1534.26,           1636.76,           1589.39,            885.65,            400.52,            218.81,,,,,,,,,            389.76,,,,,,,,,            246.93,,,,
Myanmar,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1405.31,,            541.21,            252.51,,,,,,,,,            361.28,,,,,,,,,             28.22,,,,
Myanmar,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            427.52,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            999.11,,,            967.01,,,,,,,,,,,,,            347.45,,,,,,,,,             53.36,,,,
Myanmar,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             28.43,,,,
Myanmar,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            735.22,            890.76,            670.37,            549.77,            657.37,,            396.85,            276.31,,,,,,,,,,,,,,,,,,            105.94,,,,
Myanmar,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2931.13,           2268.28,           3659.40,           3755.15,           2276.37,           2076.38,           2529.65,           1122.55,,,,,,,,,            662.74,,,,,,,,,             92.40,,,,
Myanmar,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2698.66,           2241.50,           3359.36,           3746.02,           4598.12,           2394.64,           3216.93,           3177.25,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2166.68,           1985.91,           1957.26,           1585.39,           1031.31,            769.48,            760.82,            473.44,,,,,,,,,,,,,,,,,,,,,,
Myanmar,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             35.42,,,,
Myanmar,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,         498538.64,,         618082.26,         279543.76,         331211.06,         331211.06,,,,,,,,,          56815.73,,,,,,,,,,,,,
Myanmar,World,Animal,Export,Export(US$ Mil),            629.26,            546.10,            495.62,            432.81,            665.85,            717.69,            518.46,            341.07,,,,,,,,,,,,,,,,,,             34.13,,,,
Myanmar,World,Capital goods,Export,Export(US$ Mil),            738.33,            489.77,             19.66,             20.60,             33.20,             21.66,              6.98,              5.38,,,,,,,,,,,,,,,,,,              4.23,,,,
Myanmar,World,Chemicals,Export,Export(US$ Mil),             25.81,              8.32,              2.79,              2.14,              7.78,              1.73,              4.39,              0.93,,,,,,,,,,,,,,,,,,              0.19,,,,
Myanmar,World,Consumer goods,Export,Export(US$ Mil),           7710.07,           6588.40,           6768.31,           5832.69,           5160.20,           3398.49,           3847.01,           3524.47,,,,,,,,,,,,,,,,,,             80.89,,,,
Myanmar,World,Food Products,Export,Export(US$ Mil),            918.37,           1106.20,            306.09,             31.28,             68.30,             29.11,             23.15,             17.79,,,,,,,,,,,,,,,,,,              6.08,,,,
Myanmar,World,Footwear,Export,Export(US$ Mil),            261.47,            148.52,             93.01,             75.26,             81.95,             67.77,             56.53,             54.82,,,,,,,,,,,,,,,,,,              0.09,,,,
Myanmar,World,Fuels,Export,Export(US$ Mil),           3700.96,           3287.31,           4999.33,           4603.80,           3844.60,           2205.27,           2918.70,           2936.01,,,,,,,,,,,,,,,,,,              1.30,,,,
Myanmar,World,Hides and Skins,Export,Export(US$ Mil),             95.97,             22.03,             10.04,              6.68,              8.55,              7.69,              8.12,              6.73,,,,,,,,,,,,,,,,,,              0.14,,,,
Myanmar,World,Intermediate goods,Export,Export(US$ Mil),           2517.71,           2535.49,           2691.43,           2483.06,           2169.48,           2158.47,           2453.80,           2895.23,,,,,,,,,,,,,,,,,,             44.59,,,,
Myanmar,World,Mach and Elec,Export,Export(US$ Mil),            226.88,            621.77,             37.14,             27.91,             33.19,             18.63,              2.89,              1.88,,,,,,,,,,,,,,,,,,              2.85,,,,
Myanmar,World,Metals,Export,Export(US$ Mil),            944.55,            428.93,            438.21,            322.76,            107.78,             94.80,             48.26,             53.18,,,,,,,,,,,,,,,,,,              8.87,,,,
Myanmar,World,Minerals,Export,Export(US$ Mil),             28.08,             26.23,             24.86,             54.62,             45.19,             29.86,             16.46,             15.66,,,,,,,,,,,,,,,,,,              3.21,,,,
Myanmar,World,Miscellaneous,Export,Export(US$ Mil),            234.55,            266.41,            663.57,            730.14,            912.97,             53.83,             44.93,             39.39,,,,,,,,,,,,,,,,,,              2.27,,,,
Myanmar,World,Plastic or Rubber,Export,Export(US$ Mil),            280.80,            179.07,            145.23,            137.79,            268.12,            192.55,            320.07,            196.07,,,,,,,,,,,,,,,,,,             11.50,,,,
Myanmar,World,Raw materials,Export,Export(US$ Mil),           2714.01,           1916.56,           2103.90,           2424.15,           3185.87,           3456.90,           1799.70,           1174.91,,,,,,,,,,,,,,,,,,            319.68,,,,
Myanmar,World,Stone and Glass,Export,Export(US$ Mil),            394.28,            428.47,            699.27,           1093.44,            826.90,            395.51,           1216.98,           1871.26,,,,,,,,,,,,,,,,,,             19.40,,,,
Myanmar,World,Textiles and Clothing,Export,Export(US$ Mil),           2507.16,           1649.96,           1079.29,           1064.24,           1210.72,            860.46,            499.04,            349.28,,,,,,,,,,,,,,,,,,             16.27,,,,
