Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mozambique,...,...,Development,GDP (current US$ Mil),          12645.51,          10981.36,          14798.41,          16961.12,          16018.85,          14534.28,          13131.17,          10154.24,          10911.70,          11494.84,           9366.74,           8312.08,           7723.85,           6831.81,           5597.37,           5031.51,           4766.93,           5016.47,           5302.53,           4873.24,           4227.27,           3523.84,           2521.74,           2460.67,           2394.82,           2291.18,           3263.76,           2512.08,           2314.16,           2093.57
Mozambique,...,...,Export,No. Of Export partners,            133.00,            117.00,            122.00,            118.00,            118.00,            107.00,            113.00,            106.00,            108.00,            113.00,             92.00,             96.00,             91.00,             89.00,             87.00,             83.00,             70.00,             73.00,,,             56.00,             44.00,             51.00,             33.00,,,,,,
Mozambique,...,...,Export,No. Of Export products,           1381.00,           1286.00,           1207.00,           1239.00,           1186.00,            827.00,            951.00,           1005.00,           1383.00,           1471.00,           1358.00,           1614.00,           1228.00,           1303.00,           1626.00,           1340.00,           1076.00,            869.00,,,,,,,,,,,,
Mozambique,...,...,Import,No. Of Import partners,            191.00,            189.00,            179.00,            176.00,            182.00,            174.00,            161.00,            157.00,            157.00,            158.00,            156.00,            144.00,            150.00,            133.00,            129.00,            132.00,            127.00,            143.00,,,             66.00,             45.00,             41.00,             48.00,,,,,,
Mozambique,...,...,Import,No. Of Import products,           3823.00,           3815.00,           3899.00,           3949.00,           3902.00,           3773.00,           3458.00,           3604.00,           3843.00,           3864.00,           3774.00,           3808.00,           3733.00,           3690.00,           3650.00,           3494.00,           3407.00,           3720.00,,,,,,,,,,,,
Mozambique,...,...,Tariff,No. Of Tariff Agreement,,              5.00,,              5.00,,              3.00,              1.00,              3.00,              3.00,              1.00,              3.00,              3.00,              5.00,,              5.00,              5.00,              5.00,,,,              3.00,,,              1.00,,,,,,
Mozambique,...,...,Development,Trade Balance (current US$ Mil),          -4041.23,          -4126.33,          -5885.85,          -8718.70,          -8592.08,          -6697.04,          -2820.72,          -1493.80,          -1233.86,          -1130.67,           -850.02,           -895.05,          -1234.80,          -1322.31,          -1420.67,          -1589.72,           -628.45,          -1341.04,          -1556.54,           -939.06,           -932.97,           -964.47,          -1102.14,           -978.34,           -978.16,           -998.49,          -1141.68,           -700.72,           -704.09,           -611.88
Mozambique,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            411.06,            810.24,            561.48,            389.50,,,,            269.72,,,,,,,,,,,,,,,,,,,,
Mozambique,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            252.61,            142.71,,,            104.98,            637.34,            167.69,             79.57,             74.48,             51.60,             44.04,,,,,,,,,,,,,,,,,,,
Mozambique,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            493.35,            417.90,            986.86,            700.02,            644.12,,            373.85,            130.04,            173.12,            156.09,,,,,,,,,,,,,,,,,,,,
Mozambique,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             34.75,,,,,,,,
Mozambique,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1621.70,            675.84,            339.04,            387.58,            679.57,            155.07,,,,,,,,,,,,,,,,             26.78,,,,,,,,
Mozambique,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            450.86,            325.47,,,,,            300.52,            201.70,            244.68,,            131.82,            136.84,             96.72,             63.72,             68.04,             79.30,,,,,,             35.80,,,,,,,,
Mozambique,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            151.72,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            270.16,,            100.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             29.19,,,,             19.34,,             24.82,             24.07,,,,,,
Mozambique,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             89.22,,             53.21,,,             33.89,,             36.79,             45.67,,,,,,
Mozambique,Malawi,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             49.39,             49.53,             32.84,             40.57,,,,,,,,,,,,,,
