Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Martinique,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,,,,,,,,,             50.00,             44.00,,,,,,
Martinique,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,,,,,,,,,            727.00,            827.00,,,,,,
Martinique,...,...,Import,No. Of Import partners,,,,,,,,,,,,,,,,,,,,,,,            129.00,            129.00,,,,,,
Martinique,...,...,Import,No. Of Import products,,,,,,,,,,,,,,,,,,,,,,,           3369.00,           3302.00,,,,,,
Martinique,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             20.73,             10.47,,,,,,
Martinique,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            148.48,             96.59,,,,,,
Martinique,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,           1236.36,           1009.11,,,,,,
Martinique,French Guiana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              7.48,              6.00,,,,,,
Martinique,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             64.29,             52.98,,,,,,
Martinique,Guadeloupe,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             30.20,             93.30,,,,,,
Martinique,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             73.37,             57.42,,,,,,
Martinique,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             16.90,              2.73,,,,,,
Martinique,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,             51.82,,,,,,
Martinique,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             56.45,,,,,,,
Martinique,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             48.86,             48.89,,,,,,
Martinique,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              1.17,              2.04,,,,,,
Martinique,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             14.15,             13.47,,,,,,
Martinique,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              5.13,              5.18,,,,,,
Martinique,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             72.67,            131.23,,,,,,
Martinique,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             41.26,             46.14,,,,,,
Martinique,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.47,              0.14,,,,,,
Martinique,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             43.18,             62.89,,,,,,
Martinique,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.17,              0.17,,,,,,
Martinique,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              7.61,              7.01,,,,,,
Martinique,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             11.00,              9.04,,,,,,
Martinique,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              4.28,              3.42,,,,,,
Martinique,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              1.58,              1.27,,,,,,
Martinique,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              1.81,              2.42,,,,,,
Martinique,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.65,              0.64,,,,,,
Martinique,World,Raw materials,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,            105.96,             66.85,,,,,,
Martinique,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.31,              0.46,,,,,,
