Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
New Caledonia,...,...,Development,GDP (current US$ Mil),,,,,,,,,,,,,,,,,,           2682.35,           3057.00,           3158.81,           3291.49,           3606.97,           3628.44,           3038.73,           3070.16,           2923.76,           2653.78,           2529.31,           2185.07,           2072.74
New Caledonia,...,...,Export,No. Of Export partners,,,             77.00,             68.00,             71.00,             73.00,             69.00,             60.00,            130.00,             59.00,             60.00,             54.00,             50.00,             46.00,             39.00,             43.00,,             41.00,             43.00,,,,,,,,,,,
New Caledonia,...,...,Export,No. Of Export products,,,           1224.00,           1369.00,           1428.00,           1373.00,           1342.00,           1395.00,           1945.00,           1504.00,           1449.00,           1456.00,           1386.00,           1407.00,           1328.00,           1286.00,,           1153.00,           1072.00,,,,,,,,,,,
New Caledonia,...,...,Import,No. Of Import partners,,,            178.00,            180.00,            183.00,            184.00,            167.00,            186.00,            176.00,            180.00,            168.00,            162.00,            163.00,            151.00,            151.00,            158.00,,            128.00,            122.00,,,,,,,,,,,
New Caledonia,...,...,Import,No. Of Import products,,,           2775.00,           3605.00,           3602.00,           3622.00,           3590.00,           3579.00,           3522.00,           3596.00,           3738.00,           3719.00,           3718.00,           3687.00,           3646.00,           3693.00,,           3603.00,           3671.00,,,,,,,,,,,
New Caledonia,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,...,...,Development,Trade Balance (current US$ Mil),,,,,,,,,,,,,,,,,,,           -608.63,           -549.28,           -386.02,           -447.30,           -392.74,           -451.73,           -526.66,           -525.43,           -416.89,           -410.37,,
New Caledonia,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            189.56,            162.47,,            218.43,            113.56,            170.27,             95.38,,,,,,             26.87,,,             37.69,,,,,,,,,,,
New Caledonia,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            296.27,            286.79,            352.96,            353.49,            320.58,            238.87,            327.38,            260.87,            188.90,            162.78,            148.59,            145.36,            129.68,,            170.79,            134.73,,,,,,,,,,,
New Caledonia,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             51.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            442.57,            309.71,            133.72,            135.86,,,            243.56,,            199.86,            128.02,,,,,,,,,,,,,,,,,,
New Caledonia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            258.31,            288.40,            263.51,            273.09,            371.42,            582.72,            195.53,            197.74,            133.65,            100.42,             82.58,,,,,,,,,,,,,,,,,
New Caledonia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            178.61,            194.65,            237.43,            297.33,            271.11,            570.28,            541.99,            261.12,            238.12,            178.21,            164.72,            138.94,             90.44,,            133.66,             84.69,,,,,,,,,,,
New Caledonia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            649.83,            738.29,            758.10,            721.54,            816.31,            736.94,            730.28,            852.95,            646.11,            637.96,            572.70,            658.40,            716.22,            398.76,,            394.20,            399.93,,,,,,,,,,,
New Caledonia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            152.72,            120.79,,,             62.98,,,,,,,,,,,,,,,,
New Caledonia,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            197.59,            248.06,            179.72,            202.35,            332.58,            238.72,            192.77,            277.09,            397.20,            208.68,            203.57,            220.83,            156.14,             83.12,,            170.58,             81.87,,,,,,,,,,,
New Caledonia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             45.07,,,,,,,,,,,
New Caledonia,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            187.31,,            142.18,            156.77,            160.05,            146.73,            145.64,,,,            145.88,            121.08,             60.30,,,             57.01,             35.13,,,,,,,,,,,
New Caledonia,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            157.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            169.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            142.45,,            125.77,,,,             94.64,             97.75,             79.99,             65.11,             50.98,,             49.10,             49.93,,,,,,,,,,,
New Caledonia,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            120.57,            187.31,,            152.24,            186.71,            183.61,,            173.90,            215.08,            145.69,            132.40,            131.33,            102.17,             79.68,,             79.65,             41.99,,,,,,,,,,,
New Caledonia,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            207.83,            580.12,            631.28,            604.07,            540.27,            424.78,            333.55,            553.73,            330.50,            286.95,            265.51,            177.84,            142.85,            100.49,,             63.55,,,,,,,,,,,,
New Caledonia,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            115.87,            140.63,             77.21,            102.07,             62.99,             78.88,             34.97,,             51.26,,,,,,,,,,,,
New Caledonia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            156.45,            141.61,,            168.03,,            105.90,,,,,,             55.16,             43.78,,             35.57,             61.45,,,,,,,,,,,
New Caledonia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,World,Animal,Export,Export(US$ Mil),,,             15.51,             24.63,             23.59,             21.46,             22.35,             20.96,             26.09,             30.21,             23.23,             27.57,             32.04,             31.17,             26.53,             22.57,,             23.54,             22.15,,,,,,,,,,,
New Caledonia,World,Capital goods,Export,Export(US$ Mil),,,             29.60,             28.20,             41.02,             22.81,             48.41,             19.16,            698.71,             27.05,             20.04,             27.05,             19.35,             26.63,             13.83,              8.08,,             11.74,             15.02,,,,,,,,,,,
New Caledonia,World,Chemicals,Export,Export(US$ Mil),,,             82.06,            147.38,            107.93,             85.94,            133.10,              6.43,              4.27,              3.58,              2.14,              2.11,              1.94,              1.80,              1.11,              1.06,,              0.90,              1.40,,,,,,,,,,,
New Caledonia,World,Consumer goods,Export,Export(US$ Mil),,,             17.43,             14.44,             13.57,             12.68,             13.23,             16.82,            387.48,             12.10,             13.74,             13.66,             35.17,             17.21,             14.30,             10.39,,              5.64,              6.54,,,,,,,,,,,
New Caledonia,World,Food Products,Export,Export(US$ Mil),,,              1.98,              1.33,              1.51,              1.08,              1.22,              1.31,              1.41,              1.78,              1.64,              1.68,              1.40,              0.76,              0.85,              0.70,,              1.23,              1.22,,,,,,,,,,,
New Caledonia,World,Footwear,Export,Export(US$ Mil),,,              0.21,              0.16,              0.23,              0.19,              0.24,              0.22,              0.25,              0.16,              0.13,              0.15,              0.15,              0.13,              0.15,              0.10,,              0.10,              0.11,,,,,,,,,,,
New Caledonia,World,Fuels,Export,Export(US$ Mil),,,              0.20,              0.03,              0.17,              0.21,              0.17,              0.96,              0.08,              0.18,              0.08,              5.03,             15.22,             10.72,              8.81,              4.97,,              5.62,              3.17,,,,,,,,,,,
New Caledonia,World,Hides and Skins,Export,Export(US$ Mil),,,              0.52,              0.15,              0.23,              0.23,              0.16,              0.28,              0.24,              0.27,              0.22,              0.27,              0.20,              0.32,              0.23,              0.24,,              0.26,              0.25,,,,,,,,,,,
New Caledonia,World,Intermediate goods,Export,Export(US$ Mil),,,            917.48,           1255.93,            918.87,            967.88,           1254.50,            918.50,            742.88,           1334.95,           1187.95,            874.58,            868.28,            767.36,            576.51,            324.58,,            460.47,            277.11,,,,,,,,,,,
New Caledonia,World,Mach and Elec,Export,Export(US$ Mil),,,             10.59,             17.65,             23.61,             12.81,             13.59,             11.36,            474.29,             15.17,              9.91,             15.09,             14.08,             12.60,              8.70,              6.42,,              7.16,              9.11,,,,,,,,,,,
