Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Niger,...,...,Development,GDP (current US$ Mil),           8119.71,           7528.29,           7217.67,           8229.73,           7667.95,           6942.26,           6409.18,           5718.66,           5373.10,           5379.30,           4291.36,           3646.73,           3405.13,           3052.90,           2731.42,           2170.48,           1945.33,           1798.37,           2018.19,           2076.74,           1845.60,           1987.77,           1880.80,           1563.21,           1606.58,           2344.99,           2327.99,           2480.67,           2179.57,           2280.36
Niger,...,...,Export,No. Of Export partners,,             89.00,             74.00,             84.00,             76.00,             94.00,             89.00,             72.00,             80.00,             76.00,             74.00,             83.00,             67.00,             57.00,             50.00,             45.00,             54.00,             59.00,             45.00,             40.00,             35.00,             41.00,             43.00,,,,,,,
Niger,...,...,Export,No. Of Export products,,            656.00,            734.00,            589.00,            465.00,            543.00,            491.00,            561.00,            604.00,            590.00,            620.00,            947.00,            728.00,            663.00,            743.00,            835.00,            764.00,           1018.00,           1084.00,           1079.00,           1083.00,            828.00,            656.00,,,,,,,
Niger,...,...,Import,No. Of Import partners,,            138.00,            139.00,            139.00,            142.00,            145.00,            138.00,            139.00,            135.00,            135.00,            135.00,            133.00,            110.00,            114.00,            109.00,            112.00,            107.00,            108.00,             96.00,             95.00,             99.00,             80.00,             78.00,,,,,,,
Niger,...,...,Import,No. Of Import products,,           2838.00,           2831.00,           2826.00,           2856.00,           2930.00,           2789.00,           2867.00,           2821.00,           2845.00,           2836.00,           2901.00,           2944.00,           2949.00,           2913.00,           2951.00,           2969.00,           3015.00,           3097.00,           3110.00,           3208.00,           3180.00,           3282.00,,,,,,,
Niger,...,...,Tariff,No. Of Tariff Agreement,,              2.00,              2.00,              8.00,              8.00,              8.00,              8.00,              2.00,              2.00,              4.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,
Niger,...,...,Development,Trade Balance (current US$ Mil),          -1326.75,          -1081.06,          -1629.50,          -1502.45,          -1261.01,          -1215.01,          -1723.07,          -1537.94,          -1432.12,           -970.30,           -536.32,           -477.60,           -483.70,           -321.83,           -261.90,           -229.59,           -149.56,           -141.94,           -147.99,           -177.31,           -144.27,           -145.44,           -133.82,           -161.76,            -39.45,            -25.36,           -108.88,           -168.46,           -146.00,           -120.60
Niger,Algeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             17.40,             12.70,             15.00,             11.57,             12.32,,,,,,,
Niger,Benin,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            126.20,            109.91,            141.94,            155.13,,,,,,,
Niger,Burkina Faso,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             43.57,            164.29,            217.74,,,,,,,,,,,,,,,             13.96,              9.17,,,,,,,,,
Niger,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             83.18,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            300.88,            565.40,            486.80,            406.25,            357.99,            514.85,           1002.46,            499.10,            153.86,             66.35,            107.30,             40.13,             34.90,             52.93,             39.28,             21.55,             23.80,             27.63,,,,,,,,,,,
Niger,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              7.41,              8.20,,,             10.25,              7.28,,,,,,,
Niger,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             59.90,             75.54,             55.40,             66.70,             61.32,             75.46,             64.37,             51.28,             45.97,             61.92,             50.64,             44.06,             36.77,             36.57,,,,,,,
Niger,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            289.93,            303.33,            383.21,            529.24,            473.69,            440.53,             43.53,            295.72,            259.24,            208.81,            114.86,            107.88,             92.32,             76.32,             60.80,             56.49,             60.62,             70.28,,             30.30,,,,,,,,,
Niger,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            527.40,            778.52,            313.28,            172.47,            198.68,            233.50,            252.46,            219.68,            152.91,            179.53,            132.35,            116.42,            100.05,             82.43,             67.29,             63.70,             55.17,             77.15,            102.36,             81.86,             74.21,             78.41,,,,,,,
Niger,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             24.09,,,,,,             10.41,              8.95,,,,,,              9.19,,,,,,,,
Niger,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             93.54,,            103.71,,,,,,,,,,,,,,,,,,,,,,,,,
