Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Other Asia, nes",...,...,Export,No. Of Export partners,,            216.00,            213.00,            217.00,            218.00,            222.00,            223.00,            222.00,            223.00,            222.00,            224.00,            219.00,            216.00,            220.00,            193.00,            213.00,            217.00,            216.00,            185.00,            183.00,            184.00,,,,,,,,,
"Other Asia, nes",...,...,Export,No. Of Export products,,           4238.00,           4211.00,           4231.00,           4198.00,           4223.00,           4272.00,           4248.00,           4242.00,           4451.00,           4462.00,           4427.00,           4368.00,           4392.00,           4501.00,           4435.00,           4360.00,           4362.00,           4492.00,           4544.00,           4464.00,,,,,,,,,
"Other Asia, nes",...,...,Import,No. Of Import partners,,            221.00,            216.00,            224.00,            223.00,            221.00,            222.00,            218.00,            221.00,            222.00,            217.00,            215.00,            207.00,            214.00,            188.00,            208.00,            211.00,            211.00,            176.00,            176.00,            175.00,,,,,,,,,
"Other Asia, nes",...,...,Import,No. Of Import products,,           4434.00,           4436.00,           4420.00,           4408.00,           4445.00,           4452.00,           4443.00,           4443.00,           4686.00,           4692.00,           4682.00,           4694.00,           4689.00,           4715.00,           4705.00,           4684.00,           4706.00,           4709.00,           4701.00,           4711.00,,,,,,,,,
"Other Asia, nes",...,...,Tariff,No. Of Tariff Agreement,,             11.00,             11.00,             10.00,              8.00,              8.00,              8.00,              8.00,              8.00,              8.00,              5.00,              4.00,              3.00,              2.00,              2.00,              3.00,              2.00,              2.00,              2.00,              2.00,              2.00,,,,,,,,,
"Other Asia, nes",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          73848.22,          71112.16,          82086.04,          81325.49,          80556.92,          83591.91,          76692.93,          54163.16,          63773.04,          62359.55,          51808.18,          40879.07,          34072.73,          22890.76,           9960.86,           4754.72,,,,,,,,,,,,,
"Other Asia, nes",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          44015.14,          44113.85,          48013.72,          42487.42,          40960.33,          43551.00,          35915.78,          24490.50,          30099.95,          28057.95,          24782.28,          19927.67,          16755.84,          11017.89,           7950.80,           5910.74,           6230.02,           4534.92,,,,,,,,,,,
"Other Asia, nes",France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           5312.32,           4794.30,,,,,,,,,
"Other Asia, nes",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           4480.22,,           4022.49,           4104.09,,,,,,,,,,
"Other Asia, nes",Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           8641.67,           8600.52,,,,,,,,,,,           5854.32,           4986.23,           4421.31,           4245.67,           5541.54,           5326.43,           5154.50,           5359.29,,,,,,,,,
"Other Asia, nes","Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          38394.88,          38016.51,          42526.67,          39211.75,          37857.54,          39918.17,          37687.14,          29428.63,          31236.27,          37932.72,          37380.41,          30720.71,          29879.04,          30868.19,          30847.54,          26964.26,          31335.63,          26341.52,          25389.34,          28759.77,,,,,,,,,
