Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Panama,...,...,Development,GDP (current US$ Mil),          62283.76,          57957.59,          54091.71,          49921.46,          45599.99,          40429.73,          34686.22,          29440.29,          27116.64,          25155.89,          21295.98,          18141.67,          16374.39,          15013.38,          13693.98,          12994.31,          12502.01,          12304.12,          12130.25,          11575.49,          10677.29,           9870.49,           9573.81,           9365.29,           8782.59,           8042.34,           7074.68,           6433.97,           5918.47,           5902.78
Panama,...,...,Export,No. Of Export partners,,            123.00,            108.00,            112.00,            109.00,            107.00,            120.00,            124.00,            113.00,            110.00,            112.00,            108.00,             76.00,             70.00,             65.00,             59.00,             61.00,             65.00,             72.00,             65.00,             65.00,             64.00,             63.00,,,,,,,
Panama,...,...,Export,No. Of Export products,,           3288.00,           2935.00,           3164.00,           3127.00,           3143.00,           3084.00,           2998.00,           2726.00,           2758.00,           2888.00,           2922.00,            464.00,            475.00,            473.00,            514.00,            484.00,            516.00,            629.00,            700.00,            648.00,            590.00,            486.00,,,,,,,
Panama,...,...,Import,No. Of Import partners,,             97.00,             95.00,             94.00,             96.00,             99.00,            111.00,            103.00,            101.00,            108.00,            104.00,            100.00,             84.00,             87.00,             82.00,             84.00,             88.00,             88.00,             90.00,             84.00,             78.00,             93.00,             88.00,,,,,,,
Panama,...,...,Import,No. Of Import products,,           3045.00,           2897.00,           3102.00,           3139.00,           3123.00,           3938.00,           3899.00,           3798.00,           3855.00,           3957.00,           3963.00,           3841.00,           3853.00,           3881.00,           3916.00,           3906.00,           3937.00,           4001.00,           4077.00,           4029.00,           4077.00,           4111.00,,,,,,,
Panama,...,...,Tariff,No. Of Tariff Agreement,,,              1.00,,             28.00,              1.00,              1.00,              1.00,              1.00,             11.00,             10.00,              9.00,              9.00,              1.00,              1.00,              1.00,              1.00,              2.00,              1.00,              1.00,              2.00,,,,,,,,,
Panama,...,...,Development,Trade Balance (current US$ Mil),          -1898.35,          -1693.44,          -2470.16,          -4181.25,          -3333.66,          -3103.45,          -2090.47,          -2411.10,            175.57,          -2646.35,          -1416.90,          -1006.64,          -1095.89,          -1218.68,           -823.46,           -854.02,           -728.55,          -1226.45,          -1574.36,          -1847.77,          -1213.71,          -1325.88,          -1264.81,          -1079.34,          -1015.43,           -978.41,           -816.56,           -437.96,           -300.68,            115.28
Panama,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             28.81,             33.31,             36.52,             40.72,             31.26,,,,,,,,,,,
Panama,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             30.35,             34.95,             23.68,             27.52,,,,,,,
Panama,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2894.24,           3539.32,           3713.99,           3817.50,           5081.33,           5712.16,           4172.71,           2133.80,           2424.35,           2626.35,           2102.23,,,,,,,,,,,,,,,,,,
Panama,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1063.78,           1481.50,           1842.53,           1909.09,           1887.83,           1863.86,           1718.19,           1302.80,           1409.74,           1361.86,           1284.79,,,,,,,,,,,,,,,,,,
Panama,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            122.91,            179.76,            169.00,,,,,,,,,,,,,
Panama,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            752.97,            639.05,            645.00,            646.25,            644.24,            647.43,            557.41,            451.96,            499.79,            504.07,,             38.75,             36.77,             33.47,             36.13,             38.77,             39.20,             37.37,             46.40,             40.99,             37.67,             41.78,,,,,,,
Panama,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            193.78,            177.08,            149.84,            127.65,,,,,,,,,,,,,,
Panama,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            554.64,,            466.24,            452.02,            420.34,,,,,,,,,,,,,,,,,,
Panama,Ecuador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            583.11,,,,,,,,,,,,,,,,,,,,,,,
Panama,Ecuador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            236.72,            244.15,            185.21,            108.74,            166.80,            107.38,            134.03,,,,,,,
Panama,Free Zones,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,            461.12,            442.28,            404.61,            384.38,            375.34,,,,,,,
Panama,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             75.93,,,             25.18,             71.74,,,,,,,
Panama,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            444.85,,,,,,,,,,,,,,,,,,
Panama,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             33.56,,,,,             27.18,,,,,,,,,
Panama,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            444.09,            525.48,            547.23,            674.18,            701.36,            756.39,            870.28,           1416.31,           1333.49,           1278.19,,,,,,,,,,,,,,,,,,
Panama,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             25.58,             28.98,,,,,,,,,,,
Panama,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            426.30,,,,,,,,,,,,,,,,,,,,,
