Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Peru,...,...,Development,GDP (current US$ Mil),         211389.27,         191639.66,         189926.52,         201080.66,         201217.66,         192649.00,         171761.74,         147528.94,         120822.99,         120550.60,         102170.98,          88643.19,          76060.61,          66768.70,          58731.03,          54777.55,          52030.16,          51744.75,          50187.32,          55501.47,          58147.52,          55252.41,          53312.79,          44882.08,          35158.11,          36139.23,          34672.12,          26410.39,          22499.56,          15439.41
Peru,...,...,Export,No. Of Export partners,            173.00,            170.00,            177.00,            175.00,            173.00,            172.00,            176.00,            171.00,            169.00,            166.00,            168.00,            173.00,            170.00,            172.00,            160.00,            144.00,            146.00,            143.00,            140.00,            130.00,            138.00,            134.00,            138.00,            129.00,,            107.00,,,,
Peru,...,...,Export,No. Of Export products,           3294.00,           3308.00,           3262.00,           3333.00,           3323.00,           3315.00,           3290.00,           3274.00,           3193.00,           3181.00,           3219.00,           3320.00,           3269.00,           3135.00,           3081.00,           3005.00,           2830.00,           2720.00,           2819.00,           2806.00,           2489.00,           2435.00,           2188.00,           2174.00,,           1697.00,,,,
Peru,...,...,Import,No. Of Import partners,            200.00,            199.00,            195.00,            195.00,            193.00,            186.00,            195.00,            188.00,            185.00,            193.00,            183.00,            176.00,            177.00,            168.00,            165.00,            168.00,            166.00,            156.00,            125.00,            120.00,            119.00,            127.00,            130.00,            131.00,,            119.00,,,,
Peru,...,...,Import,No. Of Import products,           4122.00,           4144.00,           4139.00,           4155.00,           4152.00,           4155.00,           4141.00,           4169.00,           4135.00,           4165.00,           4332.00,           4331.00,           4318.00,           4350.00,           4328.00,           4339.00,           4379.00,           4378.00,           4406.00,           4463.00,           4388.00,           4404.00,           4384.00,           4376.00,,           4385.00,,,,
Peru,...,...,Tariff,No. Of Tariff Agreement,             54.00,,              1.00,             36.00,             35.00,,             35.00,             43.00,             35.00,             33.00,             13.00,             13.00,             12.00,             12.00,              1.00,              1.00,              2.00,              2.00,              2.00,              2.00,              2.00,,              1.00,,,,,,,
Peru,...,...,Development,Trade Balance (current US$ Mil),           3509.06,           -725.02,          -4912.39,          -3291.30,           -343.09,           4391.11,           8617.70,           5870.94,           5765.89,           1231.42,           7515.82,           8233.37,           4822.40,           2596.23,            237.70,           -383.20,           -968.62,          -1035.56,          -1210.52,          -3078.79,          -2625.38,          -2774.31,          -3053.46,          -1517.03,          -1346.34,          -1061.11,           -774.22,            508.32,             27.56,           -466.70
Peru,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           1950.94,           1839.61,,,           1582.00,           1123.27,,,,            525.50,            593.69,            455.02,,,,,,,            299.12,,            256.48,,,,
Peru,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           1595.28,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2452.73,           2127.88,           1931.51,           1994.46,           2324.82,           2579.17,           2439.66,           2182.77,           1680.68,           2417.84,           1879.29,           1597.22,           1028.36,            698.46,            549.38,            489.46,,,            301.79,            381.50,            375.27,            363.42,            426.79,            372.78,,            213.97,,,,
Peru,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1685.25,           2408.74,           2566.31,           2741.61,           3448.35,           4232.47,           3329.36,           2310.90,           1949.88,           1840.80,           1611.61,           1021.81,,,,,,,,,,,,,,,,,
Peru,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           1429.92,           1129.37,            719.06,            412.57,,,,,,,,,,,,,,,
Peru,Chile,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            997.22,,,,,,,,            428.47,            395.24,,,,,,,,,,,,
Peru,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          11626.23,           8492.30,           7391.35,           7042.59,           7354.03,           7843.95,           6972.64,           5436.67,           4077.96,           3734.99,           3040.49,           2268.65,           1860.86,           1244.70,            676.97,            597.63,            426.25,            442.18,,            233.18,            490.59,            419.38,            349.02,            284.84,,            251.80,,,,
Peru,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8861.24,           8226.21,           8657.80,           8914.61,           8413.58,           7814.51,           6364.75,           5140.03,           3266.50,           4069.49,           2462.96,           1583.66,           1057.93,            768.12,            639.98,            463.44,,,,,,,,,,,,,,
Peru,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           1292.23,,,,,,,,,            950.69,            772.64,            779.44,,            456.49,            378.57,            399.69,            422.52,            440.81,            613.27,            677.15,            611.67,,,            312.59,,,,
Peru,Ecuador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1569.43,,,           1775.92,           1930.30,           2012.46,           1877.98,           1423.35,           1022.06,           1775.99,           1514.48,           1092.11,            914.22,,            650.64,,,,,,,,,,,,,,,
Peru,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,            245.71,            230.16,            386.92,            300.70,            331.91,            279.34,,,,,,
Peru,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,            262.27,,,,,,
Peru,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1964.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            193.80,,,,
