Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Papua New Guinea,...,...,Development,GDP (current US$ Mil),          20536.31,          19028.12,          20638.64,          23060.05,          21261.31,          21295.83,          17984.82,          14250.73,          11619.54,          11670.68,           9545.07,           8306.34,           4865.89,           3927.16,           3536.41,           2999.51,           3081.02,           3521.34,           3477.04,           3789.44,           4936.62,           5155.31,           4636.06,           5502.79,           4974.55,           4377.98,           3787.39,           3219.73,           3546.46,           3655.98
Papua New Guinea,...,...,Export,No. Of Export partners,,,,,,             85.00,             78.00,,,,,,,             90.00,             85.00,             81.00,             73.00,             69.00,,             70.00,,,,,,,,,,
Papua New Guinea,...,...,Export,No. Of Export products,,,,,,            959.00,            861.00,,,,,,,            967.00,            971.00,           1049.00,            759.00,            612.00,,            923.00,,,,,,,,,,
Papua New Guinea,...,...,Import,No. Of Import partners,,,,,,            167.00,            165.00,,,,,,,            141.00,            118.00,            125.00,            127.00,            125.00,,            122.00,,,,,,,,,,
Papua New Guinea,...,...,Import,No. Of Import products,,,,,,           3883.00,           3825.00,,,,,,,           3754.00,           3752.00,           3764.00,           3820.00,           3616.00,,           3980.00,,,,,,,,,,
Papua New Guinea,...,...,Tariff,No. Of Tariff Agreement,,,,,,              1.00,,,,,,,,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,
Papua New Guinea,...,...,Development,Trade Balance (current US$ Mil),,,,,,,,,,,,,,            520.16,            544.14,             87.36,            402.98,            596.33,            355.70,            197.89,            -44.08,            567.38,            803.80,            757.54,            780.87,             94.03,           -374.58,           -267.94,           -429.09,           -317.03
Papua New Guinea,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           1621.05,           2353.21,,,,,,,            286.16,            358.22,            389.89,             64.98,             38.59,,            130.93,,,,,,,,,,
Papua New Guinea,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           2865.41,           2409.18,,,,,,,            919.38,            729.69,            701.04,            786.26,            578.65,,            623.51,,,,,,,,,,
Papua New Guinea,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            302.11,            353.05,,,,,,,            108.30,,,,,,,,,,,,,,,,
Papua New Guinea,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            574.78,            443.42,,,,,,,             50.75,,,,,,,,,,,,,,,,
Papua New Guinea,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            318.14,            347.80,,,,,,,            164.16,             76.61,             63.32,             32.80,             55.05,,,,,,,,,,,,
Papua New Guinea,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            528.20,            385.67,,,,,,,            103.14,             96.10,             59.01,             80.90,             80.33,,             92.24,,,,,,,,,,
Papua New Guinea,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            532.63,            412.16,,,,,,,             82.47,             65.35,             62.15,            111.02,            117.08,,            166.96,,,,,,,,,,
Papua New Guinea,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             64.78,,,,,,,,,,
Papua New Guinea,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            527.93,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             62.98,             47.35,             43.87,             36.69,,,,,,,,,,,,
Papua New Guinea,Pitcairn,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            178.73,,,,,,,,,,
Papua New Guinea,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            253.90,            353.79,,,,,,,,,             81.97,            168.76,            225.90,,            253.08,,,,,,,,,,
Papua New Guinea,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           1192.38,            675.65,,,,,,,            113.41,             89.11,             68.21,            102.07,             55.73,,             70.24,,,,,,,,,,
Papua New Guinea,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             78.87,,,,,,,,,,,,,,,
Papua New Guinea,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            345.70,,,,,,,            118.48,            115.64,            102.89,             92.52,             68.35,,            129.00,,,,,,,,,,
Papua New Guinea,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,           1519.65,           1229.97,            724.59,           1245.38,           1825.32,,           1519.39,,,,,,,,,,
Papua New Guinea,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,        7134493.57,,,,,,,,        1415894.18,        1158438.45,        1038913.66,        1037594.05,        1037594.05,,,,,,,,,,,,
