Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Russian Federation,...,...,Development,GDP (current US$ Mil),        1577524.15,        1284727.60,        1368400.71,        2063662.67,        2297128.04,        2210256.98,        2051661.73,        1524917.47,        1222644.28,        1660846.39,        1299705.76,         989930.54,         764017.11,         591016.69,         430347.77,         345470.49,         306602.67,         259708.50,         195905.77,         270953.12,         404926.53,         391719.99,         395531.07,         395077.30,         435083.71,         460290.56,         517962.96,         516814.27,         506500.17,
Russian Federation,...,...,Export,No. Of Export partners,            194.00,            199.00,            193.00,            189.00,            190.00,            192.00,            186.00,            179.00,            183.00,            180.00,            178.00,            184.00,            175.00,            177.00,            183.00,            179.00,            175.00,            176.00,            167.00,            169.00,            165.00,            167.00,,,,,,,,
Russian Federation,...,...,Export,No. Of Export products,           4364.00,           4350.00,           4330.00,           4321.00,           4299.00,           4244.00,           3857.00,           3805.00,           3949.00,           3973.00,           4023.00,           4227.00,           4180.00,           4262.00,           4271.00,           4287.00,           4362.00,           4413.00,           4305.00,           4332.00,           4361.00,           4480.00,,,,,,,,
Russian Federation,...,...,Import,No. Of Import partners,            221.00,            220.00,            218.00,            219.00,            210.00,            217.00,            205.00,            199.00,            198.00,            204.00,            202.00,            198.00,            187.00,            191.00,            198.00,            191.00,            189.00,            179.00,            163.00,            162.00,            176.00,            180.00,,,,,,,,
Russian Federation,...,...,Import,No. Of Import products,           4428.00,           4421.00,           4433.00,           4477.00,           4470.00,           4447.00,           4396.00,           4363.00,           4382.00,           4402.00,           4409.00,           4631.00,           4639.00,           4645.00,           4650.00,           4642.00,           4717.00,           4731.00,           4701.00,           4777.00,           4716.00,           4825.00,,,,,,,,
Russian Federation,...,...,Tariff,No. Of Tariff Agreement,              8.00,              7.00,              7.00,              9.00,             16.00,             16.00,             16.00,             16.00,             17.00,             17.00,             17.00,,              1.00,,,              1.00,              1.00,,,,              1.00,              3.00,,,,,,,,
Russian Federation,...,...,Development,Trade Balance (current US$ Mil),          84414.87,          66453.51,         109959.84,         132220.90,         123874.35,         147144.27,         165215.11,         123146.48,          90978.69,         153406.64,         112060.61,         125993.90,         104615.97,          72422.77,          48937.83,          37240.83,          38865.27,          52012.09,          33395.61,          18073.16,           8919.62,          16544.40,          13428.95,          18027.56,          33548.20,          64753.03,           1481.48,           1123.16,           4508.12,
Russian Federation,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15537.36,          14050.70,,,,,          24930.20,          18080.61,          16717.00,          23696.97,          17187.00,,,          11219.19,           7601.92,           5922.30,           5249.37,           5572.10,           3759.30,           4622.60,           4631.30,,,,,,,,,
Russian Federation,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10691.59,           9406.28,           7988.80,          12316.24,,,          14508.64,,,,,           6849.62,           5715.79,           6484.98,           4879.86,           3977.11,           3940.95,           3710.14,           3236.00,           4593.68,           4626.20,,,,,,,,,
Russian Federation,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          37524.52,          28021.25,          28334.95,          37414.60,          35625.42,          35766.83,          34692.36,          19783.04,          16669.00,,,          15757.05,          13047.74,,           8257.60,           6836.95,           5596.01,           5247.62,,,,           4750.37,,,,,,,,
Russian Federation,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          48373.35,          38086.97,          35199.26,          50853.01,          53173.09,          51767.69,          48038.38,          38960.93,          22859.88,          34768.72,          24406.61,          12911.75,           7264.58,           4746.23,           3308.67,           2401.13,,,,,,,,,,,,,,
Russian Federation,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           8491.61,,,,,,,           8430.08,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15490.52,          21258.48,          15906.24,          24950.27,          22962.14,          24039.17,,,          18708.18,          33187.25,          18604.91,          24499.82,          19735.91,          13302.04,          10419.87,           8059.30,           9194.18,           9231.83,           6202.24,           5720.61,           6531.12,           7080.35,,,,,,,,
Russian Federation,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          22740.42,          19448.97,          18991.58,          32947.34,          37904.57,          38289.66,          37436.68,          26601.38,          21221.89,          34075.57,          26549.27,          18456.67,          13272.38,          10555.68,           8112.13,           6598.48,           5807.73,           3898.07,           4201.56,           5508.57,           6643.35,           5213.54,,,,,,,,
Russian Federation,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          16204.28,          28986.13,          29156.01,          28007.57,          27898.67,          24375.01,          25060.00,          41955.81,          22631.15,          25102.84,          19055.79,          12087.83,           8514.86,           7442.13,           7401.53,           7254.33,           3754.98,,,,,,,,,,,
Russian Federation,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           9841.24,,           7928.22,          12676.96,          14553.95,,,          10024.39,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,          15676.09,          15012.61,          10259.74,,          18589.77,          12715.80,           7788.76,           5833.52,           3940.94,,,,,,,,,,,,,,,,
Russian Federation,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           2017.74,           2199.98,,           1885.00,,           3041.94,,,,,,,,
Russian Federation,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          34629.77,          29254.62,          40198.50,          66683.27,          69259.51,          76036.01,          61240.03,          53240.89,          36289.88,          56944.28,          41840.68,          35895.85,          24614.01,          15272.23,           8673.74,           7529.09,,,,           3993.95,           4553.10,,,,,,,,,
Russian Federation,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,          10137.41,,          14797.13,          15584.04,,,,,,,,
Russian Federation,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,           4009.54,,,,,,,,
Russian Federation,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          13698.26,,,,,,,,          27663.41,,,,,,,,,,,,,,,,,,,,
Russian Federation,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,          14986.61,          12401.62,          10770.22,,,           5282.36,           5024.49,           4792.38,           5563.41,           7239.67,           7555.09,,,,,,,,
Russian Federation,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,          15790.89,          17955.44,          20000.47,          14002.41,           9121.00,          16246.44,          13310.45,           9235.41,           7819.25,           6100.48,           4437.62,           3230.02,           3846.46,           3650.93,           2528.36,           3282.20,           3982.14,           6294.50,,,,,,,,
Russian Federation,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,           4713.98,           5137.92,           4486.07,           5068.51,,,,,,,,
