Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Rwanda,...,...,Development,GDP (current US$ Mil),           9135.45,           8475.68,           8277.61,           8016.59,           7621.92,           7334.92,           6563.32,           5773.08,           5378.93,           4860.09,           3824.79,           3152.32,           2581.31,           2088.96,           1846.20,           1677.55,           1674.69,           1734.94,           1817.65,           1989.34,           1851.56,           1382.33,           1293.54,            753.64,           1971.53,           2029.03,           1911.60,           2550.19,           2405.02,           2395.49
Rwanda,...,...,Export,No. Of Export partners,,            117.00,            104.00,             85.00,             87.00,             90.00,             98.00,             83.00,             79.00,             85.00,             81.00,             82.00,             92.00,             79.00,             62.00,             66.00,             57.00,,             29.00,             27.00,             24.00,             22.00,,,,,,,,
Rwanda,...,...,Export,No. Of Export products,,           1147.00,           1204.00,           1146.00,           1046.00,            971.00,            874.00,            784.00,            708.00,            683.00,            640.00,            457.00,            500.00,            377.00,            267.00,            258.00,            247.00,,             82.00,             87.00,            148.00,            142.00,,,,,,,,
Rwanda,...,...,Import,No. Of Import partners,,            160.00,            160.00,            165.00,            156.00,            164.00,            155.00,            178.00,            169.00,            136.00,            136.00,            133.00,            121.00,            125.00,            111.00,            111.00,            107.00,,            101.00,            112.00,            108.00,            102.00,,,,,,,,
Rwanda,...,...,Import,No. Of Import products,,           3463.00,           3489.00,           3556.00,           3503.00,           3667.00,           3591.00,           3648.00,           3613.00,           3767.00,           3399.00,           3090.00,           2800.00,           2599.00,           2576.00,           2598.00,           2546.00,,           2236.00,           2248.00,           2348.00,           2475.00,,,,,,,,
Rwanda,...,...,Tariff,No. Of Tariff Agreement,,              5.00,              5.00,              6.00,              6.00,              6.00,              6.00,              6.00,              6.00,              5.00,,              3.00,              5.00,,              2.00,              1.00,              2.00,,,,,,,,,,,,,
Rwanda,...,...,Development,Trade Balance (current US$ Mil),          -1327.54,          -1541.21,          -1992.55,          -1458.09,          -1359.73,          -1393.47,          -1089.65,          -1036.38,           -965.08,           -839.87,           -365.32,           -403.62,           -355.87,           -284.90,           -278.52,           -279.52,           -264.77,           -321.98,           -332.69,           -350.61,           -330.92,           -278.78,           -267.38,           -440.81,           -302.21,           -257.58,           -205.28,           -215.62,           -268.14,           -263.11
Rwanda,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             23.64,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             14.15,,,,,,,,,,,,,,
Rwanda,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             46.82,             26.81,             29.48,             65.84,             25.59,             22.47,             37.91,,,              2.75,,,              4.95,,,,,,,,,,,
Rwanda,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             64.98,             43.06,             38.45,             44.97,             25.08,             26.78,             26.51,             48.83,,             53.37,,,,,,,,,,,
Rwanda,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              1.96,              2.48,              1.83,,,,,,,,
Rwanda,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             55.86,             49.29,             40.46,,,,,,,,
Rwanda,Bouvet Island,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            124.63,,,,,,,,,,,,,
Rwanda,Burundi,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             35.92,,,             20.87,,,,,,,,,,,,,,,              0.96,,,,,,,,,,
Rwanda,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            377.77,            358.53,            365.58,            296.61,            241.44,            174.00,            211.27,             92.00,             95.15,             43.06,,,,,,,,,,,,,,,,,,,
Rwanda,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            197.81,            186.53,            153.61,            114.99,            109.30,             44.62,             18.14,,             51.67,,,,,              2.07,,,,,,,,,,,,,,,
Rwanda,Fm Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             28.08,,,,,,,,,,,,,,,,,,,,,
Rwanda,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             47.50,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              3.97,,              2.47,,,,,,,,,
Rwanda,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             12.91,,,,,,,,
