Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        3294668.93,        2902952.97,        2696116.88,        2581874.26,        2357174.53,        2297280.33,        2271880.46,        2042061.63,        1665541.21,        1515560.31,        1488597.59,        1176167.42,        1028573.54,         897867.92,         774398.58,         663176.53,         632235.85,         616124.99,         592264.24,         552856.26,         545216.58,         519779.08,         475089.67,         427599.09,         377077.22,         380675.55,         358520.35,         402945.01,         374312.87,         370870.04
,...,...,Export,No. Of Export partners,            223.00,            223.00,            225.00,            226.00,            229.00,            227.00,            228.00,            230.00,            228.00,            230.00,            228.00,            226.00,            228.00,            227.00,            224.00,            219.00,            220.00,            218.00,            212.00,            208.00,            209.00,            204.00,            206.00,            207.00,            205.00,            191.00,            179.00,            180.00,            172.00,            165.00
,...,...,Export,No. Of Export products,           4478.00,           4482.00,           4480.00,           4497.00,           4494.00,           4538.00,           4529.00,           4528.00,           4527.00,           4769.00,           4754.00,           4763.00,           4776.00,           4763.00,           4742.00,           4727.00,           4687.00,           4638.00,           4587.00,           4400.00,           4395.00,           4336.00,           4270.00,           4480.00,           4322.00,           4219.00,           4122.00,           3985.00,           3663.00,           3665.00
,...,...,Import,No. Of Import partners,            228.00,            231.00,            233.00,            231.00,            230.00,            229.00,            229.00,            227.00,            231.00,            230.00,            231.00,            228.00,            229.00,            224.00,            213.00,            215.00,            200.00,            212.00,            176.00,            188.00,            188.00,            176.00,            150.00,            174.00,            171.00,            153.00,            144.00,            153.00,            138.00,            122.00
,...,...,Import,No. Of Import products,           4554.00,           4552.00,           4556.00,           4556.00,           4550.00,           4606.00,           4586.00,           4581.00,           4597.00,           4683.00,           4820.00,           4839.00,           4828.00,           4809.00,           4832.00,           4851.00,           4895.00,           4891.00,           4866.00,           4783.00,           4761.00,           4744.00,           4738.00,           4916.00,           4804.00,           4729.00,           4694.00,           4693.00,           3930.00,           3487.00
,...,...,Tariff,No. Of Tariff Agreement,            208.00,            186.00,            185.00,            108.00,             24.00,            113.00,             99.00,            169.00,            181.00,            185.00,            121.00,            119.00,            233.00,             80.00,             77.00,,             95.00,             89.00,             26.00,             78.00,             75.00,,             13.00,             77.00,             71.00,             10.00,,              6.00,,
,...,...,Development,Trade Balance (current US$ Mil),        -141936.79,         -88652.37,         -99234.48,        -107292.63,        -100638.42,        -172611.48,        -161271.63,        -107217.00,        -103081.14,        -100202.93,         -73876.14,         -52563.02,         -37518.39,         -19320.24,         -10105.06,         -10874.14,         -11089.80,         -11428.34,         -15368.58,         -12670.76,         -13565.95,         -13585.19,         -11262.11,          -6830.68,          -7005.83,          -7242.13,          -4442.82,         -11672.21,         -10351.89,         -10947.00
,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           4362.32,           3773.28,,           3436.02,           3851.16,,,,,,,,,,,
,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            978.54,,,,
,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           2921.63,           2706.05,,,,           2009.56,           2140.09,           1481.65,,           1681.07,           1413.32
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14456.09,          10745.40,,          15908.25,          19716.78,          17932.42,          18899.88,          19249.94,          11572.92,          10963.60,          10363.60,           9138.43,           7713.17,           4460.26,,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          92763.00,          81059.52,          88811.53,          73316.09,          69262.17,          71377.43,          69058.09,          54371.79,          39928.51,          42471.03,          32452.83,          21928.12,          15168.99,           9232.40,           6168.90,           3705.83,           2943.92,,,,,,,,,,,,,
,German Democratic Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1405.50,           1092.46,            847.69
,German Democratic Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1907.89,           1711.08,           1674.98
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          13363.28,,,,,,           9149.15,           9223.93,           7894.62,           6640.99,           5952.77,           4960.91,           4270.64,           2834.24,           2562.42,           2754.38,           2077.92,           2408.50,           2268.08,           2189.58,           2235.22,           2400.52,           1951.69,           1966.57,           1583.41,,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,          13113.16,,,,,,,,,,,,           2734.56,           2970.26,           3280.39,           2391.12,           2021.08,           2084.42,           1765.14,,,
,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15342.76,          13518.68,          12735.57,          13891.00,          14519.77,,,          10362.11,,,,,,,           4121.72,           2479.20,           2568.02,           2902.40,           2566.00,           1938.62,           2005.91,           1945.07,           1936.03,           1624.97,           1333.10,,,,,
,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,          15974.44,,,,,,,,,,,,,,,,,,,,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,           2029.97,           2161.30,           2322.85,           2261.54,           1948.58,           1787.80,           1813.85,           1842.60,           1747.90,           1477.23
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,           5406.20,           4263.36,           3069.27,,           3468.18,           3160.38,           3011.06,,           2630.49,           2811.76,           2626.46,           2253.64,           2253.90,           2051.15,           2427.46,           2049.66,           1795.48
,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          13647.22,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          24045.53,          20513.20,          25194.54,          37316.89,          41256.26,          38247.53,          33843.46,          24879.32,          18557.56,          29380.65,          20932.47,          14190.24,,,,,,,           3111.98,,,,,,,,,,,
,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          11863.58,,,,,          13974.72,          16252.94,,,,,,,,,,,,,,,,,,,,,,,
,Soviet Union,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           1683.74,           2990.59,           2913.59,           1914.58
,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          21051.82,          15439.36,          21952.74,          21616.63,          25390.58,          29438.49,          32612.62,          22864.31,,,          11187.24,,           7827.00,           5093.41,,,           3553.19,,,           3017.31,           2682.95,,,,,,,,,
,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          29814.58,          31130.21,          31554.58,          34542.07,          36218.34,          39113.40,          39751.22,          29588.79,          27286.07,          21436.42,          16827.87,          12905.53,           9905.63,           6866.87,           5474.25,           3240.45,           2772.38,           2608.80,           2208.62,           1896.15,,,,,,,,,,
,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          32378.43,          27254.26,          28896.76,          37011.63,          43561.18,          47606.00,          44507.26,          37514.11,          23997.15,          24227.32,          15251.14,          11492.46,           7965.89,,,,,,,,,,,,,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          11199.99,          15021.62,,          15529.35,          12996.58,,          10306.01,          10005.70,          10032.36,           9537.43,           8262.48,           7602.36,           6093.13,           4988.07,           3558.82,           3278.08,           3407.00,           2654.08,           2246.39,           2445.57,           2403.20,           2299.60,           2233.05,           1743.92,           1640.09,           1397.04,           1383.93,           1068.54,            790.80
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           3130.29,           3636.97,           2989.59,           2915.45,,           2260.05,           1995.29,           1820.56,,,,           1805.59,           1935.51,           1637.21
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          52581.19,          48334.59,          53002.90,          49142.96,          53102.07,          48016.75,          44083.94,          33746.57,          27789.68,          30561.57,          29340.93,          28175.61,          25172.04,          20084.84,          17822.04,          14245.40,          12557.49,          13876.76,          10383.82,           9316.40,           8141.86,           7730.27,           6719.41,           7035.49,           5822.64,           5426.11,           3974.00,           3629.06,           3104.94,           2556.20
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          27824.21,          23152.93,          24214.66,          22840.03,          25373.31,          26513.84,          26049.04,          21597.89,          18652.12,          27529.13,          17727.80,          13919.55,          10482.84,           7856.70,           6435.45,           4409.83,           3847.14,           3419.13,           3822.06,           3971.61,           4036.54,           3867.23,           4122.49,           3247.30,           3017.13,           2702.47,           2283.43,           2947.18,           2956.23,           2213.73
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,          19346.99,,,,,,,,,,,,,,,,,,,,,,,
,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,          13084.03,          40782.94,          27539.62,          20245.05,          16522.74,          14023.11,          13407.73,,,           3478.71,           4820.46,           4466.33,           2403.01,           2349.33,           2456.60,           2104.85,           2558.47,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      174776936.31,      132179818.32,      131563483.83,       15162713.99,      191721151.89,      202414550.70,       87680719.10,       79115209.76,      101497703.98,       60924231.77,       24722575.08,       19830220.33,       15956465.30,        6576884.64,        4634129.92,        2083541.66,        4348387.39,        6682483.24,        3055866.80,        3277150.14,        9276257.36,        9360283.12,         287089.04,         141881.90,         233944.03,       11454815.32,,        3166184.30,         294167.43,
,World,Animal,Export,Export(US$ Mil),          12291.98,          10582.36,          10850.60,          12167.72,          11943.68,           8191.71,           7871.26,           5511.18,           3854.98,           4185.86,           3953.53,           3459.05,           3142.64,           2506.83,           2395.41,           2212.46,           2052.76,           2305.42,           1530.62,           1601.22,           1832.59,           1753.47,           1583.74,           1637.00,           1222.40,           1017.81,            906.13,            844.76,            716.19,            531.69
,World,Capital goods,Export,Export(US$ Mil),          42248.59,          36755.68,          38089.73,          42846.68,          40252.20,          35351.26,          37334.49,          27108.55,          24026.91,          22196.30,          16662.37,          12992.49,          10465.10,           7682.28,           5569.48,           3866.83,           3546.47,           2989.61,           2394.21,           2086.36,           2478.47,           2311.33,           1966.79,           1636.50,           1320.67,           1273.13,           1195.53,           1254.44,           1163.24,            878.80
,World,Chemicals,Export,Export(US$ Mil),          37808.55,          34042.04,          33377.65,          34019.04,          35520.04,          31722.85,          27786.59,          22682.07,          17664.25,          19332.57,          15046.60,          12902.83,          10552.12,           7873.54,           6363.15,           5142.42,           4296.07,           4163.84,           3603.40,           3058.59,           3353.73,           2948.21,           2553.64,           2151.17,           1675.52,           1460.03,           1592.76,           1438.81,           1476.70,            940.66
,World,Consumer goods,Export,Export(US$ Mil),         152368.76,         138822.67,         168708.02,         175357.94,         199094.64,         179655.39,         174403.03,         128631.54,         107164.03,         109881.90,          89919.68,          78290.14,          63638.96,          49593.38,          40703.37,          28139.10,          26386.43,          26105.43,          18232.74,          18453.94,          16131.39,          14980.27,          14670.18,          14546.75,          12214.04,          11679.98,           9767.66,           9219.07,           7045.94,           4780.19
,World,Food Products,Export,Export(US$ Mil),           7993.23,           7148.04,           7210.96,           8045.09,           9990.56,           8762.21,           8399.96,           6183.62,           4534.22,           7051.86,           4546.63,           3599.45,           2233.19,           2047.59,           1767.84,           1312.18,           1369.49,           1070.91,            935.60,            918.93,           1554.79,           1773.79,           1207.51,            890.68,           1128.29,           1081.13,            687.68,            593.78,            588.70,            431.46
,World,Footwear,Export,Export(US$ Mil),           3325.71,           3314.76,           4158.14,           3596.30,           3699.68,           2858.35,           2930.15,           2323.08,           2094.18,           2243.31,           1975.41,           1688.52,           1499.11,           1197.87,            984.74,            800.78,            839.00,            833.76,            745.27,            655.01,            582.26,            619.24,            629.60,            664.10,            567.98,            532.53,            505.30,            527.43,            418.26,            377.40
,World,Fuels,Export,Export(US$ Mil),          36426.92,          28034.08,          32041.23,          63291.66,          70408.45,          55366.87,          58199.49,          39565.15,          25217.66,          34574.08,          25078.58,          19055.32,          11344.92,           6500.59,           3917.42,           2359.32,           2176.12,           1481.36,            159.38,            185.89,            411.19,            525.89,            540.11,            563.98,            550.95,            616.67,            485.30,            570.21,            465.71,            355.19
,World,Hides and Skins,Export,Export(US$ Mil),           4302.84,           4292.39,           5265.38,           5244.67,           5760.25,           4741.98,           4611.33,           3601.89,           3041.89,           3884.72,           3534.91,           3219.58,           3110.16,           2680.77,           2259.89,           1577.95,           1720.32,           1634.36,           1210.47,           1262.80,           1308.54,           1239.56,           1416.97,           1344.92,           1062.78,           1169.19,           1000.34,           1158.12,           1003.26,            725.54
,World,Intermediate goods,Export,Export(US$ Mil),         104850.45,          91595.57,          94866.95,         103223.77,         116073.48,          95696.39,         104888.40,          85889.44,          61169.10,          70458.45,          58483.99,          49915.60,          43822.22,          34701.37,          29439.35,          21205.54,          17794.17,          18897.56,          16388.13,          13435.42,          14887.23,          14285.12,          13829.31,          11843.12,          10019.88,           8736.95,           7209.27,           7145.54,           7145.92,           5877.97
,World,Mach and Elec,Export,Export(US$ Mil),          26193.34,          22414.88,          21992.22,          23374.16,          25097.91,          22678.04,          23345.27,          17643.74,          17371.76,          15203.87,          11829.12,           9317.09,           7164.95,           5257.90,           4290.66,           3253.62,           3144.77,           2669.68,           2039.33,           1832.23,           2115.39,           1926.53,           1650.70,           1332.95,           1070.20,            986.05,            934.41,            977.04,            937.40,            735.01
,World,Metals,Export,Export(US$ Mil),          28761.70,          19875.73,          21873.31,          26347.78,          26331.83,          23300.71,          22325.86,          22934.56,          13134.35,          19931.33,          16343.05,          13991.53,          10405.00,           7741.38,           5481.67,           3796.21,           2857.41,           2916.47,           2361.75,           1806.66,           2218.33,           1959.00,           1772.31,           1475.64,           1428.47,           1266.36,            842.87,            762.74,            681.11,            491.08
,World,Minerals,Export,Export(US$ Mil),           4518.48,           3706.63,           3080.16,           4188.83,           5340.13,           5907.87,           7356.86,           8845.27,           7606.05,           8586.91,           7493.42,           5862.81,           5968.72,           3292.00,           1648.50,           1419.17,            971.92,            871.86,            718.66,            689.11,            806.02,            897.24,            912.39,            827.61,            773.24,            707.33,            831.13,            839.92,            848.33,            688.03
,World,Miscellaneous,Export,Export(US$ Mil),           6896.81,           7310.45,           8285.67,           7099.94,          11123.73,           8329.74,          18573.42,           8206.21,          11102.92,           6418.59,           4970.22,           4188.95,           3744.80,           3020.07,           2772.45,           2023.03,           2038.50,           1713.04,           1387.58,           1293.85,           1090.27,            980.25,            902.02,            848.18,            683.23,            612.21,            488.55,            595.40,            460.17,            418.85
,World,Plastic or Rubber,Export,Export(US$ Mil),          10042.20,           8807.64,           8698.71,           9669.50,          10855.26,           9426.57,           9890.58,           6617.31,           4500.47,           5581.65,           4824.52,           4803.50,           4064.59,           3190.09,           2265.92,           1702.27,           1400.38,           1205.55,            956.83,            645.68,            742.73,            749.45,            788.93,            876.62,            667.63,            514.65,            309.54,            334.09,            191.80,            115.11
,World,Raw materials,Export,Export(US$ Mil),          28140.42,          24762.00,          25945.92,          32383.68,          36972.00,          35892.45,          32270.38,          24907.61,          18531.83,          21254.62,          18177.38,          14438.48,          13052.09,           9498.51,           6688.04,           5735.19,           4989.67,           4888.84,           4206.88,           3960.49,           4646.35,           4874.46,           4118.45,           3929.94,           3405.84,           2991.46,           3033.62,           3336.17,           2711.04,           2045.27
,World,Stone and Glass,Export,Export(US$ Mil),          44866.56,          45695.42,          41862.81,          44269.54,          47911.43,          47456.95,          53108.29,          35356.20,          35076.61,          22801.34,          21340.24,          17595.91,          17578.99,          13763.42,          11722.99,           9845.73,           7762.80,           8531.80,           8157.57,           6267.84,           5490.91,           5108.11,           5631.90,           5078.87,           4456.71,           3798.36,           3008.18,           3162.22,           3330.67,           3067.24
,World,Textiles and Clothing,Export,Export(US$ Mil),          55759.91,          53245.97,          83763.93,          57910.87,          80315.75,          71544.27,          73109.24,          59484.56,          48890.44,          50151.68,          45700.08,          43001.70,          37924.47,          32497.71,          29249.11,          18443.93,          17756.81,          19155.08,          12755.04,          13585.13,          12652.08,          11906.58,          10599.47,          10918.37,           8843.10,           8383.49,           6940.00,           6654.96,           4911.20,           3148.86
,World,Transportation,Export,Export(US$ Mil),          23923.22,          21677.35,          22595.03,          26195.53,          22092.06,          18685.60,          20262.66,          15635.56,          11014.99,          10560.16,           6577.92,           4917.83,           4251.73,           3286.61,           1897.77,           1314.86,           1132.54,           1029.55,            834.61,            772.68,            942.47,            978.66,            924.76,            782.69,            599.03,            609.86,            525.76,            430.35,            350.17,            249.94
,World,Vegetable,Export,Export(US$ Mil),          23247.31,          20441.64,          22764.57,          27615.91,          29236.36,          29235.05,          23281.88,          15066.07,          12638.60,          15287.24,          11050.10,           8667.51,           8512.99,           6936.30,           5825.83,           4710.11,           4229.03,           4085.44,           4458.72,           4102.80,           3616.40,           3490.83,           3838.72,           2871.44,           2514.76,           2253.80,           2436.06,           2453.84,           1943.68,           1556.41
,World,Wood,Export,Export(US$ Mil),           2365.29,           2282.11,           2199.31,           2142.01,           2192.09,           1845.37,           1957.64,           1450.52,           1118.43,           1216.16,           1059.08,            868.07,            808.47,            600.82,            484.29,            414.92,            319.89,            305.68,            236.62,            177.62,            163.74,            209.67,            202.84,            210.00,            158.48,             97.42,             83.29,             65.56,             49.68,             39.97
,World,All Products,Export,Exports (in US$ Mil),         328724.06,         292871.49,         330019.67,         355178.54,         397819.23,         350054.13,         363010.49,         271107.00,         218861.81,         227011.32,         185323.42,         157139.67,         132306.82,         102393.49,          83327.65,          60328.96,          54067.80,          53973.81,          42091.44,          38856.06,          38881.42,          37066.51,          35155.61,          32474.22,          27402.77,          25106.88,          21577.32,          21409.22,          18373.04,          13872.44
,World,Capital goods,Import,Import(US$ Mil),         114773.55,         100694.66,         102886.97,          86622.56,          91319.67,          95469.03,          95158.07,          79614.37,          70147.81,          79533.06,          60891.36,          54356.70,          39804.58,          27896.79,          20605.60,          12929.31,          10558.82,          10856.03,           9062.48,           8487.71,           8958.17,           8585.96,           8105.56,           6420.22,           5803.62,           4926.48,           3942.14,           5382.11,           4815.11,           3668.60
,World,Consumer goods,Import,Import(US$ Mil),          77902.78,          65102.07,          77521.05,          74267.22,          75406.95,          81450.50,          75757.07,          56001.31,          44378.41,          54574.58,          41259.87,          32364.97,          25725.69,          18202.93,          15320.74,           8877.16,           7360.90,           9111.44,           9589.21,           8593.06,           7579.99,           8320.97,           7370.79,           5988.95,           4449.44,           4706.05,           3944.98,           4738.47,           3056.60,           2181.46
,World,Intermediate goods,Import,Import(US$ Mil),         174474.11,         141469.79,         182498.39,         157362.65,         175028.99,         187274.62,         205103.20,         159281.70,         115128.26,         118814.61,          85278.92,          67820.56,          60575.42,          43491.46,          33923.30,          23121.57,          22882.47,          21284.22,          18101.98,          18922.13,          17682.41,          13962.37,          14365.06,          11518.93,           9510.56,           9380.32,           8094.11,           8933.72,           7686.39,           6040.65
,World,Raw materials,Import,Import(US$ Mil),         160811.50,         120439.20,         140885.80,         209750.50,         220732.01,         220172.24,         191491.47,         136538.99,         102679.23,         134873.33,          90856.76,          77980.58,          60465.22,          43863.86,          33780.38,          26007.49,          22820.52,          26442.86,          19269.84,          11887.31,          12089.37,          12232.77,           9654.90,           8491.68,           9011.94,          10608.20,           8044.56,           9111.65,           7786.49,           6331.05
