Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Fm Sudan,...,...,Development,GDP (current US$ Mil),         117487.86,          95584.38,          97156.12,          82151.59,          72065.94,          68125.63,          67327.29,          65634.11,          53150.21,          54526.58,          45898.95,          35822.41,          26524.54,          21457.47,          17646.50,          14803.19,          13182.98,          12257.42,          10682.05,          11250.33,          11681.49,           9018.24,          13829.74,          12794.19,           8881.79,           7034.22,          11379.22,          12408.65,          15291.51,          15399.17
Fm Sudan,...,...,Export,No. Of Export partners,,,,,,,             89.00,            102.00,            125.00,             96.00,,             66.00,             58.00,             70.00,             71.00,            103.00,             77.00,            113.00,             69.00,             80.00,             64.00,             70.00,             62.00,,,,,,,
Fm Sudan,...,...,Export,No. Of Export products,,,,,,,            295.00,            310.00,            509.00,            324.00,,            262.00,            213.00,            239.00,            130.00,            425.00,            132.00,            493.00,            374.00,            284.00,            194.00,            257.00,            154.00,,,,,,,
Fm Sudan,...,...,Import,No. Of Import partners,,,,,,,            197.00,            199.00,            205.00,            194.00,            198.00,            147.00,            119.00,            128.00,            114.00,            174.00,            120.00,            157.00,            148.00,            140.00,            140.00,            132.00,            128.00,,,,,,,
Fm Sudan,...,...,Import,No. Of Import products,,,,,,,           3412.00,           3468.00,           3390.00,           3114.00,           3196.00,           3493.00,           3336.00,           3204.00,           3092.00,           3113.00,           2978.00,           3108.00,           2972.00,           2901.00,           2835.00,           2532.00,           2460.00,,,,,,,
Fm Sudan,...,...,Tariff,No. Of Tariff Agreement,,,,,,,              5.00,              4.00,              4.00,              4.00,,              5.00,,,,              1.00,,,,,,              2.00,,,,,,,,
Fm Sudan,...,...,Development,Trade Balance (current US$ Mil),          -2494.86,          -2579.08,          -2658.53,          -2596.45,          -4358.12,          -4280.07,           1362.43,           1648.33,          -2141.65,           2456.98,           -357.99,          -2721.64,          -2446.55,           -488.03,           -413.26,           -508.99,           -184.25,            314.39,           -978.00,           -953.01,           -837.72,           -748.19,           -668.47,           -669.02,           -266.92,           -645.61,           -956.00,           -377.80,           -612.03,           -600.07
Fm Sudan,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            802.14,,,,,,,,,,,,,,,,,,,,,
Fm Sudan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           6323.17,           8302.37,           5932.25,           7553.54,,           4324.28,           3323.85,           2319.41,           1616.07,            940.21,           1054.00,            706.61,,,,             22.18,             50.22,,,,,,,
Fm Sudan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           2067.33,           2085.15,           1426.69,           1295.58,           1614.04,           1662.41,           1316.16,            558.84,            310.07,            254.50,            202.31,            127.29,             68.53,            268.37,            108.27,,,,,,,,,
