Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Singapore,...,...,Development,GDP (current US$ Mil),         323907.23,         309763.88,         304097.76,         311539.50,         304454.33,         290673.68,         275966.93,         236421.78,         192408.39,         192225.88,         179981.29,         147797.22,         127417.69,         114188.56,          97001.38,          91941.19,          89286.21,          95833.93,          86283.13,          85707.64,         100164.00,          96403.76,          87890.01,          73777.79,          60644.57,          52156.41,          45474.44,          36152.03,          30423.57,          25337.23
Singapore,...,...,Export,No. Of Export partners,            218.00,            219.00,            221.00,            222.00,            217.00,            215.00,            187.00,            141.00,            148.00,            145.00,            146.00,            141.00,            142.00,            140.00,            141.00,            211.00,            212.00,            216.00,            209.00,            138.00,            137.00,            137.00,            139.00,            119.00,            117.00,            118.00,            115.00,            118.00,            118.00,
Singapore,...,...,Export,No. Of Export products,           4278.00,           4277.00,           4290.00,           4285.00,           4287.00,           4294.00,           4406.00,           4298.00,           4180.00,           4185.00,           4181.00,           4122.00,           4134.00,           4471.00,           4147.00,           4618.00,           4654.00,           4653.00,           4691.00,           4681.00,           4696.00,           4740.00,           4792.00,           4850.00,           4805.00,           4783.00,           4814.00,           4817.00,           4822.00,
Singapore,...,...,Import,No. Of Import partners,            222.00,            224.00,            224.00,            224.00,            219.00,            218.00,            189.00,            145.00,            147.00,            147.00,            146.00,            141.00,            140.00,            139.00,            141.00,            200.00,            198.00,            202.00,            201.00,            135.00,            134.00,            135.00,            136.00,            118.00,            117.00,            117.00,            115.00,            118.00,            115.00,
Singapore,...,...,Import,No. Of Import products,           4309.00,           4320.00,           4325.00,           4324.00,           4328.00,           4328.00,           4460.00,           4343.00,           4220.00,           4216.00,           4229.00,           4161.00,           4173.00,           4588.00,           4169.00,           4692.00,           4741.00,           4742.00,           4754.00,           4767.00,           4758.00,           4790.00,           4858.00,           4895.00,           4892.00,           4887.00,           4884.00,           4899.00,           4876.00,
Singapore,...,...,Tariff,No. Of Tariff Agreement,             18.00,             18.00,             18.00,             17.00,             16.00,             14.00,              1.00,             13.00,             13.00,             13.00,             13.00,              2.00,              7.00,              1.00,              3.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              1.00,,,,,,              1.00,
Singapore,...,...,Development,Trade Balance (current US$ Mil),          78587.30,          80934.56,          78261.13,          72567.04,          68416.21,          68100.10,          73934.01,          61588.78,          45031.49,          39954.48,          55401.04,          44074.64,          37978.07,          30100.76,          26685.51,          16227.47,          14472.96,          11779.52,          14520.18,          18260.04,          14443.29,          15628.51,          14676.80,          11915.94,           5990.59,           6328.42,           6003.53,           3633.54,           3356.89,           2425.78
Singapore,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          54038.55,          44351.82,          47708.49,          51501.10,          48369.90,          43912.05,          42681.96,          36350.53,          26311.82,          31085.30,          28927.26,          26495.63,          19757.04,          15371.49,          10128.13,           6858.76,,,,,,,,,,,,,,
Singapore,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          45343.52,          40493.11,          42135.23,          44418.93,          43689.14,          39168.34,          37995.26,          33665.59,          25954.49,          33797.29,          31968.24,          27353.39,          20549.16,          16188.21,          11068.22,           8861.66,           7205.24,           7115.54,           5695.75,           4864.62,,,,,,,,,,
Singapore,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          46010.51,          43261.08,          39665.72,          45108.69,          45829.10,          44734.50,          45168.69,          41210.06,          31292.27,          35169.39,          31461.65,          27316.38,          21538.03,          17641.29,          14455.56,          11456.56,          10818.99,          10838.36,           8803.86,           9221.33,          12018.78,          11125.87,          10132.42,           8421.66,           6419.78,           4962.88,           4251.88,           3426.16,           2824.08,
