Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        1669767.51,        1543178.53,        1665066.29,        1826903.05,        1739842.93,        1633377.91,        1550965.86,        1366254.40,        1146185.67,        1205113.31,        1051369.32,         906016.06,         760233.82,         638307.00,         511579.71,         407824.37,         373785.42,         392087.59,         367872.12,         364723.05,         381048.27,         366544.79,         355028.19,         309611.21,         314253.66,         336893.12,         341520.26,         335818.01,         330084.52,         324834.22
,...,...,Export,No. Of Export partners,            232.00,            225.00,            229.00,            232.00,            232.00,            235.00,            234.00,            232.00,            232.00,            231.00,            231.00,            226.00,            228.00,            230.00,            228.00,            229.00,            228.00,            227.00,            215.00,            218.00,            211.00,            208.00,            208.00,            194.00,            185.00,            174.00,            102.00,            105.00,,
,...,...,Export,No. Of Export products,           4571.00,           4560.00,           4551.00,           4573.00,           4597.00,           4713.00,           4705.00,           4714.00,           4686.00,           4751.00,           4824.00,           4843.00,           4848.00,           4857.00,           4873.00,           4866.00,           4891.00,           4875.00,           4868.00,           4840.00,           4854.00,           4846.00,           4834.00,           4652.00,           4609.00,           4552.00,           1766.00,           1831.00,,
,...,...,Import,No. Of Import partners,            235.00,            232.00,            235.00,            235.00,            233.00,            236.00,            236.00,            236.00,            235.00,            234.00,            234.00,            234.00,            233.00,            232.00,            233.00,            236.00,            234.00,            234.00,            220.00,            221.00,            220.00,            216.00,            221.00,            195.00,            185.00,            171.00,            102.00,            109.00,,
,...,...,Import,No. Of Import products,           4636.00,           4625.00,           4626.00,           4630.00,           4739.00,           4854.00,           4857.00,           4891.00,           4915.00,           4925.00,           4971.00,           4953.00,           4962.00,           4988.00,           4994.00,           5003.00,           5002.00,           5014.00,           5011.00,           5015.00,           5019.00,           5023.00,           5016.00,           4988.00,           4928.00,           4850.00,           3901.00,           3980.00,,
,...,...,Tariff,No. Of Tariff Agreement,            572.00,            644.00,            596.00,            551.00,            517.00,            578.00,            685.00,            563.00,            522.00,            593.00,            483.00,            417.00,            284.00,            140.00,            134.00,            219.00,            144.00,             87.00,             20.00,             91.00,             12.00,             82.00,             38.00,             40.00,,,,,,
,...,...,Development,Trade Balance (current US$ Mil),         -46938.46,         -69175.69,         -81352.35,         -21209.11,         -25888.99,          46338.62,          42115.93,          17030.41,         -36477.15,          29221.30,           4344.06,          38289.66,          11320.16,           4005.74,           -892.56,           5210.29,           3902.28,          17931.29,           1094.74,         -10710.53,          -1135.87,           1130.57,            186.71,            147.39,           2972.42,           4993.15,           6604.93,           9422.84,          11330.68,           6038.40
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          18520.21,          10322.81,          25095.20,          46114.34,          55407.78,          60483.07,          54443.01,          44653.24,          32844.05,          18880.38,          22986.84,           8227.57,           5736.94,,,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          37387.46,          38221.56,          38188.23,          47788.46,          47762.50,          40461.06,          40502.23,          35213.36,          27540.74,          25629.26,          23088.91,          15978.02,           9650.82,           6725.68,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,          10948.98,,          11367.88,           8519.74,,           4802.21,           5119.13,           4325.32,           4361.29,           4592.47,           3704.99,           2912.83,           2941.54,           3495.68,           2368.64,,,,             93.82,             98.50,,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,          13207.79,          11915.78,          12037.92,          12613.27,           9846.66,           8407.78,           8301.78,           7080.88,           5295.31,           4997.27,           4771.93,           5061.92,           5698.06,           5153.98,           4681.23,           3700.97,           1869.26,,,            153.36,            190.57,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           3424.50,,           2887.03,           2748.73,,,,,,           1130.90,            101.92,             90.82,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          13443.41,          12546.47,          12138.12,          15127.98,          16108.99,          14387.29,          16873.64,          13453.05,          11044.85,          15039.48,          14082.00,          12389.75,           9891.60,           8389.51,           7694.73,           6207.88,           6106.97,           5182.87,           5143.62,           5443.42,           5843.70,           5745.08,           5430.77,           3906.94,           3017.90,           3140.96,             64.07,             72.71,,
,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          19684.75,          13930.84,          10386.89,          27945.55,          24638.50,          28807.54,          24976.80,          18464.49,          11936.01,          12289.23,,,,,,           3142.83,,           4779.59,           3696.24,,,,,,,,,,,
,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          13147.60,          12661.39,          12731.41,          18626.73,          21687.09,          16249.24,          14523.25,,,,,,,,,,,,,,,,,,,,,,,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,           6007.65,           4941.13,           4908.23,,           3019.98,,,,,,           2324.27,           1257.70,           1361.48,           1153.70,             82.65,             74.45,,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,           3534.99,,,           3392.57,           4002.58,           2544.85,           2481.67,           2097.60,             76.24,             79.27,,
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9617.40,,,          20013.19,          19337.45,,,          11812.31,,          12042.59,,,           5467.42,           4720.44,           4101.85,           3111.48,,,,           2247.94,           3111.78,           2805.94,,,,,,,,
,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           9242.15,           7845.48,,          17896.40,          21869.01,          17591.36,          14090.71,          10929.07,,          10796.93,,,,,,,,,,,,,,,,,,,
,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          14891.45,          14705.29,          20237.68,          23785.83,          26135.04,          25995.87,          26997.60,          21396.12,          20294.58,          18635.29,          16507.59,          13028.30,          11151.23,          12072.34,          10344.62,           9301.86,           7517.29,           6538.15,,,,,,,,,            246.97,            192.33,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8458.41,,,          16621.27,,,,,,,,           8111.57,,,,,,,,,,           2811.36,,,,,,,,
,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,           4104.19,,           5704.66,           9600.41,           6900.32,           7018.33,,,,
,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           3875.51,           6627.13,,,,           1647.13,           2285.26,,,,
,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           7364.75,           7809.27,,,,,,,,,,,,,,,,,,,,,           1784.03,           2497.02,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,          19964.10,          19048.96,,,          12104.51,          11749.40,          11327.33,          11276.90,           9972.87,           8792.74,           6942.27,           7649.00,           6870.87,           4535.83,           3377.53,           3080.72,           4948.40,           3594.17,           2266.08,           2044.60,           1756.57,             63.47,             68.56,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           6031.80,           5223.75,           5088.40,           4667.96,           4502.18,           5288.04,           5397.81,           5196.30,           4381.81,           2913.22,           2165.96,           2091.04,            144.26,            159.08,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14919.08,          11234.11,           9978.06,          16080.24,          23096.05,          41732.87,          58237.80,          50439.78,          32585.87,          52101.01,          49841.32,          38591.56,          10899.81,           8964.34,          16881.27,          11267.09,          13790.80,          17148.45,          10412.97,           8223.43,           9480.88,           9630.98,           3365.64,           3137.88,           3852.35,           1654.22,            113.68,            100.33,,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11741.76,          12684.05,          10996.37,          18464.60,          18119.78,          20476.69,          26475.08,          21059.20,          13220.16,          13701.61,          15880.98,          11496.02,           7207.12,           6210.37,           7747.46,           5868.93,           6073.97,           5155.52,           5426.41,           5811.88,           6128.89,           5712.09,           4201.52,           2676.07,           2561.39,           2678.28,,,,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,           3910.13,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       70786640.76,      105164298.90,      107904873.56,      119642668.27,      124968763.21,      111234011.80,      114035341.17,       92397946.67,       80857830.33,      103603113.50,       76811248.65,       72081973.23,       55625636.07,       42446407.49,       25048308.46,       26503595.30,       25925431.57,       19573260.97,       15885380.09,        1887193.27,       17518016.66,        9566656.30,        1486347.18,         552754.69,        6187852.69,          14840.29,        4459724.82,        4306583.87,,
,World,Animal,Export,Export(US$ Mil),           4556.56,           4062.98,           3636.72,           4564.79,           4691.10,           5498.64,           4459.63,           4533.44,           3857.51,           3481.97,           3110.89,           2686.59,           2762.95,           2642.48,           2331.87,           1976.04,           1897.61,           1738.37,            868.61,            829.46,            883.22,            780.83,            703.39,            489.34,            363.63,            356.25,             55.96,             45.02,,
,World,Capital goods,Export,Export(US$ Mil),          17978.97,          13612.41,          15126.89,          24283.58,          24020.75,          21868.16,          21869.66,          18300.10,          13272.50,          17619.93,          13923.21,          11490.67,           9325.54,           7422.80,           6165.63,           5322.29,           4206.36,           3988.63,           3853.13,           3605.74,           3800.45,           2952.90,           2529.44,           1852.56,           1545.12,           1425.33,             12.75,             15.58,,
,World,Chemicals,Export,Export(US$ Mil),           7666.99,           6502.63,           6705.05,           9934.41,           8617.97,           8461.95,           8363.15,           7357.26,           5288.03,           7494.96,           5804.46,           5388.23,           5232.04,           4474.22,           3382.85,           3261.22,           2530.86,           2543.76,           2240.39,           2245.53,           2475.14,           2387.79,           2091.23,           1417.51,           1065.30,           1168.40,              8.78,              4.97,,
,World,Consumer goods,Export,Export(US$ Mil),          38538.25,          30549.28,          31569.37,          55921.86,          42930.67,          56180.08,          60309.03,          47835.96,          27869.48,          28911.26,          23845.02,          29244.95,          23253.53,          20769.73,          17745.53,          13776.63,          13302.21,          12968.48,           7514.18,           7208.90,           6794.22,           5190.95,           5007.10,           3162.55,           2858.54,           2614.98,            151.46,            164.75,,
