Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Sao Tome and Principe,...,...,Development,GDP (current US$ Mil),            392.57,            354.24,            315.52,            348.94,            302.92,            252.56,            233.21,            197.45,            187.82,            188.02,            144.62,            133.32,            125.15,            104.49,             95.54,             79.86,             71.63,,,,,,,,,,,,,
Sao Tome and Principe,...,...,Export,No. Of Export partners,             27.00,             13.00,             24.00,             22.00,             23.00,             19.00,             22.00,             20.00,             17.00,             15.00,             16.00,             15.00,             11.00,             12.00,             12.00,             13.00,             15.00,             10.00,              7.00,,,,,,,,,,,
Sao Tome and Principe,...,...,Export,No. Of Export products,            310.00,            270.00,            190.00,            239.00,            171.00,            136.00,            104.00,            121.00,             95.00,            126.00,            130.00,             75.00,            105.00,             78.00,            120.00,             87.00,             36.00,             64.00,             31.00,,,,,,,,,,,
Sao Tome and Principe,...,...,Import,No. Of Import partners,             71.00,             63.00,             56.00,             63.00,             57.00,             52.00,             53.00,             54.00,             49.00,             44.00,             43.00,             50.00,             48.00,             44.00,             41.00,             23.00,             31.00,             31.00,             28.00,,,,,,,,,,,
Sao Tome and Principe,...,...,Import,No. Of Import products,           2470.00,           2495.00,           2546.00,           2454.00,           2407.00,           2332.00,           2239.00,           2241.00,           2095.00,           1990.00,           1929.00,           2031.00,           1272.00,           1197.00,           1758.00,           1337.00,           1116.00,           1112.00,           1110.00,,,,,,,,,,,
Sao Tome and Principe,...,...,Tariff,No. Of Tariff Agreement,,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              0.12,,,,,              0.89,,              2.11,              5.00,              2.29,,              0.14,,,              0.11,,,              0.07,,,,,,,,,,,
Sao Tome and Principe,Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             29.11,             21.25,             29.84,             36.46,             37.88,             31.74,             14.68,             17.55,             16.74,             26.12,             15.65,             14.19,             10.18,              6.48,              4.21,              3.48,              4.05,              3.16,              2.91,,,,,,,,,,,
Sao Tome and Principe,"Bahamas, The",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,              0.18,,,,,,,,,,,,,
Sao Tome and Principe,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              1.46,,              2.26,              2.52,              1.43,,              1.72,              1.35,              1.29,              0.45,              0.68,              0.55,              0.37,              0.34,              1.00,              0.65,              0.32,              0.19,,,,,,,,,,,,
