Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Slovak Republic,...,...,Development,GDP (current US$ Mil),          95769.03,          89768.60,          87501.42,         100948.24,          98478.35,          93413.99,          98181.26,          89501.01,          88945.63,         100324.63,          86304.25,          70596.73,          62697.54,          57240.54,          46731.77,          35083.61,          30703.02,          29114.88,          30415.10,          29828.90,          27660.15,          27821.91,          25733.04,          20079.36,          16452.20,          15431.29,          14213.05,          12694.54,,
Slovak Republic,...,...,Export,No. Of Export partners,            196.00,            203.00,            201.00,            201.00,            193.00,            192.00,            190.00,            191.00,            186.00,            190.00,            188.00,            189.00,            182.00,            187.00,            186.00,            182.00,            182.00,            181.00,            159.00,            164.00,            157.00,            156.00,            162.00,            167.00,,,,,,
Slovak Republic,...,...,Export,No. Of Export products,           3879.00,           3894.00,           3905.00,           3917.00,           3902.00,           3889.00,           3871.00,           3854.00,           3876.00,           2945.00,           2980.00,           3006.00,           3093.00,           4031.00,           4114.00,           4127.00,           4140.00,           4092.00,           4073.00,           4111.00,           4164.00,           2842.00,           2986.00,           4197.00,,,,,,
Slovak Republic,...,...,Import,No. Of Import partners,            231.00,            228.00,            225.00,            220.00,            224.00,            212.00,            219.00,            216.00,            215.00,            223.00,            212.00,            219.00,            215.00,            214.00,            191.00,            200.00,            190.00,            186.00,            156.00,            156.00,            162.00,            169.00,            172.00,            165.00,,,,,,
Slovak Republic,...,...,Import,No. Of Import products,           4426.00,           4423.00,           4443.00,           4441.00,           4457.00,           4466.00,           4469.00,           4449.00,           4450.00,           4157.00,           4183.00,           4347.00,           4363.00,           4713.00,           4684.00,           4662.00,           4726.00,           4700.00,           4711.00,           4726.00,           4743.00,           4096.00,           4178.00,           4768.00,,,,,,
Slovak Republic,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,              2.00,,,,,,,,,,,,,,
Slovak Republic,...,...,Development,Trade Balance (current US$ Mil),           3281.50,           3143.80,           1406.38,           3459.61,           4169.12,           3424.90,           -897.19,          -1300.04,          -1319.09,          -2839.44,           -966.03,          -2808.21,          -2876.65,          -1566.60,           -886.64,          -2537.02,          -2464.25,           -747.67,          -1338.09,          -3164.21,          -2601.75,          -2962.96,            548.51,           1039.45,           -744.52,           -502.30,           -354.37,          -1050.90,,
Slovak Republic,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           4514.75,           5227.83,           5283.02,           5270.02,           5504.66,           4336.80,,,,           2524.74,           2271.55,           2192.11,           1632.90,           1112.07,           1026.97,            994.50,            808.93,            800.31,            691.39,            493.16,            414.52,            351.31,,,,,,
Slovak Republic,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            989.59,,            612.41,            503.11,            537.23,            609.05,            584.78,            478.20,            445.95,            381.41,,,,,,
Slovak Republic,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6151.26,           6401.99,           6432.93,           6676.02,,,,,,,           3041.89,,,,,,,,,,,,,,,,,,,
