Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Swaziland,...,...,Development,GDP (current US$ Mil),           4433.66,           3817.43,           4020.28,           4377.29,           4560.71,           4823.83,           4820.50,           4438.78,           3580.42,           3294.09,           3469.36,           3291.35,           3178.13,           2770.08,           2197.61,           1432.23,           1542.48,           1738.10,           1547.88,           1576.90,           1716.70,           1602.76,           1698.98,           1419.29,           1357.21,           1284.77,           1156.14,           1114.70,            696.92,            692.02
Swaziland,...,...,Export,No. Of Export partners,,,,,,,,,,,             31.00,             41.00,             33.00,             32.00,             35.00,             37.00,             30.00,             76.00,,,,,,,,,,,,
Swaziland,...,...,Export,No. Of Export products,,,,,,,,,,,           2400.00,           2923.00,           2972.00,           2990.00,           3067.00,           3211.00,           3035.00,           2859.00,,,,,,,,,,,,
Swaziland,...,...,Import,No. Of Import partners,,,,,,,,,,,             38.00,             42.00,             41.00,             31.00,             40.00,             45.00,             43.00,             78.00,,,,,,,,,,,,
Swaziland,...,...,Import,No. Of Import products,,,,,,,,,,,           4416.00,           4435.00,           4487.00,           4447.00,           4457.00,           4404.00,           4383.00,           4399.00,,,,,,,,,,,,
Swaziland,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,              4.00,              3.00,              3.00,              3.00,,              4.00,              2.00,,,,,,,,,,,,,
Swaziland,...,...,Development,Trade Balance (current US$ Mil),           -437.03,           -174.32,            -19.18,           -214.34,           -281.59,           -481.42,           -612.51,           -581.79,           -523.81,           -458.47,           -365.60,           -342.08,           -378.39,           -191.93,            -33.37,           -131.49,           -175.78,           -238.55,           -251.79,           -277.58,           -254.09,           -341.03,           -233.30,           -130.38,           -259.11,           -240.81,           -131.54,           -109.90,            -19.37,            -23.53
Swaziland,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            441.54,,,,,,,,,,,,,,,,,
Swaziland,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             14.31,,,,,,,,,,,,,,,
Swaziland,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             67.75,             78.38,,,,,,,,,,,,,
Swaziland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             50.75,             24.60,             65.91,             17.96,             21.79,,,,,,,,,,,,,,,
Swaziland,"Congo, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            161.52,,,,,,,,,,,,,
Swaziland,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            500.84,,,,,,,,,,,,,,
Swaziland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             25.38,,,,,,,,,,,,,,,,,,
Swaziland,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             18.90,,,             36.10,             11.92,,,,,,,,,,,,
Swaziland,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            153.49,,,,,,,,,,,,,,,,,,,
Swaziland,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,             27.83,,,,,,,,,,,,,
Swaziland,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             30.09,             26.08,,,,             20.84,             22.38,              8.09,,,,,,,,,,,,
Swaziland,Madagascar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            134.41,,,,,,,,,,,,,,,,
Swaziland,Mozambique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             20.21,            247.44,             96.60,            159.91,            120.82,            112.69,             41.68,             55.28,,,,,,,,,,,,
Swaziland,Mozambique,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             57.31,,             37.99,,,,,,,,,,,,,,,
Swaziland,Namibia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             31.13,,,,,,,,,,,,,,,,,,,
Swaziland,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             21.53,,,,,,,,,,,,,,,,
Swaziland,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             19.32,,,,,,,,,,,,,
Swaziland,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            582.41,,,,,,,,,,,,,,,
